CODIGO_PRODUTO;DESCRICAO_PRODUTO;PRECO_PRATICADO_LOJA3;PRECO_PRATICADO_LOJA11
3;REFRE PO TANG 18G LARANJA;1,39;1,39
4;REFRE PO TANG 18G ABACAXI;1,39;1,39
5;REFRE PO TANG 18G UVA;1,39;1,39
10;REFRIG COCA COLA PET 2L;10,49;10,49
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;3,99;4,19
13;AGUA MIN CRYSTAL PET 1 5L C GAS;4,49;4,75
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;8,79;9,25
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;8,79;9,25
16;AGUA MIN CRYSTAL PET 1 5L S GAS;4,49;4,75
17;REFRE PO TRINK 15G ABACAXI HORTELA;,99;,99
18;AGUA TONICA FRUKI PET 1 5L;5,99;5,99
19;REFRE PO TRINK 15G ABACAXI;,99;,99
20;REFRE PO TRINK 15G GUARANA;,99;,99
22;REFRE PO TRINK 15G LARANJA;,99;,99
23;REFRE PO TRINK 15G LARANJA BAHIA;,99;,99
24;REFRE PO TRINK 15G LIMAO;,99;,99
25;AGUA MIN DA PEDRA PET 2L C GAS;5,49;5,79
26;REFRE PO TRINK 15G LIMONADA SUICA;,99;,99
27;REFRE PO TRINK 15G MANGA;,99;,99
28;REFRE PO TRINK 15G MARACUJA;,99;,99
29;REFRE PO TRINK 15G MORANGO;,99;,99
30;REFRE PO TRINK 15G TANGERINA;,99;,99
31;REFRE PO TRINK 15G UVA;,99;,99
32;AGUA MIN SARANDI PET 2L C GAS;4,79;5,05
33;AGUA MIN SARANDI PET 2L S GAS;4,49;4,75
34;AGUA MIN DA PEDRA PET 500ML C GAS;,99;,99
35;AGUA MIN DA PEDRA PET 500ML S GAS;1,69;1,79
36;AGUA MIN CRYSTAL PET 500ML C GAS;1,99;2,09
37;REFRE PO TANG 18G GOIABA;1,39;1,39
38;REFRE PO TANG 18G GUARANA;1,39;1,39
39;REFRE PO TANG 18G LARANJA DOCINHA;1,39;1,39
40;REFRE PO TANG 18G LARANJA MAMAO;1,39;1,39
41;REFRE PO TANG 18G LIMAO;1,39;1,39
42;REFRE PO TANG 18G MANGA;1,39;1,39
43;AGUA MIN CRYSTAL PET 500ML S GAS;1,89;1,99
44;REFRE PO TANG 18G MARACUJA;1,39;1,39
45;REFRE PO TANG 18G MORANGO;1,39;1,39
46;REFRE PO TANG 18G TANGERINA;1,39;1,39
47;REFRE PO TANG 18G UVA INTENSA;1,39;1,39
48;AGUA MIN FLORESTA PET 500ML C GAS;,99;1,05
49;AGUA MIN FLORESTA PET 500ML S GAS;,99;,99
50;AGUA MIN DA PEDRA PET 5L S GAS;7,79;8,19
51;AGUA MIN CRYSTAL PET 5L S GAS;9,29;9,49
52;AGUA MIN FLORESTA PET 5L S GAS;5,79;6,09
53;AGUA MIN SARANDI 5L S GAS;5,99;6,29
54;AGUA MIN DA PEDRA LT 350ML ABACAXI E HORTE;2,99;3,29
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;2,99;3,29
56;AGUA MIN DA PEDRA LT 350ML LIM E ALE;2,99;3,15
57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;3,29;3,29
58;KEEP COOLER CLASSIC COLADA 275ML;8,99;9,45
59;AGUA GASEIFICADA CRYSTAL PET 510ML FRUTAS VERMELHA;3,29;3,29
60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;3,29;3,29
61;KEEP COOLER CLASSIC MORANGO 275ML;8,99;9,45
62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;3,29;3,29
65;KEEP COOLER CLASSIC PESSEGO 275ML;8,99;9,45
66;AGUA MIN DA PEDRA PET 350ML C GAS;1,79;1,89
67;AGUA MIN DA PEDRA PET 350ML S GAS;1,69;1,69
68;AGUA MIN FLORESTA ATIVA SQ 710ML S GAS;5,79;5,99
69;KEEP COOLER CLASSIC TANGERINA 275ML;8,99;9,45
70;KEEP COOLER CLASSIC UVA 275ML;8,99;9,45
73;AGUA MIN SARANDI FITTING PET 510ML S GAS;3,79;3,99
74;AGUA MIN SARANDI CP 200ML S GAS;,89;,95
76;REFRE PO CLIGHT 8G LARANJA;2,09;2,09
77;REFRE PO CLIGHT 8G LIMONADA;2,09;2,09
78;AGUA SABORIZ H2OH PET 500ML LIMAO;4,99;5,25
80;AGUA TONICA ANTARCTICA LT 350ML ZR;3,79;3,99
81;AGUA TONICA ANTARCTICA LT 350ML;3,79;3,99
82;AGUA TONICA ANTARTICA PET 1L;7,79;7,99
83;AGUA TONICA ANTARCTICA PET 1L ZR;7,79;7,99
84;AGUA TONICA FRUKI LT 350ML;2,99;3,15
85;COOLER CANCAO 750ML ABACAXI;16,9;17,9
86;COOLER CANCAO 750ML MORANGO;16,9;17,9
87;COOLER CANCAO 750ML PESSEGO;16,9;17,9
88;AGUA TONICA SARANDI LT 350ML;2,99;3,15
90;AGUA TONICA SCHWEPPES LT 350ML SA;3,29;3,49
91;REFRE PO FRISCO 18G LIMAO;,89;,89
92;REFRE PO FRISCO 18G MARACUJA C IOG;,89;,89
