CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBALAGEM_VENDA;QTD_LOJAS_COM_CUSTO;PRECO_VENDA_NORMAL;PRECO_VENDA_PRATICADO;CUSTO_NF_BRUTO;CUSTO_IPI;CUSTO_ICMS_ST;CUSTO_DESP_NF;CUSTO_DESP_FORA_NF;CREDITO_ICMS;CREDITO_PIS;CREDITO_COFINS;DESCONTO_FORA_NF;DESCONTO_VERBA;CUSTO_LIQUIDO;ALIQ_ICMS_VENDA;ALIQ_PIS_VENDA;ALIQ_COFINS_VENDA;ALIQ_IMPOSTOS_TOTAL;VALOR_IMPOSTOS_VENDA;PRECO_VENDA_LIQUIDO;LUCRO_VALOR;MARGEM_REALIZADA;MARGEM_OBJETIVA;PRECO_SUGERIDO
3;REFRE PO TANG 18G LARANJA;1;14;1,39;1,39;,9063;0;0;0;0;,1079;,0131;,0601;0;0;,7557;17;1,65;7,6;26,25;,3649;1,0251;,2694;19,38;17;1,33
4;REFRE PO TANG 18G ABACAXI;1;15;1,39;1,39;,8998;0;0;0;0;,108;,0131;,0602;0;0;,7483;17;1,65;7,6;26,25;,3649;1,0251;,2768;19,92;17;1,32
5;REFRE PO TANG 18G UVA;1;15;1,39;1,39;,9;0;0;0;0;,108;,0131;,0602;0;0;,7458;17;1,65;7,6;26,25;,3649;1,0251;,2793;20,1;17;1,31
10;REFRIG COCA COLA PET 2L;1;15;10,49;10,49;8,772;,1495;,7813;0;0;0;0;0;0;0;8,6704;0;0;0;0;0;10,49;1,8196;17,35;18;10,57
12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;1;14;4;4;2,4215;0;0;0;0;,0898;0;0;0;0;2,2738;17;0;0;17;,68;3,32;1,0462;26,16;24;3,85
13;AGUA MIN CRYSTAL PET 1 5L C GAS;1;14;4,51;4,51;2,9;0;0;0;0;,348;0;0;0;0;2,5395;17;0;0;17;,7667;3,7433;1,2038;26,69;24;4,3
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;1;14;8,82;8,82;6,83;,0923;,4129;,0708;0;0;0;0;0;0;6,83;0;0;0;0;0;8,82;1,99;22,56;24;8,99
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;1;10;8,82;8,82;6,83;,0924;,4131;,0708;0;0;0;0;0;0;6,83;0;0;0;0;0;8,82;1,99;22,56;24;8,99
16;AGUA MIN CRYSTAL PET 1 5L S GAS;1;14;4,51;4,51;2,59;0;0;0;0;,3108;0;0;0;0;2,2846;17;0;0;17;,7667;3,7433;1,4587;32,34;24;3,87
17;REFRE PO TRINK 15G ABACAXI HORTELA;1;15;,99;,98;,6027;0;0;0;0;,0723;,0087;,0403;0;0;,5088;17;1,65;7,6;26,25;,2573;,7228;,214;21,83;49;2,06
18;AGUA TONICA FRUKI PET 1 5L;1;14;5,99;5,99;4,94;,091;,3317;0;0;0;0;0;0;0;5,0037;0;0;0;0;0;5,99;,9863;16,47;24;6,58
19;REFRE PO TRINK 15G ABACAXI;1;15;,99;,98;,6027;0;0;0;0;,0722;,0087;,0402;0;0;,5044;17;1,65;7,6;26,25;,2573;,7228;,2184;22,28;49;2,04
