DIA_VENDA	DEPARTAMENTO	COMPRADOR	LOJA	VLR_VENDAS
01/04/2026	A CLASSIFICAR	BATISTA	8	15,79
01/04/2026	A CLASSIFICAR	BATISTA	11	16,9
01/04/2026	A CLASSIFICAR	MODELO	3	6,6
01/04/2026	BEBIDAS	NICOLAS	1	3646,96
01/04/2026	BEBIDAS	NICOLAS	2	23436,16
01/04/2026	BEBIDAS	NICOLAS	3	38619,91
01/04/2026	BEBIDAS	NICOLAS	4	13174,05
01/04/2026	BEBIDAS	NICOLAS	5	10407,49
01/04/2026	BEBIDAS	NICOLAS	6	18076,71
01/04/2026	BEBIDAS	NICOLAS	7	9137,54
01/04/2026	BEBIDAS	NICOLAS	8	10283,54
01/04/2026	BEBIDAS	NICOLAS	11	24061,42
01/04/2026	BEBIDAS	NICOLAS	12	20619,56
01/04/2026	BEBIDAS	NICOLAS	13	18160,88
01/04/2026	BEBIDAS	NICOLAS	14	13215,45
01/04/2026	BEBIDAS	NICOLAS	17	22251,1
01/04/2026	BEBIDAS	NICOLAS	18	13245,46
01/04/2026	MERCEARIA	LAURINDO	11	29,83
01/04/2026	MERCEARIA	LAURINDO	14	29,95
01/04/2026	MERCEARIA	MODELO	17	15,98
01/04/2026	MERCEARIA	NICOLAS	6	47,96
01/04/2026	MERCEARIA	NICOLAS	13	51,6
01/04/2026	MERCEARIA	NICOLAS	14	11,99
01/04/2026	MERCEARIA	NICOLAS	17	25,8
01/04/2026	MERCEARIA	NICOLAS	18	12,9
01/04/2026	MERCEARIA	NIDAL	1	4210,94
01/04/2026	MERCEARIA	NIDAL	2	17569,63
01/04/2026	MERCEARIA	NIDAL	3	38326,79
01/04/2026	MERCEARIA	NIDAL	4	13396,78
01/04/2026	MERCEARIA	NIDAL	5	10533,3
01/04/2026	MERCEARIA	NIDAL	6	16106,4
01/04/2026	MERCEARIA	NIDAL	7	12554,58
01/04/2026	MERCEARIA	NIDAL	8	6960,39
01/04/2026	MERCEARIA	NIDAL	11	34129,83
01/04/2026	MERCEARIA	NIDAL	12	23849,71
01/04/2026	MERCEARIA	NIDAL	13	18496,38
01/04/2026	MERCEARIA	NIDAL	14	10640,1
01/04/2026	MERCEARIA	NIDAL	17	24592,85
01/04/2026	MERCEARIA	NIDAL	18	21405,17
01/04/2026	MERCEARIA	SANDRO	2	88,19
01/04/2026	MERCEARIA	SANDRO	3	451,23
01/04/2026	MERCEARIA	SANDRO	4	98,85
01/04/2026	MERCEARIA	SANDRO	5	67,19
01/04/2026	MERCEARIA	SANDRO	6	88,33
01/04/2026	MERCEARIA	SANDRO	7	57,85
01/04/2026	MERCEARIA	SANDRO	8	46,25
01/04/2026	MERCEARIA	SANDRO	11	87,35
01/04/2026	MERCEARIA	SANDRO	12	90,46
01/04/2026	MERCEARIA	SANDRO	13	24,35
01/04/2026	MERCEARIA	SANDRO	14	173,18
01/04/2026	MERCEARIA	SANDRO	17	59,84
01/04/2026	MERCEARIA	SANDRO	18	103,66
01/04/2026	MERCEARIA	WERTER	1	7978,72
01/04/2026	MERCEARIA	WERTER	2	28836,92
01/04/2026	MERCEARIA	WERTER	3	70506,81
01/04/2026	MERCEARIA	WERTER	4	22945,91
01/04/2026	MERCEARIA	WERTER	5	13591,85
01/04/2026	MERCEARIA	WERTER	6	25438,25
01/04/2026	MERCEARIA	WERTER	7	16514,9
01/04/2026	MERCEARIA	WERTER	8	11400,24
01/04/2026	MERCEARIA	WERTER	11	52361,49
01/04/2026	MERCEARIA	WERTER	12	43375,7
01/04/2026	MERCEARIA	WERTER	13	35731,56
01/04/2026	MERCEARIA	WERTER	14	29272,22
01/04/2026	MERCEARIA	WERTER	17	42939,15
01/04/2026	MERCEARIA	WERTER	18	32196,97
01/04/2026	NAO ALIMENTO	BATISTA	1	163,05
01/04/2026	NAO ALIMENTO	BATISTA	2	398,19
01/04/2026	NAO ALIMENTO	BATISTA	3	533,85
01/04/2026	NAO ALIMENTO	BATISTA	4	177,94
01/04/2026	NAO ALIMENTO	BATISTA	5	122,33
01/04/2026	NAO ALIMENTO	BATISTA	6	235,3
01/04/2026	NAO ALIMENTO	BATISTA	7	127,09
01/04/2026	NAO ALIMENTO	BATISTA	8	217,93
01/04/2026	NAO ALIMENTO	BATISTA	11	218,23
01/04/2026	NAO ALIMENTO	BATISTA	12	175,74
01/04/2026	NAO ALIMENTO	BATISTA	13	117,11
01/04/2026	NAO ALIMENTO	BATISTA	14	495,73
01/04/2026	NAO ALIMENTO	BATISTA	17	835,83
01/04/2026	NAO ALIMENTO	BATISTA	18	293,02
01/04/2026	NAO ALIMENTO	MODELO	17	78
01/04/2026	NAO ALIMENTO	MODELO	18	42,5
01/04/2026	NAO ALIMENTO	NICOLAS	2	4
01/04/2026	NAO ALIMENTO	NICOLAS	3	1953,85
01/04/2026	NAO ALIMENTO	NICOLAS	4	4
01/04/2026	NAO ALIMENTO	NICOLAS	12	6
01/04/2026	NAO ALIMENTO	NIDAL	2	4,99
