DIA_VENDA;DEPARTAMENTO;COMPRADOR;LOJA;VLR_VENDAS
01/02/2026;A CLASSIFICAR;BATISTA;2;15,79
01/02/2026;A CLASSIFICAR;BATISTA;5;15,79
01/02/2026;A CLASSIFICAR;BATISTA;7;31,58
01/02/2026;A CLASSIFICAR;BATISTA;18;15,79
01/02/2026;A CLASSIFICAR;MODELO;2;1800
01/02/2026;A CLASSIFICAR;MODELO;3;1730
01/02/2026;BEBIDAS;MODELO;2;38,99
01/02/2026;BEBIDAS;MODELO;3;77,98
01/02/2026;BEBIDAS;MODELO;12;21
01/02/2026;BEBIDAS;MODELO;13;122,7
01/02/2026;BEBIDAS;MODELO;17;42
01/02/2026;BEBIDAS;NICOLAS;2;21351,16
01/02/2026;BEBIDAS;NICOLAS;3;42460,91
01/02/2026;BEBIDAS;NICOLAS;4;4764,32
01/02/2026;BEBIDAS;NICOLAS;5;10833,41
01/02/2026;BEBIDAS;NICOLAS;6;23894,47
01/02/2026;BEBIDAS;NICOLAS;7;10781,01
01/02/2026;BEBIDAS;NICOLAS;8;4094,6
01/02/2026;BEBIDAS;NICOLAS;11;13004,22
01/02/2026;BEBIDAS;NICOLAS;12;10821,45
01/02/2026;BEBIDAS;NICOLAS;13;9116,23
01/02/2026;BEBIDAS;NICOLAS;14;14835,01
01/02/2026;BEBIDAS;NICOLAS;17;12703,27
01/02/2026;BEBIDAS;NICOLAS;18;7003,65
01/02/2026;MERCEARIA;LAURINDO;14;11,98
01/02/2026;MERCEARIA;MODELO;17;7,99
01/02/2026;MERCEARIA;NICOLAS;2;11,99
01/02/2026;MERCEARIA;NICOLAS;3;47,96
01/02/2026;MERCEARIA;NICOLAS;8;11,99
01/02/2026;MERCEARIA;NICOLAS;13;103,2
01/02/2026;MERCEARIA;NICOLAS;17;12,9
01/02/2026;MERCEARIA;NIDAL;2;9021,62
01/02/2026;MERCEARIA;NIDAL;3;16730,79
01/02/2026;MERCEARIA;NIDAL;4;2150,51
01/02/2026;MERCEARIA;NIDAL;5;5278,31
01/02/2026;MERCEARIA;NIDAL;6;8857,59
01/02/2026;MERCEARIA;NIDAL;7;6459,01
01/02/2026;MERCEARIA;NIDAL;8;1407,69
01/02/2026;MERCEARIA;NIDAL;11;6395,16
01/02/2026;MERCEARIA;NIDAL;12;6583,7
01/02/2026;MERCEARIA;NIDAL;13;7208,01
01/02/2026;MERCEARIA;NIDAL;14;5674,09
01/02/2026;MERCEARIA;NIDAL;17;12285,55
01/02/2026;MERCEARIA;NIDAL;18;3895,31
01/02/2026;MERCEARIA;SANDRO;2;103,69
01/02/2026;MERCEARIA;SANDRO;3;273,11
01/02/2026;MERCEARIA;SANDRO;5;38,06
01/02/2026;MERCEARIA;SANDRO;6;51,97
01/02/2026;MERCEARIA;SANDRO;7;35,99
01/02/2026;MERCEARIA;SANDRO;8;14,45
01/02/2026;MERCEARIA;SANDRO;12;52,47
01/02/2026;MERCEARIA;SANDRO;13;24,88
01/02/2026;MERCEARIA;SANDRO;14;48,71
01/02/2026;MERCEARIA;SANDRO;17;83,95
01/02/2026;MERCEARIA;SANDRO;18;12,89
01/02/2026;MERCEARIA;WERTER;1;73,23
01/02/2026;MERCEARIA;WERTER;2;12963,25
01/02/2026;MERCEARIA;WERTER;3;31293,57
01/02/2026;MERCEARIA;WERTER;4;3634,04
01/02/2026;MERCEARIA;WERTER;5;8005,57
01/02/2026;MERCEARIA;WERTER;6;13617,48
01/02/2026;MERCEARIA;WERTER;7;8751,2
01/02/2026;MERCEARIA;WERTER;8;2474,75
01/02/2026;MERCEARIA;WERTER;11;7382,57
01/02/2026;MERCEARIA;WERTER;12;10014,04
01/02/2026;MERCEARIA;WERTER;13;8289,21
01/02/2026;MERCEARIA;WERTER;14;11560,42
01/02/2026;MERCEARIA;WERTER;17;17000,33
01/02/2026;MERCEARIA;WERTER;18;5638,28
01/02/2026;NAO ALIMENTO;BATISTA;1;1,98
01/02/2026;NAO ALIMENTO;BATISTA;2;275,54
01/02/2026;NAO ALIMENTO;BATISTA;3;510,85
01/02/2026;NAO ALIMENTO;BATISTA;4;73,23
01/02/2026;NAO ALIMENTO;BATISTA;5;75,68
01/02/2026;NAO ALIMENTO;BATISTA;6;325,87
01/02/2026;NAO ALIMENTO;BATISTA;7;266,46
01/02/2026;NAO ALIMENTO;BATISTA;8;41,17
01/02/2026;NAO ALIMENTO;BATISTA;11;47,79
01/02/2026;NAO ALIMENTO;BATISTA;12;194,31
01/02/2026;NAO ALIMENTO;BATISTA;13;388,64
01/02/2026;NAO ALIMENTO;BATISTA;14;314,62
01/02/2026;NAO ALIMENTO;BATISTA;17;385,09
01/02/2026;NAO ALIMENTO;BATISTA;18;136,17
01/02/2026;NAO ALIMENTO;MODELO;6;7,99
01/02/2026;NAO ALIMENTO;MODELO;17;48,5
01/02/2026;NAO ALIMENTO;NICOLAS;2;259,98
01/02/2026;NAO ALIMENTO;NICOLAS;3;779,94
01/02/2026;NAO ALIMENTO;NICOLAS;5;649,95
01/02/2026;NAO ALIMENTO;NICOLAS;6;259,98
01/02/2026;NAO ALIMENTO;NICOLAS;14;259,98
01/02/2026;NAO ALIMENTO;NIDAL;3;9,98
01/02/2026;NAO ALIMENTO;NIDAL;4;4,99
01/02/2026;NAO ALIMENTO;NIDAL;7;4,99
01/02/2026;NAO ALIMENTO;NIDAL;11;21,96
01/02/2026;NAO ALIMENTO;NIDAL;12;5,49
01/02/2026;NAO ALIMENTO;NIDAL;13;26,25
