Pessoa;Empr.;Bco;Agência;Espécie;Título;Série;Parc;Depositário;Dt. Emissão;Dt. Movimento;Vencimento Programado;Prazo Efetivo;SC;SJ;Dias de Atraso;DV;Multa;Juros;% Desc. Financeiro;% Desc. Acordo;Desconto;Taxa Adm.;Vlr Original;Valor Aberto;Valor Líquido;A;P;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;10/02/2026;02/02/2026;1;L;N;77;9;0,00;0,00;0,00;0,00;0,00;67,23;9743,69;9743,69;9676,46;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;10/02/2026;02/02/2026;1;L;N;77;9;0,00;0,00;0,00;0,00;0,00;15,80;2430,01;2430,01;2414,21;;;;
6432 - BANRISUL SERVICOS LTDA;2;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;10/02/2026;02/02/2026;1;L;N;77;9;0,00;0,00;0,00;0,00;0,00;20,84;2083,83;2083,83;2062,99;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;21,56;3124,19;3124,19;3102,63;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;3,38;520,71;520,71;517,33;;;;
6432 - BANRISUL SERVICOS LTDA;4;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;12,18;1217,55;1217,55;1205,37;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;5;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;33,16;4805,84;4805,84;4772,68;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;5;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;6,87;1056,98;1056,98;1050,11;;;;
6432 - BANRISUL SERVICOS LTDA;5;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;12/02/2026;02/02/2026;1;L;N;77;11;0,00;0,00;0,00;0,00;0,00;19,51;1950,80;1950,80;1931,29;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;80,80;11710,72;11710,72;11629,92;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;19,94;3067,44;3067,44;3047,50;;;;
6432 - BANRISUL SERVICOS LTDA;6;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;19,36;1935,93;1935,93;1916,57;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;32,18;4664,00;4664,00;4631,82;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;12,01;1846,99;1846,99;1834,98;;;;
6432 - BANRISUL SERVICOS LTDA;7;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;18,81;1881,44;1881,44;1862,63;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;16,46;2385,08;2385,08;2368,62;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;1,38;212,41;212,41;211,03;;;;
6432 - BANRISUL SERVICOS LTDA;8;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;6,71;671,11;671,11;664,40;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;43,30;6275,72;6275,72;6232,42;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;17,25;2654,16;2654,16;2636,91;;;;
6432 - BANRISUL SERVICOS LTDA;11;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;13/02/2026;02/02/2026;1;L;N;77;12;0,00;0,00;0,00;0,00;0,00;23,99;2398,90;2398,90;2374,91;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;41,93;6076,43;6076,43;6034,50;;;;
