DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA;VENDA_VALOR;VENDA_PROMOCAO
A CLASSIFICAR;FAMILIAS;;;;;BATISTA;38804;DESINF LYSOFORM ORIGINAL 5L;A;28;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;71,82;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;75,81;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;100,56;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;131,67;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;175,56;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;223,44;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;279,3;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;295,26;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;714,21;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;770,07;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;A;24;961,59;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;4,49;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;26,94;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;67,35;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;116,74;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;180,59;59,36
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;230,85;172,48
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;245,99;219,05
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;317,97;53,06
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;377,16;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;440,02;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;445,19;350,19
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;632,91;181,92
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;853,07;439,99
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;13;AGUA MIN CRYSTAL PET 1 5L C GAS;A;24;1894,78;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;79,91;21,54
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;99,75;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;170,62;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;206,54;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;237,95;35,9
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;251,44;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;307,07;82,57
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;309,81;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;413,08;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;420,49;101,7
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;534,31;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;663,22;178,3
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;965,35;0
