CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
3;REFRE PO TANG 18G LARANJA;10617;MENON COMERCIO E REPRESENTACOES LTDA
4;REFRE PO TANG 18G ABACAXI;10617;MENON COMERCIO E REPRESENTACOES LTDA
5;REFRE PO TANG 18G UVA;10617;MENON COMERCIO E REPRESENTACOES LTDA
10;REFRIG COCA COLA PET 2L;15441;SPAL IND BRAS BEBIDAS AS
12;AGUA MIN DA PEDRA PET 1 5L S GAS;6424;BEBIDAS FRUKI LTDA
13;AGUA MIN CRYSTAL PET 1 5L C GAS;15441;SPAL IND BRAS BEBIDAS AS
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;9638;CRBS AS CDD PELOTAS
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;9638;CRBS AS CDD PELOTAS
16;AGUA MIN CRYSTAL PET 1 5L S GAS;15441;SPAL IND BRAS BEBIDAS AS
18;AGUA TONICA FRUKI PET 1 5L;6424;BEBIDAS FRUKI LTDA
25;AGUA MIN DA PEDRA PET 2L C GAS;6424;BEBIDAS FRUKI LTDA
34;AGUA MIN DA PEDRA PET 500ML C GAS;6424;BEBIDAS FRUKI LTDA
35;AGUA MIN DA PEDRA 500ML S GAS;6424;BEBIDAS FRUKI LTDA
36;AGUA MIN CRYSTAL 500ML C GAS;15441;SPAL IND BRAS BEBIDAS AS
37;REFRE PO TANG 18G GOIABA;10617;MENON COMERCIO E REPRESENTACOES LTDA
38;REFRE PO TANG 18G GUARANA;10617;MENON COMERCIO E REPRESENTACOES LTDA
39;REFRE PO TANG 18G LARANJA DOCINHA;10617;MENON COMERCIO E REPRESENTACOES LTDA
40;REFRE PO TANG 18G LARANJA MAMAO;10617;MENON COMERCIO E REPRESENTACOES LTDA
41;REFRE PO TANG 18G LIMAO;10617;MENON COMERCIO E REPRESENTACOES LTDA
42;REFRE PO TANG 18G MANGA;10617;MENON COMERCIO E REPRESENTACOES LTDA
43;AGUA MIN CRYSTAL 500ML S GAS;15441;SPAL IND BRAS BEBIDAS AS
45;REFRE PO TANG 18G MORANGO;10617;MENON COMERCIO E REPRESENTACOES LTDA
46;REFRE PO TANG 18G TANGERINA;10617;MENON COMERCIO E REPRESENTACOES LTDA
47;REFRE PO TANG 18G UVA INTENSA;10617;MENON COMERCIO E REPRESENTACOES LTDA
48;AGUA MIN FLORESTA 500ML C GAS;10181;AGUAS MINERAIS SARANDI LTDA
49;AGUA MIN FLORESTA 500ML S GAS;10181;AGUAS MINERAIS SARANDI LTDA
50;AGUA MIN DA PEDRA PET 5L S GAS;6424;BEBIDAS FRUKI LTDA
51;AGUA MIN CRYSTAL 5L S GAS;15441;SPAL IND BRAS BEBIDAS AS
53;AGUA MIN SARANDI 5L S GAS;10181;AGUAS MINERAIS SARANDI LTDA
54;AGUA MIN DA PEDRA LT 350ML ABACAXI C HORT;6424;BEBIDAS FRUKI LTDA
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;6424;BEBIDAS FRUKI LTDA
56;AGUA MIN DA PEDRA LT 350ML LIM C ALECRIM;6424;BEBIDAS FRUKI LTDA
57;AGUA GASEIF CRYSTAL 510ML SPARK;15441;SPAL IND BRAS BEBIDAS AS
59;AGUA GASEIF CRYSTAL 510ML FRT VRM;15441;SPAL IND BRAS BEBIDAS AS
