CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
3961;7898190300016;AIPIM HENICKA DESC VACUO CONG 1KG;1;1;2 - SANDRO;12,89;0;12,89
4340;7896716302117;BANHA PAMPLONA PCT 1KG;1;1;2 - SANDRO;15,89;0;15,89
4351;7898921567985;BATATA CONG BEM BRASIL 1 5KG;1;1;2 - SANDRO;19,99;0;19,99
4361;7891097103223;BEB LACT ELEGE 1 150KG MORANGO;1;1;2 - SANDRO;17,79;0;17,79
4362;7891097103230;BEB LACT ELEGE 1 150KG SALADA FRUTA;1;1;2 - SANDRO;17,79;0;17,79
4363;7891097088346;BEB LACT ELEGE 510G MORANGO;1;1;2 - SANDRO;5,99;0;5,99
4364;7891097102004;BEB LACT ELEGE 510G MORANGO COCO;1;1;2 - SANDRO;5,99;0;5,99
4397;7891097101717;BEB LACT BATAVO 510G POLPA MORANGO;1;1;2 - SANDRO;6,59;0;6,59
4398;7891097101854;BEB LACT BATAVO 510G POLPA MORANGO COCO;1;1;2 - SANDRO;6,59;0;6,59
4401;7891097101748;BEB LACT ELEGE 510G MORANGO AMEIXA;1;1;2 - SANDRO;5,99;0;5,99
4415;7896256604924;BEB LACT FRUTIROL 480G MORANGO;1;1;2 - SANDRO;4,59;0;4,59
4454;7896002311687;BISNAGA PULLMAN 300G ARTESANO CHAPA;1;1;2 - SANDRO;10,99;0;10,99
4456;7896209400139;BISNAGUINHA NUTRELLA 300G NUTRELINH;1;1;2 - SANDRO;12,39;0;12,39
4458;7896002360234;BISNAGUINHA PULLMAN 300G;1;1;2 - SANDRO;8,79;0;8,79
4459;7896002311663;BISNAGA PULLMAN 300G ARTESANO;1;1;2 - SANDRO;10,99;0;10,99
4471;7896002362054;BOLO NUTRELLA 42G ANA MARIA COB CHOCOLATE;1;1;2 - SANDRO;3,59;0;3,59
4472;7896002368230;BOLO NUTRELLA 42G ANA MARIA COB NAPOLITANO;1;1;2 - SANDRO;3,59;0;3,59
4473;7896002362436;BOLO NUTRELLA ANA MARIA 70G CHOC TRAD;1;1;2 - SANDRO;4,99;0;4,99
4474;7896002363259;BOLO NUTRELLA ANA MARIA 70G GOTAS CHOC;1;1;2 - SANDRO;4,99;0;4,99
4477;7896002361019;BOLO PULLMAN 250G CHOCOLATE;1;1;2 - SANDRO;13,99;0;13,99
4478;7896002362146;BOLO PULLMAN 250G GOTAS CHOCOLATE;1;1;2 - SANDRO;13,99;0;13,99
4479;7896002360982;BOLO PULLMAN 250G FRAP CALIFORNIA;1;1;2 - SANDRO;13,99;0;13,99
4480;7896002361033;BOLO PULLMAN 250G LARANJA;1;1;2 - SANDRO;13,99;0;13,99
4557;7898013651059;CAPELETTI ITALIANY 250G QUEIJO CP;1;1;2 - SANDRO;11,49;0;11,49
6253;7898368260029;GELO TUBO GELO 2 5KG BOLSA;1;1;2 - SANDRO;9,99;0;9,99
6324;7896504302121;INGRED P FEIJOADA SANTA CLARA 450G;1;1;2 - SANDRO;19,99;0;19,99
6413;7891097106057;IOG ELEGE POLPA 510G MOR VIT;1;1;2 - SANDRO;13,99;0;13,99
6662;7891515496357;LASANHA PERDIGAO 600G BOLONHESA;1;1;2 - SANDRO;15,99;0;15,99
6663;7891515490430;LASANHA PERDIGAO 600G CALABRESA;1;1;2 - SANDRO;15,99;0;15,99
6664;7891515496234;LASANHA PERDIGAO 600G FGO BACON;1;1;2 - SANDRO;15,99;0;15,99
6780;7891000076217;LEITE NINHO UHT TP LEVINHO 1L SEMI DESNATADO;1;1;2 - SANDRO;6,59;0;6,59
6781;7896079500151;LEITE LV EDGE ELEGE 1L INTEGRAL;1;1;2 - SANDRO;5,59;0;5,59
6783;7896256601848;LEITE UHT TIROL C TAMPA 1L INTEGRAL;1;1;2 - SANDRO;5,29;0;5,29
6784;7896256603446;LEITE UHT TIROL C TAMP 1L SEMI DESN;1;1;2 - SANDRO;5,29;0;5,29
6785;7896079500175;LEITE LV EDGE ELEGE 1L DESNATADO;1;1;2 - SANDRO;5,59;0;5,59
6786;7896079500168;LEITE LV EDGE ELEGE 1L SEMI DESNATADO;1;1;2 - SANDRO;5,59;0;5,59
6787;7891097102660;LEITE LV ELEGE 1L ZERO LAC SEMI DES;1;1;2 - SANDRO;5,59;0;5,59
6791;7891097001093;LEITE UHT PET ELEGE 1L DESNATADO;1;1;2 - SANDRO;5,69;0;5,69
6792;7891097001079;LEITE UHT PET ELEGE 1L INTEGRAL;1;1;2 - SANDRO;5,69;0;5,69
6793;7891097001086;LEITE UHT PET ELEGE 1L SEMI DESNATADO;1;1;2 - SANDRO;5,69;0;5,69
6795;7896256601824;LEITE UHT TIROL 1L ZERO LAC;1;1;2 - SANDRO;5,69;0;5,69
7051;7896079530233;MANT ELEGE 200G C SAL;1;1;2 - SANDRO;9,99;0;9,99
7052;7896079502544;MANT ELEGE 200G S SAL;1;1;2 - SANDRO;9,99;0;9,99
7053;7898690430473;MANTEIGA FRIOLACK 200G POTE SEM SAL;1;1;2 - SANDRO;4,35;0;4,35
7067;7891515901059;MARG CLAYBOM 500G C SAL;1;1;2 - SANDRO;7,79;0;7,79
7069;7891080404887;MARG CREMOSY 1KG C SAL;1;1;2 - SANDRO;15,99;0;15,99
7070;7891080404870;MARG CREMOSY 500G C SAL;1;1;2 - SANDRO;8,39;0;8,39
7071;7894904286812;MARG DELICIA TAB 100G C SAL;1;1;2 - SANDRO;2,99;0;2,99
7072;7891080400087;MARG DELICIA 500G C SAL;1;1;2 - SANDRO;10,99;0;10,99
7073;7891080400070;MARG DELICIA 500G S SAL;1;1;2 - SANDRO;10,99;0;10,99
7077;7896279600293;MARG DUALIS 500G C SAL;1;1;2 - SANDRO;3,99;0;3,99
7081;7891515537531;MARG QUALY 250G C SAL;1;1;2 - SANDRO;6,99;0;6,99
7085;7893000394209;MARG QUALY 500G C SAL;1;1;2 - SANDRO;10,59;0;10,59
7086;7893000383005;MARG QUALY 500G S SAL;1;1;2 - SANDRO;10,59;0;10,59
7130;7898013650052;MASSA LASANHA ITALIANY 500G LG;1;1;2 - SANDRO;8,59;0;8,59
7142;7898013650045;MASSA PASTEL ITALIANY 500G DG;1;1;2 - SANDRO;7,49;0;7,49
7143;7898013650038;MASSA PASTEL ITALIANY 500G DL;1;1;2 - SANDRO;7,49;0;7,49
7166;7898690430404;MIST FRIOLACK 1 8KG CREM L QJO AMID;1;1;2 - SANDRO;18,9;0;18,9
7167;7898690430428;MIST FRIOLACK 1 8KG CREM L QJO AMID CHEDDAR;1;1;2 - SANDRO;18,9;0;18,9
7181;7891164018900;MORTAD AURORA FGO 400G;1;1;2 - SANDRO;10,39;0;10,39
7186;7896610901584;MORTAD EXCELSIOR 400G C TOUC;1;1;2 - SANDRO;8,99;0;8,99
7187;7896610901621;MORTAD EXCELSIOR 400G S TOUC;1;1;2 - SANDRO;8,99;0;8,99
7197;7893000340107;MORTADELA SADIA 1KG C GORD MFGY;1;1;2 - SANDRO;18,79;0;18,79
7300;7896002360326;PAO FORMA PULLMAN 480G;1;1;2 - SANDRO;8,69;8,69;8,69
7301;7896002302197;PAO FORMA PULLMAN 500G ARTESANO;1;1;2 - SANDRO;14,79;14,79;14,79
7302;7896002303460;PAO FORMA PULLMAN 500G INTEG ARTES;1;1;2 - SANDRO;14,69;14,69;14,69
7306;7896002310239;PAO NUTRELLA 350G ABOB LINH CENO;1;1;2 - SANDRO;19,99;19,99;19,99
7309;7896209401174;PAO NUTRELLA 450G 14 GRAOS VITTA;1;1;2 - SANDRO;22,89;0;22,89
7311;7896209401181;PAO NUTRELLA 450G GRAOS CASTANHAS;1;1;2 - SANDRO;22,89;0;22,89
7312;7896002300360;PAO NUTRELLA 550G SUPREME;1;1;2 - SANDRO;24,99;0;24,99
7313;7896002300377;PAO NUTRELLA 550G SUPREME FTAS GRAOS CAST;1;1;2 - SANDRO;24,99;0;24,99
7317;7896002304153;PAO PULLMAN 420G HAMBURGUER C GERGE;1;1;2 - SANDRO;19,29;0;19,29
7319;7896002366267;PAO PULLMAN 450G 12 GRAOS;1;1;2 - SANDRO;18,99;18,99;18,99
7322;7896002301633;PAO PULLMAN 450G S CASCA TRAD;1;1;2 - SANDRO;18,89;18,89;18,89
7323;7896002300148;PAO PULLMAN 480G INTEGRAL;1;1;2 - SANDRO;13,99;13,99;13,99
7324;7896002310345;PAO PULLMAN 500G NA CHAPA ARTESANO;1;1;2 - SANDRO;17,99;17,99;17,99
7325;7896002304184;PAO PULLMAN 520G HAMBURGUER;1;1;2 - SANDRO;19,29;0;19,29
7327;7896610909993;PAO QUEIJO EXCELSIOR 400G;1;1;2 - SANDRO;10,99;0;10,99
7402;7896610905742;PATE EXCELSIOR 100G FIGADO;1;1;2 - SANDRO;3,99;0;3,99
7403;7896610905827;PATE EXCELSIOR 100G FGO;1;1;2 - SANDRO;3,99;0;3,99
