DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
BEBIDAS;NICOLAS AUGUSTO P. BORGES;2;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;1588;2160;11697;3900;5568;152;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;2;179;CERVEJA ORIGINAL LT 473ML;Ativo;12;12;1970;0;2503;1992;2832;72;387
BEBIDAS;NICOLAS AUGUSTO P. BORGES;2;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;58;632;1156;896;1344;82;4,5
MERCEARIA;WETER SONNENFELDET;2;2911;ACHOC LIQ ITALAC 200ML;Ativo;24;24;9;96;241;168;240;6;1204
MERCEARIA;WETER SONNENFELDET;2;2909;ACHOC LIQ SHOWKINHO 200ML;Ativo;27;27;50;270;2798;325;433;4;156,56
MERCEARIA;NIDAL TUBASI;2;2084;ARROZ BCO REQUINTE TP1 1KG;Ativo;30;30;43;0;233;60;90;2;27,43
MERCEARIA;NIDAL TUBASI;2;2118;ARROZ BCO SABOROSO TP1 2KG;Ativo;15;15;43;0;73;45;60;1;10,67
MERCEARIA;WETER SONNENFELDET;2;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;5;120;0;144;336;9;2
MERCEARIA;WETER SONNENFELDET;2;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;-23;0;3;48;72;6;3
MERCEARIA;NIDAL TUBASI;2;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;17;5;22;31;41;4;100
MERCEARIA;NIDAL TUBASI;2;33442;LENTILHA JUREIA 500G;Ativo;12;12;280;0;0;288;408;11;208,92
MERCEARIA;NIDAL TUBASI;2;2382;LENTILHA YOKI TP2 400G;Ativo;16;16;26;32;478;80;112;3;79,56
MERCEARIA;WETER SONNENFELDET;2;20316;MACARRAO INST GERMANI 63G CARNE;Ativo;50;50;190;50;289;250;300;1;450,92
MERCEARIA;NIDAL TUBASI;2;2573;MOLHO TOM FUGINI SH 300G TRAD;Ativo;36;36;326;252;704;612;828;7;843,11
PERFUMARIA E LIMPEZA;JOAO BATISTA;2;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;18;0;48;60;7;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;2;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;18;0;48;60;7;4
PRODUTOS PET;JOAO BATISTA;2;3976;ALIM CAO ALPO AD 10 1KG CAR FGO CER VEG;Ativo;1;1;-3;2;2;10;14;12;2
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;35;AGUA MINER AGUA DA PEDRA 500ML S GAS;Ativo;12;12;624;0;1640;672;876;21;652,25
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;81;AGUA TONICA ANTARCTICA LT 350ML;Ativo;12;12;4;12;118;24;36;2;7,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;413;AGUARDENTE KIKANA 790ML;Ativo;12;12;3;0;7;48;60;5;80,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;384;BEB MISTA TAMPICO 450ML FRUTAS CITRICAS;Ativo;12;12;-58;0;109;24;48;4;165,92
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;144;CERV AMSTEL LT 473ML LAGER;Ativo;12;12;1754;0;3560;1860;2640;74;2300,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;147;CERV ANTARCTICA PILSEN LT 473ML;Ativo;12;12;1466;948;3075;2640;2880;39;537,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;34496;CERV BELLAVISTA LT 473 ML PILSEN;Ativo;12;12;-1269;144;528;540;720;48;46
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;2972;0;17210;3900;5568;216;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;282;CERVEJA MICHELOB LN 330ML ULTRA;Ativo;24;24;61;48;231;120;168;3;2
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;188;CERVEJA POLAR LT 473ML EXPORT;Ativo;12;12;393;0;1036;480;600;17;252,92
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;309;CERVEJA PROVINCIA LT 473ML ZERO MALZBIER;Ativo;12;12;252;0;52;360;468;18;78,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;207;CERVEJA SCHIN LT 473ML PILSEN;Ativo;12;12;0;84;7666;1920;2736;221;3239
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;439;ENERG BALY PET 2L TRAD S A;Ativo;6;6;-4;12;39;18;30;3;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;33732;ENERG RED BULL LT 250ML POMELO;Ativo;24;24;10;0;12;24;36;1;3
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;33730;ENERG RED BULL LT 250ML ZERO;Ativo;24;24;12;0;46;48;72;3;44
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;17566;ENERG RED BULL MELAO MARAC LT 250ML;Ativo;4;4;1;0;0;20;24;6;34,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;539;GATORADE 500ML LARANJA;Ativo;6;6;-32;0;137;42;60;10;109
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;34724;REFRE HAPPY TP 1L ABACAXI;Ativo;12;12;4;0;0;24;36;3;7
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;34718;REFRE HAPPY TP 1L PESSEGO;Ativo;12;12;-1;0;0;24;36;3;8
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;33872;REFRE HAPPY TP 200ML PESSEGO;Ativo;24;24;27;0;144;48;72;2;76
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;101;REFRE PO FRISCO 18G UVA;Ativo;180;180;0;0;330;180;360;2;7
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;182;REFRE PO GLUP 15G GUARANA;Ativo;60;60;178;0;9;840;1080;15;192,8
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;911;REFRIG ANTARCTICA GUARANA PET 200ML ZERO;Ativo;12;12;-58;120;408;132;180;5;77
BEBIDAS;NICOLAS AUGUSTO P. BORGES;3;786;REFRIG ANTARCTICA GUARANA PET 2L ZERO;Ativo;8;8;399;0;644;424;600;25;229
