COD_LOJA;COD_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;SECAO;COMPRADOR;FORNECEDOR_PRINCIPAL;FORMA_ABASTECIMENTO;EMB_COMPRA;EMB_TRANSF;ESTQ_DISP_LOJA;ESTQ_FISICO_LOJA;ESTQ_RESERVADO_LOJA;ESTQ_MIN_PADRAO;ESTQ_MAX_PADRAO;ESTQ_MIN_PONTO_EXTRA;ESTQ_MAX_PONTO_EXTRA;PONTOS_EXTRAS_ATIVOS;ESTQ_MIN_TOTAL;ESTQ_MAX_TOTAL;ESTQ_DISP_TOTAL_CD;ESTQ_DISP_CD15;ESTQ_DISP_CD16;ESTQ_DISP_CD50;VDA_30D_QTD;VDA_30D_VALOR;MEDIA_VDA_DIA;DIAS_ESTOQUE_LOJA;DIAS_ESTOQUE_REDE;PEND_COMPRA_FORNEC;PEND_EXPEDICAO_CD;EM_TRANSITO_CD_LOJA;TOTAL_PEND_RECEBER;DIAS_COB_COM_PENDENTES;STATUS_RUPTURA
13;2020;CAFE VACUO MELITTA 500G EXTRA FORTE;MERCEARIA;MERCEARIA SECA;WERTER;10368 - MELITTA DO BRASIL E COMERCIO LTDA.;M;20;20;5;5;0;12;32;0;0;0;12;32;401;400;0;1;50;1399,62;1,67;3;243,1;0;0;0;0;3;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
3;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;86;86;0;110;170;0;0;0;110;170;0;0;0;0;293;1318,67;9,77;8,8;8,8;0;0;0;0;8,8;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
4;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;54;54;0;58;94;0;0;0;58;94;0;0;0;0;176;816,64;5,87;9,2;9,2;0;0;0;0;9,2;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
5;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;11;11;0;12;18;0;0;0;12;18;0;0;0;0;30;133,3;1;11;11;0;0;0;0;11;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
6;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;18;18;0;30;48;0;0;0;30;48;0;0;0;0;100;443,8;3,33;5,4;5,4;0;0;0;0;5,4;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
7;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;27;27;0;28;46;0;0;0;28;46;0;0;0;0;87;398,33;2,9;9,3;9,3;0;0;0;0;9,3;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
8;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;17;17;0;18;30;0;0;0;18;30;0;0;0;0;49;221,91;1,63;10,4;10,4;0;0;0;0;10,4;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
11;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;8;8;0;28;46;0;0;0;28;46;0;0;0;0;88;404,12;2,93;2,7;2,7;0;0;0;0;2,7;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
12;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;43;43;0;64;100;0;0;0;64;100;0;0;0;0;202;890,78;6,73;6,4;6,4;0;0;0;0;6,4;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
13;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;12;12;0;16;28;0;0;0;16;28;0;0;0;0;10;42,3;,33;36,4;36,4;0;0;0;0;36,4;5 - ABAIXO DO MINIMO (CD ZERADO / SEM PEDIDO COMPRA)
2;853;REFRIG FANTA PET 600ML UVA;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;M;6;6;23;23;0;34;58;0;0;0;34;58;0;0;0;0;91;415,89;3,03;7,6;7,6;30;0;0;30;17,5;6 - ABAIXO DO MINIMO (COM PEDIDO/TRANSITO A CAMINHO)
2;2799;FAROFA MANDIOCA YOKI 400G TRADICIONAL;MERCEARIA;MERCEARIA SECA;NIDAL;3527 - FABIANO ZAFFALON E CIA LTDA;M;24;24;337;337;0;102;150;240;360;1;342;510;576;576;0;0;167;1351,23;5,57;60,5;163,9;0;168;0;168;90,7;6 - ABAIXO DO MINIMO (COM PEDIDO/TRANSITO A CAMINHO)
