ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;15;2329/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;4200
1-TITULO_REAL;3;2317/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;5526
1-TITULO_REAL;4;2318/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2997
1-TITULO_REAL;14;2304/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;11748
1-TITULO_REAL;11;2308/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;3440
1-TITULO_REAL;18;2314/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;6240
1-TITULO_REAL;7;2298/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2435
1-TITULO_REAL;18;2327/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2731
1-TITULO_REAL;6;2320/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;4200
1-TITULO_REAL;3;2289/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;7167
1-TITULO_REAL;5;2293/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;4570
1-TITULO_REAL;7;2321/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2270
1-TITULO_REAL;2;2316/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2240
1-TITULO_REAL;12;2325/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;6750
1-TITULO_REAL;3;2288/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;23562
1-TITULO_REAL;14;2302/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;2429
1-TITULO_REAL;8;2300/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;5867
1-TITULO_REAL;17;2306/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;1509
1-TITULO_REAL;2;2286/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;7635
1-TITULO_REAL;13;2312/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;4681
1-TITULO_REAL;6;2295/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;1772
1-TITULO_REAL;12;2311/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;19/05/2026;;30;1;18/06/2026;FATURADO;5589
