codigo;descricao consinco;embalagem
35394;SUPORTE P FITA ADES;1
36108;PRANCHETA DURATEX ;1
35375;TESOURA;1
35438;CALCULADORA 12 DIG ZETA 712 SOLAR E BATERIA;1
35554;CANETA   COMPACTOR TOP 2000;1
35798;CARBONO AZUL;1
35937;CORRETIVO LIQUIDO 18ML ;1
35773;MARCA TEXTO;1
36068;EXTRATOR DE GRAMPO;1
36088;FITA CALC 2 ROLOS 3 PINOS;1
36089;FITA CALC ROLETE ENTINTADO IR40 TRULY INK PN305;1
36091;FITA CALC ROLETE IR 40T;1
35640;GRAMPEADOR;1
35742;LAPIS PRETO;1
35775; MOLHA DEDO;1
36093;PINCEL ATOMICO BIC AZUL;1
36096;PINCEL ATOMICO BIC VERMELHO;1
36163;PINCEL ATOMICO BIC PRETO;1
35372;TINTA PARA CARIMBO TINN-KOL 40ML AZUL;1
35440;CALCULADORA DE BOLSO;1
12345001;TINTA PARA CARIMBO TINN-KOL 40ML PRETO;1
36098;FOLHA A4;1
35363;ALMOFADA PARA CARIMBO;1
35380;ARQUIVO MORTO 344/13,5/244MM ;1
35935;ATILHO AMARELO N 18 500G MAMUTH;1
35368;TNT VERM-VERD-AZUL-AMA-ROSA-BRANCO  ;1
35920;CLIPS GRANDE Nº8;1
35924;CLIPS PEQUENO Nº2;1
35987;ENVELOPE MEDIO 162X229 PARDO;1
35986;ENVELOPE OFICIO 230X324 PARDO;1
35642;GRAMPO 26/6 106;1
35534;PASTA A-Z OFICIO;1
35536;PASTA L OFICIO;1
35559;PASTA SANFONADA A4;1
35555;PASTA ABA ELASTICO POLIPROPILENO TR OFICIO;1
35450;SACO DIDATICO TIPO OFICIO;1
36499;PASTA SUSPENSA;1
36082;FITA ADESIVA 12X65;1
36139;FITA LARGA 48X45;1
35651;GRAMPO ROCAMA;1
36102;PLACA PVC FECHADO ;1
36109;PRANCHETA PEQUENA;1
36095;FITILHO PLASTICO FIO RAFIA RECICLADO ;1
35529;PAPEL PRESENTE 40CM;1
35530;PAPEL PRESENTE 60 CM;1
35531;PAPEL PRESENTE 80CM;1
35523;PANO MULTIUSO 50X70;1
36097;FLANELA AMARELA 27X40;12
35517;PANO BRANCO;1
35355;ALCOOL 1 LITRO;1
35373;ALCOOL GEL 5L;1
35485;ENTREGA DE MALOTE;1
35489;BOLETIM DE OCORRENCIA;1
35379;ENTREGA DE RANCHO;1
35737;LACRE CAIXAS VASILHAME C/20;1
35359;VASILHAME;1
35377;ORDEM DE COMPRA;1
36520;RECIBO COMERCIAL;1
35360;VALE SIMPLES;1
60172;SELO ALMONDEGA ALEGRETE;1
60172;SELO ALMONDEGA ITAQUI;1
60172;SELO ALMONDEGA SÃO BORJA;1
60172;SELO ALMONDEGA URUGUAIANA;1
38344;SELO HAMBURGUER ITAQUI;1
38344;SELO HAMBURGUER ALEGRETE;1
38344;SELO HAMBURGUER SÃO BORJA;1
38344;SELO HAMBURGUER URUGUAIANA;1
38344;VALE SIMPLES;1
60175;SELO BIFE A MILANESA URUGUAIANA;1
60175;SELO BIFE A MILANESA SÃO BORJA;1
60175;SELO BIFE A MILANESA ITAQUI;1
60175;SELO BIFE A MILANESA ALEGRETE;1
35997;ETIQ CHARQUE ALEGRETE;1
35999;ETIQ CHARQUE URUGUAIANA ;1
36034;ETIQ LINGUICA M C/PIMENTA ALEG;1
36014;ETIQ LINGUICA M C/PIMENTA URUG;1
36015;ETIQ LINGUICA M C/QUEIJO PROV ALEG;1
36016;ETIQ LINGUICA M C/QUEIJO PROV URU;1
36044;ETIQ LINGUICA M CALAB/BACON ALEG;1
36018;ETIQ LINGUICA M CALAB/BACON URU;1
36019;ETIQ LINGUICA M CORTADA ALEGRETE;1
36020;ETIQ LINGUICA M CORTADA URUG;1
36022;ETIQ LINGUICA M OVINA ALEG;1
36025;ETIQ LINGUICA M OVINA URUG;1
36039;ETIQ LINGUICA M PIMENTAO ALEG;1
36023;ETIQ LINGUICA M PIMENTAO URUG;1
12345002;ETIQ LINGUICA M RESFRIADA ALEG;1
36047;ETIQ LINGUICA M SUINA ALEG;1
36028;ETIQ LINGUICA M SUINA URUG;1
36045;ETIQ LINGUICA M SUINA/FRANGO ALEG;1
36029;ETIQ LINGUICA M SUINA/FRANGO URUG;1
36053;ETIQ LINGUICA M TOMATE SC ALEG;1
36032;ETIQ LINGUICA M TOMATE SC URUG;1
36045;SELO LINGUIÇA FRANGO ALEGRETE;1
12345003;SELO LINGUIÇA FRANGO ITAQUI;1
12345004;SELO LINGUIÇA FRANGO SÃO BORJA;1
36013;SELO LINGUIÇA FRANGO URUGUAIANA;1
36038;SELO LINGUIÇA MISTA ALEGRETE;1
36050;SELO LINGUIÇA MISTA C/ QUEIJO ALEGRETE;1
36050;SELO LINGUIÇA MISTA C/ QUEIJO ITAQUI;1
36050;SELO LINGUIÇA MISTA C/ QUEIJO SÃO BORJA;1
36033;SELO LINGUIÇA MISTA C/ QUEIJO URUGUAIANA;1
36021;SELO LINGUIÇA MISTA ITAQUI;1
36024;SELO LINGUIÇA MISTA SÃO BORJA;1
36049;SELO LINGUIÇA MISTA URUGUAIANA;1
36129;ETIQ GONDOLA BRANCA 105X40;1
36128;ETIQ GOND AMARELA GAP 2;12
35494;BOBINA CALC 1VIA CX C/30;30
35501;BOBINA CALC TERMICA 1VIA CX C/30;30
35498;BOBINA 1 VIA PONTO CX C/8;16
35497;RIBBON CERA CX C/12;1
35495;RIBBON CERA CX C/24 ATACADO;1
35503;CONS BOBINA PDV 80X80 TERMICA CX-;16
35993;ETIQ BALANÇA BRANCA CX C/48 60X100;48
35995;ETIQUETA TERMICA ALEGRETE   60X140;48
35367;TOALHA DE PAPEL ;1
35525;PAPEL HIGIENICO;1
35471;SABÃO ESPUMA;1
35474;SABÃO BIO BACTERICIDA;1
37285;BT77 5L LIMPA PISO BAIXA ESPUMA;1
35364;TOUCA DESCARTAVEL FD C/100;1
35755;LUVA LATEX;1
35772;LUVA VINIL;1
35718;LUVA DESCARTAVEL;1
35451;SACO LIXO PRETO C/100 60 LITROS;1
36623;HP 1000;1
35659;HP 1100;1
36649;HP 1200;1
36648;HP 1940;1
35686;HP 700 HIPERBAC 5L;1
37581;HP2100;1
35454;SACO LIXO PRETO C/100 100 LITROS;1
12345005;KALYCLEAN ALLKALY CL ;1
12345006;DET KALYCLEAN 711;1
36144;FITA LACRADORA;24
35980;EMBALADORAS;1
36142;LACRADORA;1
35405;KIT BALDE COM ESPREMEDOR;1
35499;REFIL UMIDO BRUXA;1
35362;CABO PARA BRUXA;1
12345007;SUPORTE DE PAPEL TOALHA BANHEIRO ;1
35746;LIXEIRA BRANCA 15L;1
35745;LIXEIRA BRANCA 100L;1
37598;LUVA LIMPEZA ;1
35396;SUPORTE METAL MOP PO 80CM;1
35500;REFIL MOO P/P 80 CM (BRUXA);1
35382;CABO EXTENSOR RETRATIL;1
35358;VASSOURÃO;1
35390;PINÇA PARA BRUXA;1
36151;LACRE AZUL GRAVADO C/100;1
36149;LACRE ACO GRAVADO C/100;1
35957;HP 51 FORMA BOLO BASE;100
35958;HP 51 FORMA BOLO TAMPA;100
35461;CONS SACO BLOCADO REPT BAG 35X50-;1
35465;CONS SACO BLOCADO REPT 30X40-;1
35461;SACO BLOCADO 10L C/1000;1
12345008;BOBINA SOLENOIDE;1
12345009;DGAS REFRIGERANTE R-22;1
12345010;MICRO MOTOR 1/25;1
12345011;MICRO MOTOR – 40;1
12345012;MICRO MOTOR – 30;1
12345013;PORTA SACOLA;1
35447;SACO P/CESTA BASICA/ COSTELA;1
35428;SACOLA MINI 30X40;1
35427;SACOLA IMPRESSA 40X50;1
35425;SACOLA IMPRESSA 50X55;1
35433;SACO PP RAMINHO 17X45;1
35457;SC PP LISO (FARINHA ROSCA) 19 X 34;1
35460;SC PP LISO (PÃO NOVO) BOLACHA 23 X 40;1
35456;SACO BX FRIOS 21 X 17;1
35437;SACO BX MOEDAS 12 X 18;1
35434;SACO PP 23X34 -;1
36517;SACO PP 25X34 -;1
35433;SACO BX PÃO SANDUICHE 23 X 50;1
35513;BOBINA UNISOLD 34X50 AMARELA  C/6;1
35515;BOBINA UNISOLD 39X60 LARANJA  C/6;1
35510;BOBINA UNISOLD 30X39.5  BRANCA  C/6;1
35516;BOBINA UNISOLD 50X71 AZUL  C/6;1
35436;SACO PARA PÃO 35X50;1
35432;SACO A VACUO;1
35435;SACO PARA PÃO 28X40;1
35374;TINTA ALCOLOR AZUL 500ML;1
35370;TINTA ALCOLOR VERMELHA 500ML;1
12345014;TINTA ALCOLOR AMARELA 500ML;1
35371;TINTA ALCOLOR PRETA  500ML;1
12345015;REFIL PONTAS SORTIDAS - KIT ESCRITA 5 SINTÉTICO/FELTRO;1
36147;KIT ESCRITA C/5 PINCÉIS - PONTAS FELTRO/SITETICO;1
38490;REFIL PONTAS SORTIDAS - KIT ESCRITA 5 SINTÉTICO/FELTRO;1
36054;ETIQUETADORA 8.26;1
12345016;TINTA P/ ETIQUETADORA;1
36126;ETIQUETA LARANJA;1
36125;ETIQUETA DE PREÇO;1
36127;ETIQUETA DATA VALIDADE;1
36054;ETIQUETADORA METIQ;1
12345017;ETIQUETA BRANCA;1
35400;SOQUETE 98;1
35786;CARACOL 98;1
35381;ARRUELA FIBRA 10 E 22;1
35381;ARRUELA DE BRONZE 10 E 20;1
35392;SUPORTE PEDRA ALUMINIO;1
36124;ESFREGOES DE AÇO ;1
38488;SUPORTE PEDRA DE PLASTICO;1
35482;BISTURI ;1
35771;LUVA DE FORNO;1
35386;ARRUELA DE FIBRA 32;1
36118;CHAIRA;1
36119;DISCO 106 H;1
36120;DISCO 106 C;1
36121;DISCO 98;1
36135;FACAS DE BIFE MUNDIAL 10”;1
36136;FACAS DE BIFE MUNDIAL 8”;1
36070;FACAS DE DESOSSA MUNDIAL 14'';1
12345018;GANCHO P/ BALCÃO;1
35439;GANCHO P/ CAMARA FRIA S1;1
35605;GANCHO S-5 – INOX;1
35983;CONS ENGRENAGEM FERRO CAF 98;1
12345019;MARTELO P/ BIFE;1
12345020;NAVALHA DE CORTE 106 HS;1
36160;NAVALHA DE CORTE 106 Z;1
36158;NAVALHA DE CORTE 98;1
36162;PEDRA DE AFIAR;1
35532;PENTE MAQUINA DE BIFE;1
38489;PRE-CORTE 106 C;1
12345021;PRE-CORTE 106 H;1
36516;PRE-CORTE 98;1
38491;MARTELO P/ BIFE;1
36716;ROLO MAQUINA DE BIFE;1
35404;SERRA FITA 3.0;1
12345022;SERRA FITA 3.10;1
12345023;SERRA FITA 3.15;1
35487;ROLO AMACIADOR CAF ;1
12345024;ETIQ TERMICA COUCHE 100X50 BRANCA;1
36066;ETIQ TERMICA COUCHE 100X60 BRANCA;1
12345025;ETIQ TERMICA COUCHE 100X160 BRANCA;1
35419;BAND B1 BRANCA FUNDA;1
35424;BAND B2 BRANCA FUNDA;1
35431;BAND B3 BRANCA FUNDA;1
35445;BAND B4 BRANCA FUNDA;1
35408;BAND B2 AMARELA;1
35411;BAND B3 AMARELA;1
35415;BAND B4 AMARELA;1
12345026;BAND B2 PRETA;1
35449;BAND B3 PRETA;1
35453;BAND B4 PRETA;1
35952;POTE G32 NESTLE;1
37604;CONS FRANGO ASSADO DOMO;200
36140;EMBALAGEM FRANGO BASE;200
35357;POTE G10;200
36123;POTE G8;1
35953;POTE G50;1
35954;POTE NESTLE G50;1
36104;POTE G742;200
36105;POTE G771;200
36073;FILME  PALETIZAÇÃO;1
36138;FILME P/ALIMENTO 1000M;1
35472;BAND RETANG FRIOS ;1
