OWNER;TABLE_NAME;TABLESPACE_NAME;CLUSTER_NAME;IOT_NAME;STATUS;PCT_FREE;PCT_USED;INI_TRANS;MAX_TRANS;INITIAL_EXTENT;NEXT_EXTENT;MIN_EXTENTS;MAX_EXTENTS;PCT_INCREASE;FREELISTS;FREELIST_GROUPS;LOGGING;BACKED_UP;NUM_ROWS;BLOCKS;EMPTY_BLOCKS;AVG_SPACE;CHAIN_CNT;AVG_ROW_LEN;AVG_SPACE_FREELIST_BLOCKS;NUM_FREELIST_BLOCKS;DEGREE;INSTANCES;CACHE;TABLE_LOCK;SAMPLE_SIZE;LAST_ANALYZED;PARTITIONED;IOT_TYPE;TEMPORARY;SECONDARY;NESTED;BUFFER_POOL;FLASH_CACHE;CELL_FLASH_CACHE;ROW_MOVEMENT;GLOBAL_STATS;USER_STATS;DURATION;SKIP_CORRUPT;MONITORING;CLUSTER_OWNER;DEPENDENCIES;COMPRESSION;COMPRESS_FOR;DROPPED;READ_ONLY;SEGMENT_CREATED;RESULT_CACHE;CLUSTERING;ACTIVITY_TRACKING;DML_TIMESTAMP;HAS_IDENTITY;CONTAINER_DATA;INMEMORY;INMEMORY_PRIORITY;INMEMORY_DISTRIBUTE;INMEMORY_COMPRESSION;INMEMORY_DUPLICATE;DEFAULT_COLLATION;DUPLICATED;SHARDED;EXTERNAL;HYBRID;CELLMEMORY;CONTAINERS_DEFAULT;CONTAINER_MAP;EXTENDED_DATA_LINK;EXTENDED_DATA_LINK_MAP;INMEMORY_SERVICE;INMEMORY_SERVICE_NAME;CONTAINER_MAP_OBJECT;MEMOPTIMIZE_READ;MEMOPTIMIZE_WRITE;HAS_SENSITIVE_COLUMN;ADMIT_NULL;DATA_LINK_DML_ENABLED;LOGICAL_REPLICATION
SYS;WI$_FREQUENT_PATTERN_ITEM;SYSAUX;;;VALID;10;;1;255;;;;;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2019-04-17-01.34.24.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;DISABLED;;NO;NO;NO;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;EDI_PEDVENDAITEM;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.45.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MAD_PEDIDOWEBITEM;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.46.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;FI_CONCILIACAOITEM;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;18;5;0;0;0;18;0;0;1;1;N;ENABLED;18;2026-05-12-02.01.03.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MAD_PEDVENDAITEMPRODUCAO;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.51.32.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MAD_PEDVENDAITEMPRODUCAOGER;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.49.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MRL_ATACCOTITEM_HISTPROD;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.48.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MAD_CAMPAPURECOMPMGMITEM;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.48.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MLF_NFITEMSERV;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-04-26-22.49.49.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
CONSINCO;MFL_DFITEMVERBABONIFPRODPROMOC;TSD_CONSINCO;;;VALID;10;;1;255;65536;1048576;1;2147483645;;;;YES;N;0;0;0;0;0;0;0;0;1;1;N;ENABLED;0;2026-05-17-22.49.53.000000;NO;;N;N;NO;DEFAULT;DEFAULT;DEFAULT;DISABLED;YES;NO;;DISABLED;YES;;DISABLED;ENABLED;ADVANCED;NO;NO;YES;DEFAULT;NO;;;NO;NO;DISABLED;;;;;USING_NLS_COMP;N;N;NO;NO;;NO;NO;NO;NO;;;NO;DISABLED;DISABLED;NO;NO;NO;ENABLED
