NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABAMX_CFESINTETICO;;;;
ABAMX_CONTABAUXILIAR;;;;
ABAMX_CONTABLINK;;;;
ABAMX_CONTRATOCONTABILIZACAO;;;;
ABAMX_CPMESTREITEM;;;;
ABAMX_DADOSTEMP;;;;
ABAMX_DOMCONTABAUXILIAR;;;;
ABAMX_DOMCONTABILIZACAO;;;;
ABAMX_DOMDEPRECIACAO;;;;
ABAMX_FILAFINANCEIRO;;;;
ABAMX_FILASM;;;;
ABAMX_FILTROMODELO;;;;
ABAMX_FILTROMODELOAUX;;;;
ABAMX_FILTROSTEMP;;;;
ABAMX_FIMOVIMENTO;;;;
ABAMX_FIRECONTAB;;;;
ABAMX_LANCTOSVLRCONTABIL;;;;
ABAMX_MESEXECUCAO;;;;
ABAMX_MOVINTERNAS;;;;
ABAMX_NFMESTREITEM;;;;
ABAMX_OPERINTERNAS;;;;
ABAMX_OPERINTERNASESTORNO;;;;
ABAMX_RECONTAB;;;;
ABAMX_REPROCCONTABINCONSIST;;;;
ABAMX_RESSARCPRODINTERNA;;;;
ABAMX_RETORNORECONT;;;;
ABAMX_SEQCUPOM;;;;
ABAMX_SEQCUPOMCONTABCPI;;;;
ABAMX_SEQCUPOMCPIUPDATE;;;;
ABAMX_SEQINCORP;;;;
ABAMX_SEQLANCTOINT;;;;
ABAMX_SEQLANCTOINT_AUX;;;;
ABAMX_SEQNOTACONTABNFD;;;;
ABAMX_SEQNOTACONTABNFDUPDATE;;;;
ABAMX_SEQNOTACONTABNFM;;;;
ABAMX_SMMOVIMENTO;;;;
ABAMX_SMRECONTAB;;;;
ABAM_CODVALOR;;344;TSD_CONSINCO;2026-08-23-22.49.38.000000
ABAM_CONFIGURACAO;;0;TSD_CONSINCO;2026-08-09-22.50.09.000000
ABAM_CONFIGURACAOEMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.09.000000
ABAM_CONTABILIZACAOEXECLOG;;4;TSD_CONSINCO;2026-08-02-22.50.00.000000
ABAM_CONTABILIZACAOLOG;;35638;TSD_CONSINCO;2026-08-20-03.08.14.000000
ABAM_CONTABILIZACAOREGISTROLOG;;0;TSD_CONSINCO;2026-07-26-22.49.47.000000
ABAM_DICIONARIO;;70;TSD_CONSINCO;2026-08-23-22.49.40.000000
ABAM_EMPRESACONTAB;;0;TSD_CONSINCO;2026-08-09-22.50.06.000000
ABAM_FILAEVENTOS;;513593;TSD_CONSINCO;2026-08-26-03.01.06.000000
