CATEGORIA;NIVELHIERARQUIA
ALMOXARIFADO;1
BEBIDAS;1
INATIVAR;1
MERCEARIA;1
NAO ALIMENTO;1
PERECIVEIS;1
PERFUMARIA E LIMPEZA;1
PRODUTOS PET;1
SERVICOS;1
ACESSORIOS;2
ACOUGUE;2
AVES;2
BAZAR;2
BEBIDA;2
CAMA- MESA- BANHO;2
CARNAVAL;2
CARVAO E AFINS;2
CASA E JARDIM;2
CONSUMOS A TRATAR;2
EMBALAGENS DESPESAS;2
EMBALAGENS VENDAS;2
EXPOSITORES;2
FIAMBRERIA;2
FRETES E SERVICOS;2
FRUTAS E VERDURAS;2
INATIVAR;2
INGRESSOS;2
LIVRARIA;2
MANUTENCAO;2
MAT CONSUMO;2
MAT EPI;2
MAT EXPEDIENTE;2
MAT IMOBILIZADO;2
MAT LIMPEZA;2
MATERIA PRIMA;2
MATERIAL DE LIMPEZA;2
MERCEARIA SECA;2
OPLS;2
PADARIA BAKLIZI;2
PADARIA INDUSTRIAL;2
PEIXARIA;2
PERFUMARIA;2
PRODUTOS PET;2
REVISTAS E JORNAIS;2
SAZONAL;2
VALE AGUA;2
VALE APP DE MOBILIDADE;2
VALE ENTREGA;2
VALE GAS;2
VALES;2
ACOUGUE;3
AVES;3
BACALHAU;3
BAZAR;3
BEBIDAS;3
CAMA-MESA-BANHO;3
CARNE BOVINA;3
CARNES ESPECIALIDADES;3
CARVAO VEG 3KG;3
CARVAO VEG 5KG;3
CONSUMOS A TRATAR;3
EMBALAGENS DESPESAS;3
EMBALAGENS VENDAS;3
EXPOSITORES;3
FERRAGENS;3
FERRAMENTAS;3
FIAMBRERIA;3
FOGOS DE ARTIFICIO;3
FRUTAS E VERDURAS;3
INSUMOS P JARDIM;3
JARDINAGEM;3
LENHA;3
LINGUICAS;3
LIVRARIA E PAPELARIA;3
MANUTENCAO;3
MAT CONSUMO;3
MAT EPI;3
MAT EXPEDIENTE;3
MAT IMOBILIZADO;3
MAT LIMPEZA;3
MATERIAL DE LIMPEZA;3
MERCEARIA SECA;3
MP ACOUGUE;3
MP PADARIA;3
OPLS;3
PADARIA BAKLIZI;3
PADARIA INDUSTRIAL;3
PEIXES CONGELADOS;3
PEIXES FRESCOS;3
PERFUMARIA;3
PRODUTOS PET;3
REVISTAS E JORNAIS;3
SAZONAL;3
VALE AGUA;3
VALE GAS;3
ACESSORIOS;4
ACESSORIOS PARA GAS;4
ACESSORIOS PERFUM CABELO;4
ACOUGUE GERAL;4
ACUCARES;4
AGUA SANITARIA;4
AGUAS;4
ALCOOL- DESINFETANTE;4
ARTIGOS FESTAS E DESCART;4
ARTIGOS LOUCA E CERAMICA;4
ARTIGOS P BANHEIRO;4
ARTIGOS PARA DECORACAO;4
ARTIGOS PARA PESCA;4
ATACADO EMBALAGEM DESC;4
ATACADO HORTI;4
ATACADO MERCEARIA;4
AVES;4
AVES NATALINAS;4
AZEITES E OLEOS;4
BACALHAU - OUTROS;4
BACALHAU PEDAÇOS;4
BANHO;4
BEBIDAS E SUCOS;4
BISCOITO ALIM INFANTIL;4
BISCOITOS;4
BOMBONIERE;4
BORRIFADOR;4
BRINQUEDOS INFANTIS;4
BUCHAS;4
CADEADOS E TRAVES;4
CAFE E AFINS;4
CAIXA FERRAMENTAS;4
CAMA;4
CAMPING - LAZER;4
CARNE AVES CONGELADOS;4
CARNE AVES RESFRIADAS;4
CARNES CONGELADAS;4
CARNES IN NATURA;4
CARNES OVINAS;4
CARNES SUINAS;4
CERAS E LIMPADORES;4
CERAS-LIMP-OLEOS;4
CEREAIS A GRANEL;4
CEREAIS EM GRAO;4
CERVEJAS;4
CESTA BASICA;4
CHAS;4
CHUVEIROS E AFINS;4
CIGARROS;4
COMIDAS CONG PRATOS PRONT;4
COMIDAS PRONTAS;4
COMIDAS PRONTAS FORNECED;4
COMPOTAS E DOCES CALDA;4
CONFEITARIA;4
CONSERVAS A GRANEL EMBALA;4
CONSERVAS EMBALADAS;4
CONSERVAS ORIGEM ANIMAL;4
CONSERVAS ORIGEM VEGETAL;4
COPA DO MUNDO;4
COSTELA BOVINA;4
CRUSTACEOS CONGELADOS;4
CRUSTACEOS FRESCOS;4
CUIDADOS PESSOAIS;4
CUPINCIDA;4
DECORACAO P JANELA;4
DERIVADOS DE TOMATE;4
DESENGRAXANTE;4
DESODORANTES E COLONIAS;4
DESODORIZANTES;4
DESTILADOS;4
DOCES EM MASSA;4
DOCES EM MASSAS E CALDAS;4
ELETRO E INFORMATICA;4
EMBUTIDOS E FRIOS P FATIA;4
EMBUTIDOS FRIOS PECA;4
EQUIPAMENTOS PADARIA;4
ERVA MATE;4
ESPECIALIDADES CONGELADOS;4
ESPECIALIDADES FRESCOS;4
EXTENSOES;4
FARINACEOS;4
FARINHAS E FECULAS;4
FERMENTADOS;4
FERRAGENS;4
FERTILIZANTES;4
FESTA JUNINA;4
FILE DE PEIXE CONGELADO;4
FILE DE PEIXE FRESCOS;4
FITA ISOLANTE-ADESI-COLAS;4
FITA VEDA ROSCA;4
FOGOS DE ARTIFICIO;4
FOGOS DE ARTIFICIOS;4
FOSFOROS E VELAS;4
FRUTAS;4
FRUTAS SECAS;4
FRUTAS SECAS CALDA GRANEL;4
FRUTAS SECAS EMBALADAS;4
GANCHOS;4
GAS;4
GRAMPOS ISOLANTES;4
HIGIENE BEBE;4
HIGIENE BUCAL;4
HIGIENE FEMININA;4
INSETICIDAS;4
INTERRRUPTORES-ADAPTADORE;4
IOGURTES E SOBREMESAS;4
