TABLE_NAME;COLUMN_NAME;DATA_TYPE
BKP_MLO_CARGARECPRODQTDE_24486;DTAFABRICACAO;DATE
BKP_MLO_CARGARECPRODQTDE_24486;DTAHORLIBERACAO;DATE
BKP_MLO_CARGARECPRODQTDE_24486;DTAVALIDADE;DATE
BKP_MLO_CARGARECPRODQTDE_24486;INDRECONFPRODPALETE;VARCHAR2
BKP_MLO_CARGARECPRODQTDE_24486;ORDEMCONFERENCIA;NUMBER
BKP_MLO_CARGARECPRODQTDE_24486;USULIBERACAO;VARCHAR2
BKP_MLO_CARGARECPRODQTDE_24486;USUPERMARMAZPRAZORESTR;VARCHAR2
EDI_ATIVIDADECONFERENCIA;DTAHORCONFERENCIA;DATE
EDI_ATIVIDADECONFERENCIA;QTDCONFERIDA;NUMBER
EDI_ATIVIDADECONFERENCIA;SEQATIVIDADECONFERENCIA;NUMBER
EDI_CARGAEMATAPOIO;DTAHORINSERCAO;DATE
EDI_CARGAEMATAPOIO;USUENVIO;VARCHAR2
MADV_CONFEREFATITEM;CODGERALOPER;NUMBER
MAD_CARGAENVIOWMS;DTAHORGERACAO;DATE
MAD_CARGAENVIOWMS;USUARIOGERACAO;VARCHAR2
MFLV_CARGADFITEM;CODGERALOPER;NUMBER
MFLV_CARGADFITEM;DTAHOREMISSAO;DATE
MFLV_CARGADFITEM;DTAHORFATURAMENTO;DATE
MFLV_CARGADFITEM;DTAHORGERACAO;DATE
MFLV_CARGADFITEM;DTAMOVIMENTO;DATE
MFLV_CARGADFITEM;USUFATURAMENTO;VARCHAR2
MFLV_CARGADFITEM;USUGERACAO;VARCHAR2
MHCV_CONFEREBASELOTEITEM;CODGERALOPER;NUMBER
MHCV_CONFEREBASELOTEITEM;DATAHORCONFERE;DATE
MHCV_CONFEREBASELOTEITEM;DATAHORSEPARA;DATE
MHCV_CONFEREBASELOTEITEM;DTAHORGERACAO;DATE
MHCV_CONFEREBASELOTEITEM;DTAHORLIBERADOSEPARACAO;DATE
MHCV_CONFEREBASELOTEITEM;INDCONFERIDO;VARCHAR2
MHCV_CONFEREBASELOTEITEM;INDOKCONFERIDO;NUMBER
MHCV_CONFEREBASELOTEITEM;USUARIOCONFERE;VARCHAR2
MHCV_CONFEREBASELOTEITEM;USUARIOSEPARA;VARCHAR2
MHCV_CONFEREBASELOTEITEM;USUGERACAO;VARCHAR2
MHCV_CONFEREBASELOTEITEM;USULIBERADOSEPARACAO;VARCHAR2
MHCV_HISTCONFERELOTEITEM;CODGERALOPER;NUMBER
MHCV_HISTCONFERELOTEITEM;DATAHORCONFERE;DATE
MHCV_HISTCONFERELOTEITEM;DATAHORSEPARA;DATE
MHCV_HISTCONFERELOTEITEM;DTAHORGERACAO;DATE
MHCV_HISTCONFERELOTEITEM;DTAHORLIBERADOSEPARACAO;DATE
MHCV_HISTCONFERELOTEITEM;INDCONFERIDO;VARCHAR2
MHCV_HISTCONFERELOTEITEM;USUARIOCONFERE;VARCHAR2
MHCV_HISTCONFERELOTEITEM;USUARIOSEPARA;VARCHAR2
MHCV_HISTCONFERELOTEITEM;USUGERACAO;VARCHAR2
MHCV_HISTCONFERELOTEITEM;USULIBERADOSEPARACAO;VARCHAR2
MLOV_BASEETQSEPCARGA_BAKLIZI_15;DTASEP;VARCHAR2
MLOV_CARGARECPRODCONTROLESI;QTDECONFERIDA_CARGALOCUS;NUMBER
MLOV_CARGARECPRODDIVERG;DTAHORFIM;DATE
MLOV_CARGARECPRODDIVERG;DTAHORINICIO;DATE
MLOV_CW_CARGAEXPLOTESDETALHES;PRODCONFERENCIA;VARCHAR2
MLOV_CW_LISTACONFERENCIA_CE;CONFDIVERGENCIA;VARCHAR2
MLOV_CW_LISTACONFERENCIA_CE;INDCONFRESEPAR;VARCHAR2
MLOV_CW_LISTACONFERENCIA_CE;SEQATIVCONFRESEP;NUMBER
MLO_CARGAEBALANCAPISO;DTAHORAUTORIZOU;DATE
MLO_CARGAEBALANCAPISO;USUAUTORIZOU;VARCHAR2
MLO_CARGAEBALANCAPISOLOG;DTAHORLEITURA;DATE
MLO_CARGAEBALANCAPISOLOG;DTALEITURA;DATE
MLO_CARGAECLIENTE;INDRECONFPEDVDA;VARCHAR2
MLO_CARGAECOLETOR;DTAVALIDADE;DATE
MLO_CARGAECOLETOR;INDRECONFERENCIA;VARCHAR2
MLO_CARGAECOLETOR;QTDULTCONFERENCIA;NUMBER
MLO_CARGAECONFLOTEFAB;DTAVALIDADE;DATE
MLO_CARGAECONFLOTEFAB;QTDULTCONFERENCIA;NUMBER
MLO_CARGAECONTROLETQ;DTAHORGERACAO;DATE
MLO_CARGAECONTROLETQ;STATUSCONFVOLUME;VARCHAR2
MLO_CARGAECONTROLETQ;STATUSLEITURACONF;VARCHAR2
MLO_CARGAECONTROLETQ;USUGERACAO;VARCHAR2
MLO_CARGAECONTROLETQCANC;DTACANCELAMENTO;DATE
MLO_CARGAECONTROLETQCANC;DTAHORCANCELAMENTO;DATE
MLO_CARGAECONTROLETQCANC;USUCANCELAMENTO;VARCHAR2
MLO_CARGAEJUNCAOLOTE;DTAGERACAO;DATE
MLO_CARGAEJUNCAOLOTE;DTAHORGERACAO;DATE
MLO_CARGAEJUNCAOLOTE;DTAHORLIBEXECUCAOATV;DATE
MLO_CARGAEJUNCAOLOTE;DTALIBEXECUCAOATV;DATE
MLO_CARGAEJUNCAOLOTE;USUGERACAO;VARCHAR2
MLO_CARGAEJUNCAOLOTE;USULIBEXECUCAOATV;VARCHAR2
MLO_CARGAEJUNCAOSELINV;DTAGERACAO;DATE
MLO_CARGAEJUNCAOSELINV;DTAHORGERACAO;DATE
MLO_CARGAEJUNCAOSELINV;DTAHORLIBEXECUCAOATV;DATE
MLO_CARGAEJUNCAOSELINV;DTALIBEXECUCAOATV;DATE
MLO_CARGAEJUNCAOSELINV;USUGERACAO;VARCHAR2
MLO_CARGAEJUNCAOSELINV;USULIBEXECUCAOATV;VARCHAR2
MLO_CARGAELOGETIQUETACANCELADA;DTAHORCANCEL;DATE
MLO_CARGAELOGETIQUETACANCELADA;USUCANCEL;VARCHAR2
MLO_CARGAEMATAPOIO;DTARETORNO;DATE
MLO_CARGAEMATAPOIO;USUENVIO;VARCHAR2
MLO_CARGAEMATAPOIO;USURETORNO;VARCHAR2
MLO_CARGAENROVOLUME;QTDCONFERIDA;NUMBER
MLO_CARGAEPALETE;CODUSUARIOLIBERACAO;VARCHAR2
