NOME_TABELA;NOME_COLUNA;TIPO_DADO
MAPV_APIEMBALAGENS;ALTURA;NUMBER
MAPV_APIEMBALAGENSVENDA;ALTURA;NUMBER
MAP_ETIQUETALAYOUT;ALTURA;NUMBER
MAP_FAMEMBALAGEM;ALTURA;NUMBER
MAP_FAMEMBALAGEMLOG;ALTURA;NUMBER
MRLV_ARMAZENAGEM;PALETEALTURA;NUMBER
MRLV_ARMAZENAGEM;PALETELASTRO;NUMBER
MRLV_BASEESTQMINMAX;LOCALTURA;NUMBER
MRLV_BASEETIQUETAFAM;LOCALTURA;NUMBER
MRLV_BASEETIQUETAPROD;LOCALTURA;NUMBER
MRLV_BASEETIQUETAPRODCOD;LOCALTURA;NUMBER
MRLV_BASESEPARAPRODPED;LOCALTURA;NUMBER
MRLV_ETIQUETAPADRAO;LOCALTURA;NUMBER
MRLV_EXPCRIATUDO_PRODUTO;STR_ALTURA;NUMBER
MRLV_EXPDIX_PRODUTO;STR_ALTURA;NUMBER
MRLV_EXPRAKUTEN_PROD_INCLUI;ALTURAEMBALAGEMPRODUTO;NUMBER
MRLV_EXPRAKUTEN_PROD_INCLUI;ALTURAPRODUTO;NUMBER
MRLV_LANCTOPRODLOCAL;LOCALTURA;NUMBER
MRLV_LANCTOPRODLOCAL;LOCALTURAATUAL;NUMBER
MRLV_MS_FATORPRODUTO;ALTURA;NUMBER
MRLV_MS_FATORPRODUTO;ALTURAPALETE;VARCHAR2
MRLV_MS_FATORPRODUTO;LASTRO;VARCHAR2
MRLV_PRODLOCALPLANEND;LOCALTURA;NUMBER
MRLV_RECALESTQMINMAX;LOCALTURA;NUMBER
MRLV_TALOG_EMB;ALTURA;NUMBER
MRLV_TALOG_PROD;ALTURA;VARCHAR2
MRLX_BASEETIQUETAPROD;LOCALTURA;NUMBER
MRLX_BASEETIQUETAPRODWEB;LOCALTURA;NUMBER
MRL_ARMAZENAGEM;PALETEALTURA;NUMBER
MRL_ARMAZENAGEM;PALETELASTRO;NUMBER
MRL_ARMAZENAGEMLAN;QTDMOVPALETALTURA;NUMBER
MRL_ARMAZENAGEMLAN;QTDMOVPALETLASTRO;NUMBER
MRL_LANCTOPRODLOCAL;LOCALTURA;NUMBER
MRL_PRODEMPFORNEC;PALETEALTURA;NUMBER
MRL_PRODEMPFORNEC;PALETELASTRO;NUMBER
MRL_PRODEMPFORNECLOG;PALETEALTURA;NUMBER
MRL_PRODEMPFORNECLOG;PALETELASTRO;NUMBER
MRL_PRODEMPRESAWM;PALETEALTURA;NUMBER
MRL_PRODEMPRESAWM;PALETEALTURAAPANHA;NUMBER
MRL_PRODEMPRESAWM;PALETEALTURAMIUD;NUMBER
MRL_PRODEMPRESAWM;PALETELASTRO;NUMBER
MRL_PRODEMPRESAWM;PALETELASTROAPANHA;NUMBER
MRL_PRODEMPRESAWM;PALETELASTROMIUD;NUMBER
MRL_PRODEMPRESAWMLOG;PALETEALTURA;NUMBER
MRL_PRODEMPRESAWMLOG;PALETEALTURAAPANHA;NUMBER
MRL_PRODEMPRESAWMLOG;PALETEALTURAMIUD;NUMBER
MRL_PRODEMPRESAWMLOG;PALETELASTRO;NUMBER
MRL_PRODEMPRESAWMLOG;PALETELASTROAPANHA;NUMBER
MRL_PRODEMPRESAWMLOG;PALETELASTROMIUD;NUMBER
MRL_PRODENDGOND;NROUNDALTURA;NUMBER
MRL_PRODLOCAL;LOCALTURA;NUMBER
MRL_PRODLOCALPLANEND;LOCALTURA;NUMBER
