COLUMN_NAME;DATA_TYPE
CLASSEABASTVLR;VARCHAR2
CMULTVLRDESCCONTRATOPRES;NUMBER
CMULTVLRDESCCONTRATOPISPRES;NUMBER
CMULTVLRDESCCONTRATOCOFINSPRES;NUMBER
CMULTVLRDESCCONTGCPRECIF;NUMBER
CMULTVLRDESCCONTGCPRECIFPIS;NUMBER
CMULTVLRDESCCONTGCPRECIFCOFINS;NUMBER
CMULTVLRDESCCONTGCCOMERC;NUMBER
CMULTVLRDESCCONTGCCOMERCPIS;NUMBER
CMULTVLRDESCCONTGCCOMERCCOFINS;NUMBER
CENTRULTVLRDESCCONTGCPRECIF;NUMBER
CENTRULTVLRDESCCONTGCPRECIFPIS;NUMBER
CENTRULTVLRDESCCONTGCPRECIFCOF;NUMBER
CENTRULTVLRDESCCONTGCCOMERC;NUMBER
CENTRULTVLRDESCCONTGCCOMERCPIS;NUMBER
CENTRULTVLRDESCCONTGCCOMERCCOF;NUMBER
CMULTVLRDESCTRANSFCONTGCPREC;NUMBER
CMULTVLRDESCTRANSFCONTGCCOME;NUMBER
CENTRULTVLRDESCTRANSFCONTPREC;NUMBER
CENTRULTVLRDESCTRANSFCONTCOME;NUMBER
CMULTVLRDESCTRANSFCONTPRECPRES;NUMBER
CMULTVLRDESCTRANSFCONTCOMEPRES;NUMBER
CENTRULTVLRDIVERGPEDNF;NUMBER
CMULTVLRDIVERGPEDNF;NUMBER
CMULTVLRDIVERGPEDNFPRES;NUMBER
CENTRULTVLRDIVERGPEDNFOTP;NUMBER
CMULTVLRDIVERGPEDNFOTP;NUMBER
CMULTVLRDIVERGPEDNFOTPPRES;NUMBER
CENTRULTVLRDIVERGPEDNFOTC;NUMBER
CMULTVLRDIVERGPEDNFOTC;NUMBER
CMULTVLRDIVERGPEDNFOTCPRES;NUMBER
DTAEXCLUSAOMEDIAVENDA;DATE
QTDCORTEPEDVENDA;NUMBER
CMULTVLRFEEF;NUMBER
CENTRULTVLRNF;NUMBER
CENTRULTVLRDESCPISTRANSF;NUMBER
CENTRULTVLRDESCCOFINSTRANSF;NUMBER
CENTRULTVLRDESCICMSTRANSF;NUMBER
CENTRULTVLRDESCIPITRANSF;NUMBER
CENTRULTVLRDESCLUCROTRANSF;NUMBER
CENTRULTVLRDESCVERBATRANSF;NUMBER
CENTRULTVLRDESCDIFERENCATRANSF;NUMBER
CMULTVLRDESPFIXA;NUMBER
CMULTVLRDESCFIXO;NUMBER
VLRGMROI;NUMBER
CENTRULTVLRDESCRESTICMSTRANSF;NUMBER
CMULTVLRDESCRESTICMSTRANSF;NUMBER
CMULTVLRDESCVERBATRANSFSELLIN;NUMBER
CMULTVLRDESCCONTCOMERPRES;NUMBER
CMULTVLRDESCCONTCOMERPISPRES;NUMBER
CMULTVLRDESCCONTCOMERCOFIPRES;NUMBER
VLRPRORATADIAPRECIF;NUMBER
VLRPRORATADIACOMERC;NUMBER
CMULTVLRNFPRES;NUMBER
CMULTVLRDESPFIXAPRES;NUMBER
CMULTVLRCOMPRORPRES;NUMBER
CMULTVLRFECPPRES;NUMBER
INDPRECONORMALBALANCA;VARCHAR2
DTAHORALTPRECO;DATE
CMULTVLRCOMPROR;NUMBER
VLRESTPAGO;NUMBER
VLRESTAPAGAR;NUMBER
VLRESTPAGOBONIF;NUMBER
DTAULTVENDA;DATE
CMULTVLRDESCPISTRANSF;NUMBER
CMULTVLRDESCCOFINSTRANSF;NUMBER
CMULTVLRDESCICMSTRANSF;NUMBER
CMULTVLRVERBA;NUMBER
QTDMAXVENDAPALM;NUMBER
DTAULTVENDAEFETIVA;DATE
CMULTVLRDESCIPITRANSF;NUMBER
CMULTVLRDESCLUCROTRANSF;NUMBER
VLRPARCFCI;NUMBER
CMULTVLRDESCVERBATRANSF;NUMBER
CMULTVLRDESCDIFERENCATRANSF;NUMBER
QTDULTVENDA;NUMBER
QTDULTVENDAEFETIVA;NUMBER
CMULTVLRFECP;NUMBER
INDPRECOFIXO;VARCHAR2
CMULTVLRNF;NUMBER
INDADMPRECO;VARCHAR2
DTAADMPRECO;DATE
USUADMPRECO;VARCHAR2
PERMALTERARPRECOPDV;VARCHAR2
CODCLASSIFPRECO;VARCHAR2
