TABLE_NAME;COLUMN_NAME
MRLX_BASEETIQUETAPRODWEB;PRECOVALIDNORMAL
MRL_PRODEMPDTACAMPANHA;PRECOVALIDNORMAL
MRL_PRODEMPSEG;PRECOBASENORMAL
MRL_PRODEMPSEG;PRECOVALIDNORMAL
MRLX_BASEETIQUETAPROD;PRECOVALIDNORMAL
MRLX_PRODEMPSEGDATA;PRECOVALIDNORMAL
MRL_CARGAPDV_PRODUTO;PRECOVALIDNORMAL
MRL_PRODEMPSEGLOG;PRECOBASENORMAL
MRL_PRODEMPSEGLOG;PRECOVALIDNORMAL
MAXV_MGMBASEPRODSEG;PRECOBASENORMAL
MADV_PEDIDOWEBGRADEPROD;PRECOVENDA
MRLV_BASEINVPRODUTO;PRECOVALIDNORMAL
MRLV_BASEETIQUETAPRODCOD;PRECOBASENORMAL
MRLV_BASEETIQUETAPRODCOD;PRECOVALIDNORMAL
MAXV_MGMBASEPRODSEG;PRECOVALIDNORMAL
MRLV_CARGAPDV_PRODUTO;PRECOVALIDNORMAL
MRLV_PRODUTOPRECOCLIENTE;PRECOBASENORMAL
MRLV_EXPORTAPRODSOFTECSUL;PRECOVALIDNORMAL
MADV_PEDIDOWEBPRODINFO;PRECOVENDA
MRLV_PRODPRECOALTERADOS;PRECOVALIDNORMAL
MRLV_CARGAPDV_PROD_CORAL;PRECOVALIDNORMAL
MADV_PRODLOGPRECO;PRECOBASENORMAL
MADV_PRODLOGPRECO;PRECOVALIDNORMAL
MADV_PEDIDOWEBPRODEMBGRADE;PRECOVENDA
MRLV_PRODUTOPRECO;PRECOBASENORMAL
MADV_PEDIDOWEBPRODINFOEMB;PRECOVENDA
MAXV_CONSPROD_GPRECOS;PRECOVALIDNORMAL
MRLV_BASEETIQUETAPROD;PRECOBASENORMAL
MRLV_BASEETIQUETAPROD;PRECOVALIDNORMAL
