TABLE_NAME;OWNER
BKP_MLO_CARGARECPRODQTDE_24486;CONSINCO
BPMV_ATVCONFERECARGA;CONSINCO
BPMV_ATVWMSCARGARECEB;CONSINCO
DOMV_NOTAFISCAL;CONSINCO
EDI_CARGAEMATAPOIO;CONSINCO
EDI_FATURAMENTO;CONSINCO
EDI_MANIFESTODF;CONSINCO
EDI_PEDVENDADEVOL;CONSINCO
EDI_TRANSPCCFRETE;CONSINCO
ETLV_BASEPEDVENDA;CONSINCO
ETLV_BASEVENDA;CONSINCO
FATOX_PEDVENDA;CONSINCO
FATOX_VENDA;CONSINCO
FIV_ACCARGAATEND;CONSINCO
FIV_ACCARGAMOTORISTA;CONSINCO
FIV_TITPENDENTEAC;CONSINCO
FIV_TITULOS_EM_ABERTO;CONSINCO
FI_ACENTREGACARGAS;CONSINCO
FI_CHEQUE;CONSINCO
FI_COMISSAOREP;CONSINCO
FI_INTTITULO;CONSINCO
FI_LANCTOCOMISSAO;CONSINCO
FI_TITULO;CONSINCO
FI_TITULOATACADO;CONSINCO
FLCV_FI_TITULO;CONSINCO
GEV_BASEINT_SORTER;CONSINCO
LPRV_ANALITICOWMS;CONSINCO
LPRV_PESQMOVIMENLOCUS;CONSINCO
MADT_CARGAREFATDOC;CONSINCO
MADV_AJUSTEEMBALAGEM;CONSINCO
MADV_BASECOMISSAO;CONSINCO
MADV_BASEEDIDOCTO;CONSINCO
MADV_BASEFATURAMENTO;CONSINCO
MADV_BASEFATURAMENTOHC;CONSINCO
MADV_BASEFATURAMENTOREMMERC;CONSINCO
MADV_BASEPEDVENDAIND;CONSINCO
MADV_BASEPLANILHACARGA;CONSINCO
MADV_BASEQUEBRANFPEDIDO;CONSINCO
MADV_BASEREFATNF;CONSINCO
MADV_BASERESUMOCARGA;CONSINCO
MADV_BASEROTPEDIDO;CONSINCO
MADV_BASETRANSFAUTO;CONSINCO
MADV_CLIENTEREPAGENDA;CONSINCO
MADV_CONFEREFATITEM;CONSINCO
MADV_CONFEREFATURAMENTO;CONSINCO
MADV_CONSULTAPEDVENDADF;CONSINCO
MADV_CONSULTAPEDVENDADFITEM;CONSINCO
MADV_CONSULTAPEDVENDATIT;CONSINCO
MADV_DOCTOFISCAL;CONSINCO
MADV_GNREDOCTO;CONSINCO
MADV_GNREDOCTOONLINE;CONSINCO
MADV_GNREDOCTOONLINEPRODUTO;CONSINCO
MADV_GNRETRIBUTACAO;CONSINCO
MADV_IMPEDIPEDVENDA;CONSINCO
MADV_NFSAIDA;CONSINCO
MADV_OMSPEDVENDA;CONSINCO
MADV_OMSPEDVENDACLI;CONSINCO
MADV_OMSPEDVENDAITEM;CONSINCO
MADV_PEDVENDA;CONSINCO
MADV_PEDVENDACRITICAPED;CONSINCO
MADV_PEDVENDAIND;CONSINCO
MADV_PEDVENDAITEM;CONSINCO
MADV_PEDVENDAITEMBONIF;CONSINCO
MADV_PEDVENDAITEMFLEX;CONSINCO
MADV_PEDVENDAJUNCAOITEM;CONSINCO
MADV_PEDVENDAPENDCARGACLIE;CONSINCO
MADV_PEDVENDAROTEIRIZACAO;CONSINCO
MADV_RECIBOINDENIZACAO;CONSINCO
MADV_RELCARREGPROD;CONSINCO
MADV_RELCARREGPRODRESUMO;CONSINCO
MADV_RESUMOCARGAEXPED;CONSINCO
MADV_ROTEIRIZACAO;CONSINCO
MADV_SEPPEDVENDAITEM;CONSINCO
MADV_TALOG_CARGARECERB;CONSINCO
MADV_XROTCLIENTEPEDIDO;CONSINCO
MADX_CARREGPEDVENDA;CONSINCO
MADX_DOCTOFISCAL;CONSINCO
MADX_PEDVENDA;CONSINCO
MADX_PEDVENDACLONE;CONSINCO
MADX_TRANSPCCFRETE_AUX;CONSINCO
MAD_BASEFATURAMENTO;CONSINCO
MAD_CARGAENVIOWMS;CONSINCO
MAD_CARGARETORNOWMS;CONSINCO
MAD_ESPEC_INTCARGAHBSIS;CONSINCO
MAD_JUNCAOPEDCLIENTEPALETE;CONSINCO
MAD_MOTCCCOMISSAO;CONSINCO
MAD_PEDVENDA;CONSINCO
MAD_PEDVENDAFATPEND;CONSINCO
MAD_PEDVENDAITEMLOTE;CONSINCO
MAD_TRANSPCCFRETE;CONSINCO
MAD_XROTEIRIZACAO;CONSINCO
MAXV_ABCDISTRIBBASE;CONSINCO
MAXV_ABCFORMAPAGTO;CONSINCO
MAXV_ABCPEDVDABASE;CONSINCO
MAXV_ABCVDABASE;CONSINCO
MAXXIVA_CABECALHO;CONSINCO
MAXXIVA_RETORNO;CONSINCO
MAXX_MSGPRODPEDSEMTRIBUT;CONSINCO
MBR_CARGA;CONSINCO
MBR_NF;CONSINCO
MFLV_BASEDEVDOCTO;CONSINCO
MFLV_BASEDFITEM;CONSINCO
MFLV_BASENF;CONSINCO
MFLV_BASENFCABECALHO;CONSINCO
MFLV_BASENFCARGA;CONSINCO
MFLV_BASENFFATPEND;CONSINCO
MFLV_BASENFPEDREMESSA;CONSINCO
MFLV_BASERFMESTRE;CONSINCO
MFLV_CARGADFITEM;CONSINCO
MFLV_CUPOMFISCAL_ITENS_DEV;CONSINCO
MFLV_DFBASEEDI;CONSINCO
MFLV_DFBASEEDITOTAL;CONSINCO
MFLV_DFBASEEXPRESSLOG;CONSINCO
MFLV_DFBASEFISCAL;CONSINCO
MFLV_DFBASEFISCALGNRE;CONSINCO
MFLV_DFBASEREFATURA;CONSINCO
MFLV_DFITEMSAIDA;CONSINCO
MFLV_DOCTOFISCAL;CONSINCO
MFLV_INTDOCTOFISCAL;CONSINCO
MFLV_REFATURAMENTO;CONSINCO
MFLV_RFBASEFISCAL;CONSINCO
MFLX_DOCTOFISCAL;CONSINCO
MFL_AUXGERADF;CONSINCO
MFL_DOCTOFISCAL;CONSINCO
MFL_XDOCTOFISCALFAT;CONSINCO
MFTV_BASENF_MDFE;CONSINCO
MFTV_BASE_CARGACTINDMDFE;CONSINCO
MFTV_BASE_CARGACTRC;CONSINCO
MFTV_CARGACTRC_REEMISSAO;CONSINCO
MFTV_CARGA_CTRC;CONSINCO
