SEQTITULO;NROEMPRESAMAE;CODESPECIE;TIPOESPECIE;NROBANCO;SEQAGENCIA;SEQDEPOSITARIO;NROEMPRESA;SEQGERENTE;SEQVENDEDOR;SEQPESSOA;VERSAOPESSOA;OBRIGDIREITO;NROTITULO;SERIETITULO;NROPARCELA;QTDPARCELA;NRODOCUMENTO;SERIEDOC;ORIGEMDOC;VLRORIGINAL;VLRNOMINAL;VLRPAGO;VLRTARIFA;VLRJUROMORA;PERJUROMORA;PERMULTA;VLRMULTA;DTAVENCIMENTO;TIPOVENCORIGINAL;DTAPROGRAMADA;DTAEMISSAO;DTAINCLUSAO;DTAQUITACAO;DTAMOVIMENTO;QTDCOBRANCA;PROVENIENCIA;ORDENACARGA;NROCARGA;DTACARGA;ACERTADACARGA;ABERTOQUITADO;SITUACAO;SITJURIDICA;OBSERVACAO;GEROUOCRATRASO;GEROUAGENDACOBR;VLRJUROSNEGOC;VLRMULTANEGOC;GERADOSCI;VLRDESCCOMERCIAL;DTAALTERACAO;USUALTERACAO;SEQPESSOANOTA;VERSAOPESSOANOTA;PAGCHEQUEVINC;LOTEPAGTO;PERCADMINISTRACAO;VLRADMINISTRACAO;IMPRIMIUFATURA;IMPRIMIUDUPLICATA;GERADOSCICANCEL;GEROUSERASA;IMPRIMIUBOLETO;LINKERP;NROALTDEPOSITARIO;SEQMOTORISTA;DTAVALNEGOCIACAO;USUNEGOCIACAO;DTANEGOCIACAO;DTAPROMESSANEGOC;USUCOBRANCA;APPORIGEM;GERADOPFIN;EXCLUIDOPFIN;GERANEGSCI;NROAUTELETRONICA;SEQGERACAOSCI;QTDCUPONS;TAXACUPOM;SEQTALAO;ULTSEQMODCARTCOBR;ULTIMAORDEMCARCOBR;DTABASECOBRANCA;DTAGERADOPEFIN;DTAEXCLUIDOPEFIN;DTAVENCIMENTOORIG;MOTIVOALTVENCTOORIG;NROGIFTCARD;NUMERONFSE;INDCONTROLASALDO;NRONSU;SEQEXPFLUXOCAIXA;SEQMOTIVOSUSPLIB;SUSPLIB;DTAALTERACAOSUSPLIB;USUALTERACAOSUSPLIB;IDSESSION;GERAESOCIAL;VLRTARCONVENIO;SEQIDENTIFICADOR;DTAHORAULTENVIOEMAIL;NROPROCIMPORTACAO;SERIENFSE
718596;3;CONVEN;T;900;1;1;3;1;;20456;0;D;144;718;1;1;144;718;INTE;1,89;0;0;0;0;0;0;0;2026-03-05-00.00.00.000000;P;2026-03-05-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-02-00.00.00.000000;2026-06-03-00.00.00.000000;2026-02-02-00.00.00.000000;0;S;8728;;;;Q;C;N;;;;;;;0;2026-02-02-00.00.00.000000;Max-Int;20456;0;;;;;;;;;;199011;;;;;;;;7;;;;;;;;;;;;;;;;;;S;;67978;;;;;;;;;;;
661948;3;DUPP;T;900;1;2;4;;;15756;0;O;3471;IMP;1;1;3471;1;INTE;510;510;0;0;0;0;0;0;2026-02-03-00.00.00.000000;P;2026-02-03-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;15756;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
661951;3;DUPP;T;900;1;2;7;;;9608;0;O;131624;IMP;1;1;131624;1;INTE;510;510;0;0;0;0;0;0;2026-02-10-00.00.00.000000;P;2026-02-10-00.00.00.000000;2026-01-17-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;9608;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
661984;3;DUPP;T;900;1;2;900;;;10150;0;O;13205;IMP;1;1;13205;1;INTE;219,85;219,85;219,85;0;0;0;0;0;2026-02-07-00.00.00.000000;P;2026-02-09-00.00.00.000000;2026-01-20-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-09-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;10150;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2583;;;;;;;;;;;
661987;3;DUPP;T;900;1;2;20;;;1674;0;O;955216;IMP;1;1;955216;213;INTE;220;220;0;0;0;0;0;0;2025-05-07-00.00.00.000000;P;2025-05-07-00.00.00.000000;2025-05-06-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;1674;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
661996;3;DUPP;T;900;1;2;20;;;8094;0;O;29175;IMP;1;1;29175;3;INTE;220;220;0;0;0;0;0;0;2025-12-30-00.00.00.000000;P;2025-12-30-00.00.00.000000;2025-12-15-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;8094;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
661999;3;DUPP;T;900;1;2;20;;;8094;0;O;29196;IMP;1;1;29196;3;INTE;220;220;0;0;0;0;0;0;2025-12-31-00.00.00.000000;P;2025-12-31-00.00.00.000000;2025-12-16-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;8094;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662002;3;DUPP;T;900;1;2;8;;;11039;0;O;25952;IMP;1;1;25952;0;INTE;220;220;0;0;0;0;0;0;2026-01-28-00.00.00.000000;P;2026-01-28-00.00.00.000000;2026-01-07-00.00.00.000000;2026-02-02-00.00.00.000000;;2026-01-31-00.00.00.000000;0;S;;;;;A;N;N;;;;;;;;2026-02-02-00.00.00.000000;INTEGRACAO;11039;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;;;;;;;;;;;
662005;3;DUPP;T;900;1;2;11;;;6539;2;O;222996;IMP;1;1;222996;1;INTE;220;220;220;0;0;0;0;0;2026-03-10-00.00.00.000000;P;2026-03-10-00.00.00.000000;2026-01-09-00.00.00.000000;2026-02-02-00.00.00.000000;2026-03-10-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-03-06-15.33.15.000000;INTEGRACAO;6539;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20236;;;;;;;;;;;
662014;3;DUPP;T;900;1;2;11;;;16948;0;O;447345;IMP;1;1;447345;1;INTE;220,6;220,6;220,6;0;0;0;0;0;2026-03-20-00.00.00.000000;P;2026-03-20-00.00.00.000000;2026-01-19-00.00.00.000000;2026-02-02-00.00.00.000000;2026-03-20-00.00.00.000000;2026-01-31-00.00.00.000000;0;S;;;;;Q;N;N;;;;;;;;2026-03-19-15.26.23.000000;INTEGRACAO;16948;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29135;;;;;;;;;;;
