SEQREDE;SEQPESSOA;DTAALTERACAO;USUALTERACAO;STATUS;INDREPLICACAO;INDGEROUREPLIC;NROBASEEXPORTACAO;RESPFINANCEIRO;DTAHORINCLUSAO;USUINCLUSAO
201;16877;2026-01-28-00.00.00.000000;KEDOUGLA;A;S;;5192841;;2026-01-28-10.43.29.000000;KEDOUGLA
201;5894;2026-01-28-00.00.00.000000;KEDOUGLA;A;S;;5192841;S;2026-01-28-10.43.29.000000;KEDOUGLA
201;5893;2026-01-28-00.00.00.000000;KEDOUGLA;A;S;;5192841;;2026-01-28-10.43.29.000000;KEDOUGLA
361;11038;2026-02-05-00.00.00.000000;KEDOUGLA;A;S;;5209527;S;2026-02-05-09.10.11.000000;KEDOUGLA
81;7477;2026-01-28-00.00.00.000000;C5XAVIER;A;S;;5193413;;2026-01-28-17.36.34.000000;C5XAVIER
361;6953;2026-02-05-00.00.00.000000;KEDOUGLA;A;S;;5209527;;2026-02-05-09.10.11.000000;KEDOUGLA
361;11037;2026-02-05-00.00.00.000000;KEDOUGLA;A;S;;5209527;;2026-02-05-09.10.11.000000;KEDOUGLA
441;15208;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
441;11977;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
441;15209;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
441;6665;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
441;6191;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
441;6666;2026-03-07-00.00.00.000000;DEIZABEL;A;S;;5273227;;2026-03-07-10.09.59.000000;DEIZABEL
482;14520;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;;2026-03-13-10.11.08.000000;AD_WALLACE
482;11904;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;;2026-03-13-10.11.08.000000;AD_WALLACE
482;10202;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;;2026-03-13-10.11.08.000000;AD_WALLACE
482;6781;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;;2026-03-13-10.11.08.000000;AD_WALLACE
482;6780;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;;2026-03-13-10.11.08.000000;AD_WALLACE
482;6675;2026-03-13-00.00.00.000000;AD_WALLACE;A;S;;5286635;S;2026-03-13-10.11.08.000000;AD_WALLACE
701;6032;2026-06-01-00.00.00.000000;KEDOUGLA;A;S;;5461461;;2026-06-01-10.51.00.000000;KEDOUGLA
701;6031;2026-06-01-00.00.00.000000;KEDOUGLA;A;S;;5461461;;2026-06-01-10.51.01.000000;KEDOUGLA
701;14025;2026-06-01-00.00.00.000000;KEDOUGLA;A;S;;5461461;;2026-06-01-10.51.01.000000;KEDOUGLA
701;22792;2026-06-01-00.00.00.000000;KEDOUGLA;A;S;;5461461;;2026-06-01-10.51.01.000000;KEDOUGLA
701;13063;2026-06-01-00.00.00.000000;KEDOUGLA;A;S;;5461461;S;2026-06-01-10.51.01.000000;KEDOUGLA
942;10886;2026-08-04-00.00.00.000000;VERIDI;A;S;;5576833;S;2026-08-04-14.34.26.000000;VERIDI
942;8461;2026-08-04-00.00.00.000000;VERIDI;A;S;;5576833;;2026-08-04-14.34.26.000000;VERIDI
246;22654;2026-08-05-00.00.00.000000;DEIZABEL;A;S;;5578349;;2026-08-05-08.21.52.000000;DEIZABEL
246;22472;2026-08-05-00.00.00.000000;DEIZABEL;A;S;;5578349;;2026-08-05-08.21.53.000000;DEIZABEL
246;22013;2026-08-05-00.00.00.000000;DEIZABEL;A;S;;5578349;;2026-08-05-08.21.53.000000;DEIZABEL
981;16049;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;S;2026-08-06-09.22.29.000000;VERIDI
981;13038;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;4528;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;13039;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;10555;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;4527;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;19459;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;12054;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
981;15139;2026-08-06-00.00.00.000000;VERIDI;A;S;;5580455;;2026-08-06-09.22.29.000000;VERIDI
1201;11521;2026-09-01-00.00.00.000000;VERIDI;A;S;;5625827;S;2026-09-01-11.54.51.000000;VERIDI
1201;11522;2026-09-01-00.00.00.000000;VERIDI;A;S;;5625827;;2026-09-01-11.54.51.000000;VERIDI
1241;4879;2026-09-03-00.00.00.000000;VERIDI;A;S;;5629328;S;2026-09-03-11.46.50.000000;VERIDI
