SEQPRODUTO;SEQFAMILIA;COMPLEMENTO;DESCCOMPLETA;DESCREDUZIDA;REFFABRICANTE;ESPECIFICDETALHADA;DESCCOMPOSICAO;PZOVALIDADEDIA;INDPROCFABRICACAO;QTDFABRICADALOTE;SEQPRODUTOBASE;PERCACRESPRECO;INDPRECOZEROBALANCA;FATORCONVERSAO;SEQPRODUTOINSUMO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PZOVALIDADEMES;NROREGMINSAUDE;CODPRODFISCAL;DESCGENERICA;PROPQTDPRODUTOBASE;NRODIASADVERRECBTO;PERCALTPRECRELAC;NROITEMFIXO;GERALIVROCPROD;INDUSANFDESPESA;SEQBULARIO;SEQPRODUTOTMP;INDEMITECODPRODFISCALNFE;PERCDIASADVERRECBTO;CODIGOANP;CODIGOIF;INDINTEGRAECOMMERCE;QTDLIMITEPROMOCECOMMERCE;YOUTUBECODEECOMMERCE;DATAHORINTEGRACAOECOMMERCE;INDRES3166;DTAHORALTERACARGAPDV;IMPDATAVALIDADEBALANC;IMPDATAEMBBALANC;SEQINFNUTRICPROD;INDREPLICAINFOFORNEC;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;URLECOMMERCE;PERCGASNATURAL;INDPARTCOTATAC;PERCACRESCCUSTORELAC;PERCACRESCCUSTORELACVIG;INDEMITEETQHORT;QTDMULTIPLOVDAECOMMERCE;INDCONTROLATEMPERATURA;PERSIMILIARECOMMERCE;DATAHORINTEGRACAOECOMMERCEESTQ;PZOVALIDLOTE;SEQPRODRELACLOTE;ALIQADJUD;INDCALCFLEXPOSITIVO;SEQPRODUTOSECUNDARIO;CENTROCUSTOPROD;SEQPRODUTOBASEANTIGO;INDCALCCOMISINDICEMGM;SEQPRODUTOEMBALAGEM;CODIMAGEM;INDACTFAIXATOLERANCIACARGAREC;INDCADASTROATIVO;PZOVALIDADENATIMORTO;PROPQTDPERDAAUTO;DESCRICAOANP;PZOVALIDADEDIASAIDA;INDGERARESSARCICMSSTPRODINSUMO;PERCGASNATURALNACIONAL;PERCGASNATURALIMPORTADO;VLRPARTIDAGLP;NRODIASVALPRODRESFRIADO;NRODIASVALPRODABERTO;TEMPIDEALMIN;TEMPIDEALMAX;DESCENCARTE;NOMEPRODUTOECOMM;MOTIVOISENCAOMINSAUDE;OBSENCARTE;INDESCRITURAPRODUTOBASE;SEQPRODUTOIMPORTACAOERP;URLECOMMALTERNATIVA;INDPRODTRIBUTMONOICMS;PERCALIQADREM;PERCINDMISTBIODIESEL;NRODIASADVERMAXRECBTO;NROBASEEXPORTACAOERP
3;26;LARANJA;REFRE PO TANG 18G LARANJA;REFRES TANG 18G;;;;0;S;;;;N;;;2024-05-17-16.17.54.000000;CONSINCO;2026-09-16-17.59.50.000000;ALSOARES;S;;;;3;REFRE PO TANG 18G LARANJA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
4;26;ABACAXI;REFRE PO TANG 18G ABACAXI;REFRESCO TANG 18G;;;;;S;;;;N;;;2024-05-17-16.20.16.000000;CONSINCO;2026-09-18-11.26.37.000000;ALSOARES;S;;;;4;REFRE PO TANG 18G ABACAXI;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
5;26;UVA;REFRE PO TANG 18G UVA;REFRESCO TANG 18G UVA;;;;30;S;;;;N;;;2024-05-24-09.08.33.000000;JORSKI;2026-09-02-10.35.54.000000;ALSOARES;S;;;;5;REFRE PO TANG 18G UVA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;N;;;;;;;0
10;164;;REFRIG COCA COLA PET 2L;REFRIG COCA COLA PET 2L;;;;0;S;;;;N;;;2024-09-16-11.14.29.000000;CARIOS;2026-09-18-11.26.52.000000;ALSOARES;S;;;;10;REFRIG COCA COLA PET 2L;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
12;166;S GAS;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;AGUA PEDRA 1 5L S GAS;;;;0;S;;;;N;;;2024-09-16-15.21.35.000000;CARIOS;2026-09-18-11.27.07.000000;ALSOARES;S;;;;12;AGUA MIN AGUA DA PEDRA PET 1 5L S GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
13;167;;AGUA MIN CRYSTAL PET 1 5L C GAS;AGUA CRYST 1 5L C GAS;;;;0;S;;;;N;;;2024-09-16-15.52.58.000000;CARIOS;2026-09-18-11.27.22.000000;ALSOARES;S;;;;13;AGUA MIN CRYSTAL PET 1 5L C GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
14;168;LIMAO;AGUA SABORIZ H2OH PET 1 5L LIMAO;AGUA H2OH 1 5L LIMAO;0008793;;;0;S;;;;N;;;2024-09-17-09.20.38.000000;CARIOS;2026-09-01-15.58.13.000000;ALSOARES;S;;;;14;AGUA SABORIZ H2OH PET 1 5L LIMAO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
15;168;LIMONETO;AGUA SABORIZ H2OH PET 1 5L LIMONETO;AGUA H2OH 1 5L LIMONETO;0013065;;;0;S;;;;N;;;2024-09-17-09.22.52.000000;CARIOS;2026-09-01-15.58.28.000000;ALSOARES;S;;;;15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
16;36396;;AGUA MIN CRYSTAL PET 1 5L S GAS;AGUA CRYST 1 5L S GAS;;;;0;S;;;;N;;;2024-09-18-10.12.25.000000;CARIOS;2026-08-20-14.31.35.000000;ALSOARES;S;;;;16;AGUA MIN CRYSTAL PET 1 5L S GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
17;169;ABACAXI HORTELA;REFRE PO TRINK 15G ABACAXI HORTELA;REFRES TRINK 15G;9600400848;;;0;S;;;;N;;;2024-09-18-10.25.37.000000;LUSENA;2026-08-24-10.18.04.000000;ALSOARES;S;;;;17;REFRE PO TRINK 15G ABACAXI HORTELA;;;;;;;;;N;;;;;;;;;2024-09-18-11.31.15.000000;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
