NROPEDIDOSUPRIM;NROEMPRESA;CENTRALLOJA;SEQCOMPRADOR;SEQFORNECEDOR;TIPPEDIDOSUPRIM;SITUACAOPED;DTAEMISSAO;DTARECEBTO;DTALIMITERECEBTO;PZOPAGAMENTO;DTAVENCTOFIXA;CONDICAOFRETE;TXVENDOR;NROPEDFORNECEDOR;ADVRECEBIMENTO;ADVEXPEDICAO;OBSERVACAO;USUINCLUSAO;DTAHORINCLUSAO;USUAPROVACAO;DTAAPROVACAO;USUIMPRESSAO;DTAIMPRESSAO;USUALTERACAO;DTAALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;SEQADMESTQLOTE;SEQFINALIDBONIF;NROEMPRESAFAT;NROEMPRESALOGADA;NROPEDIDOBONIF;QTDTOTSOLICITADA;QTDTOTRECEBIDA;QTDTOTCANCELADA;SITUACAOQTDE;QTDTOTTRANSITO;SEQGERCOMPRA;CODORIGEM;VLRTOTPEDIDO;VLRTOTCANCELADO;VLRTOTRECEBIDO;NROPEDSUPRIMORIG;NROEMPRESAORIG;CENTRALLOJAORIG;SEQATACCOTACAO;CODGERALOPER;VLRFRETERETIRA;USUGEREDI;DTAHORGEREDI;USUALTERACAOEDI;DTAHORREENVEDI;USUREENVEDI;PERDESCDF;SEQTRANSPORTADOR;NROPEDSUPRIMORIGEDI;CATEGORIAABASTECAUTO;TXCOMPROR;PRAZOPAGTOCOMPROR;SEQFORNECEDI;NROPEDFORNECEDORNUM;SEQNROPEDIDOSUPRIM;NROACORDO;NROEMPRESAACORDO;INDUTILCSSEMACORDO;INDUTILCONTRSALDACORD;SEQCCACORDOASSOC;SEQCCACORDOPROMOC;NROREQUISICAO;INDESTTROCA;NROPEDIDOORIGEMMACX;SEQCONDCONDPRAZOPAGTO;INDUSAREGIAOCOMPRA;ENVIAEMAIL;INDTIPOEMBALAGEM;VLRTOTNAOPARTLIMCOMPRA;DTARECEBTOORIGINAL;TIPOPEDVENDA;INDIMPDIRETABONIF;INDTRANSFEMPSEC;NEGOCIACAO;NEGOCIACAOANT;USUMARCNEGOCIACAO;DTAHORMARCNEGOCIACAO;USUDESMARCNEGOCIACAO;DTAHORDESMARCNEGOCIACAO;CODIGOPENDENCIA;MOTIVOPENDENCIA;JUSTIFICATIVAAPROVACAO;DTAEMISSAOORIGINAL;SEQCONTRATO;SEQEXPFLUXOCAIXA;INDPEDBONIFACORDOPROMOC;INDPEDANALISADOALTPRECO;DTAHORAULTEMAIL;DIASPRORROGACAO;USUAPROVDESVINCULONFE;JUSTDESVINCULONFE;QTDTOTAPROVADA;INDUTILAPROVWEB;INDUTILLIMCOMPRWEB;IDPEDIDOEXTERNO;APPORIGEM
5255;2;M;2;5595;C;C;2026-01-31-00.00.00.000000;2026-02-03-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-13.53.55.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.01.000000;S;;;;2;900;;10;0;10;T;0;6068;;430,1;430,1;;;;;;;;;;;;;0;;;;;;;;5215;;;;;;;;;;;0;;;0;2026-02-03-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;10;N;N;;
5256;3;C;2;5595;C;A;2026-01-31-00.00.00.000000;2026-02-03-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-13.53.55.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.01.000000;S;;;;3;900;;10;9,867;,133;T;0;6068;;430,1;5,72;424,38;;;;;;;;;;;;0;;;;;;;;5216;;;;;;;;;;;0;;;0;2026-02-03-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;10;N;N;;
5268;2;M;2;12142;C;C;2026-01-31-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.12.29.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.02.000000;S;;;;2;900;;276;0;276;T;0;6069;;365,4;365,4;;;;;;;;;;;;;0;;;;;;;;5228;;;;;;;;;;;0;;;0;2026-02-02-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;276;N;N;;
5270;4;L;2;12142;C;C;2026-01-31-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.12.29.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.03.000000;S;;;;4;900;;192;0;192;T;0;6069;;255;255;;;;;;;;;;;;;0;;;;;;;;5230;;;;;;;;;;;0;;;0;2026-02-02-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;192;N;N;;
5273;7;L;2;12142;C;C;2026-01-31-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.12.29.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.03.000000;S;;;;7;900;;132;0;132;T;0;6069;;112,2;112,2;;;;;;;;;;;;;0;;;;;;;;5233;;;;;;;;;;;0;;;0;2026-02-02-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;132;N;N;;
5275;11;L;2;12142;C;C;2026-01-31-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.12.29.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.04.000000;S;;;;11;900;;540;0;540;T;0;6069;;1249,32;1249,32;;;;;;;;;;;;;0;;;;;;;;5235;;;;;;;;;;;0;;;0;2026-02-02-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;540;N;N;;
5278;17;L;2;12142;C;C;2026-01-31-00.00.00.000000;2026-02-02-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.12.29.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.04.000000;S;;;;17;900;;876;0;876;T;0;6069;;1410,72;1410,72;;;;;;;;;;;;;0;;;;;;;;5238;;;;;;;;;;;0;;;0;2026-02-02-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;876;N;N;;
5280;2;M;2;6539;C;C;2026-01-31-00.00.00.000000;2026-02-03-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.34.47.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.04.000000;S;;;;2;900;;10;0;10;T;0;6070;;42,4;42,4;;;;;;;;;;;;;0;;;;;;;;5240;;;;;;;;;;;0;;;0;2026-02-03-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;10;N;N;;
5281;3;C;2;6539;C;A;2026-01-31-00.00.00.000000;2026-02-03-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.34.47.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.04.000000;S;;;;3;900;;384;214;170;T;0;6070;;2070,1;771,2;1298,9;;;;;;;;;;;;0;;;;;;;;5241;;;;;;;;;;;0;;;0;2026-02-03-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;384;N;N;;
5284;7;L;2;6539;C;C;2026-01-31-00.00.00.000000;2026-02-03-00.00.00.000000;2026-02-05-00.00.00.000000;28;;C;0;;;;;DEIZABEL;2026-01-31-14.34.47.000000;;;DEIZABEL;2026-01-31-00.00.00.000000;JOBAUTOM;2026-03-05-17.39.05.000000;S;;;;7;900;;50;0;50;T;0;6070;;230;230;;;;;;;;;;;;;0;;;;;;;;5244;;;;;;;;;;;0;;;0;2026-02-03-00.00.00.000000;;;;N;N;;;;;0;;;2026-01-31-00.00.00.000000;;17632;N;;;0;;;50;N;N;;
