CGO;DESCRICAO;APLICACAO;TIPO_MOVIMENTO;TIPO_USO;CFOP_ESTADO;CFOP_FORA_ESTADO;ALTERA_ESTOQUE;GERA_FINANCEIRO;GERA_LIVRO_FISCAL
1;Compra de mercadoria para revenda;Entrada referente compra de mercadoria para revenda;Entrada;R;1403;2403;S;S;S
2;Compra material uso/consumo sem estoque;Entrada ref. compra material uso/consumo sem estoque - usar no recebimento;Entrada;R;1407;2407;N;S;S
3;Compra de ativo imobilizado;Entrada ref. compra de ativo imobilizado - usar no Recebimento;Entrada;R;1406;2406;N;S;S
4;Amostra gratis entrada isenta;Entrada referente amostra gratis com isencao de ICMS;Entrada;R;1911;2911;N;N;S
5;Frete compra de mercadoria revenda;Servico transporte em compra de mercadoria para revenda - usar no Recebimento;Entrada;R;1353;2353;N;S;S
6;Compra mercadoria revenda compensar;Compra mercadoria p/ revenda paga antecipadamente - usar no Recebimento;Entrada;R;1403;2403;S;S;S
7;Amostra gratis entrada com ICMS;Entrada referente amostra gratis com ICMS;Entrada;R;1911;2911;N;N;S
8;Simples faturamento merc receb futuro;Entrada ref. simples faturamento mercadoria revenda com entrega futura - CGO 24;Entrada;R;1922;2922;N;S;S
9;Compra mat uso/consumo c/cred PIS COFINS;Entrada ref. compra material uso/consumo com estoque - usar no Recebimento;Entrada;R;1407;2407;S;S;S
10;Entrada de bem por contrato de comodato;Entr contrato de comodato, com retorno posterior no CGO 807 - usar Recebimento;Entrada;R;1908;2908;N;N;S
11;Orcamento energia credito PIS e COFINS;Desp energia com credito de PIS e COFINS - usar em natureza despesa;Entrada;R;1253;2253;N;N;S
12;Orcamento servicos de comunicacao;Despesa com servicos de comunicacao - usar em natureza de despesa;Entrada;R;1303;2303;N;S;S
13;Entr mercadoria ou bem para demonstracao;Entrada de remessa para demonstracao com retorno ate 60 dias - CGO 808;Entrada;R;1912;2912;N;N;S
14;Entrada mercadoria consignada p/revenda;Entrada de mercadoria consignada para revenda;Entrada;R;1917;2917;S;N;S
15;Orcamento combustivel sem credito;Compra combustivel para uso e consumo - usar no modulo orcamento;Entrada;R;1653;2653;N;S;S
16;Outras entradas - simples remessa;Outras entradas - simples remessa sem estoque sem ICMS - usar no Recebimento;Entrada;R;1949;2949;S;N;S
17;Recebimento de mercadoria importada;Recebimento de mercadorias importadas para revenda;Entrada;R;;;S;N;N
18;Compra mercadoria revenda sem pedido;Entrada compra mercadoria p/ revenda sem pedido de compra - usar no Recebimento;Entrada;R;1403;2403;S;S;S
19;Ret remessa de bem conserto/reparo;Retorno de bem remetido anteriormente para conserto/reparo no CGO 803 s/estoque;Entrada;R;1916;2916;N;N;S
20;Entr NF complementar ICMS merc revenda;Entrada NF complementar ICMS mercadoria para revenda;Entrada;R;1102;2102;N;N;S
21;Compra de material de embalagem;Entrada referente compra de material de embalagem;Entrada;R;1403;2403;S;S;S
22;Entr NF complemento ICMS-ST/IPI merc rev;Entrada NF complementar ICMS-ST ou IPI com mercadoria para revenda;Entrada;R;1403;2403;N;S;S
23;Compra mercadoria consignada p/revenda;Compra efetiva de mercadoria recebida anteriormente em consignacao no CGO 14;Entrada;R;1113;2113;N;S;S
24;Entr merc revenda operacao receb futuro;Compra p/ comercializacao originada de encomenda p/ recebimento futuro - CGO 8;Entrada;R;1117;2117;S;N;S
25;Simples faturamento imob receb futuro;Entrada ref. simples faturamento de imobilizado com entrega futura - CGO 26;Entrada;R;1922;2922;N;S;S
26;Entr imobilizado operacao receb futuro;Compra de imobilizado originada de encomenda p/ recebimento futuro - CGO 25;Entrada;R;1406;2406;N;N;S
27;Gás para Producao Padaria;Compra de gas GLP para uso e consumo na padaria;Entrada;R;1653;2653;N;S;S
28;Compra de hortifruti para revenda;Entrada referente compra de hortifruti para revenda;Entrada;R;1403;2403;S;S;S
29;Frete em compra de imobilizado;Entrada ref. servico de transporte de ativo imobilizado - usar no Recebimento;Entrada;R;1353;2353;N;S;S
30;Entr merc vendedor remetente venda ordem;Entrada de mercadoria recebida do vendedor remetente, em venda a ordem;Entrada;R;1923;2923;S;N;S
31;Compra para revenda em venda ordem;Compra mercadoria em venda a ordem ja recebida do vendedor remetente no CGO 30;Entrada;R;1121;2121;N;S;S
32;Compra de voucher;Entrada referente compra de voucher;Entrada;R;1949;2949;S;S;S
33;Entrada de bens recebidos em locacao;Entrada de bens recebidos em locacao com retorno posterior - CGO 833;Entrada;R;1908;2908;N;N;S
34;Entr troca mercad fornec com NF remessa;Entrada de troca de mercadoria com emissao de NF remessa anterior no CGO 820;Entrada;R;1949;2949;S;S;S
35;Entr troca mercadoria s/remessa anterior;Entrada de troca de mercadoria sem remessa anterior;Entrada;R;1949;2949;N;N;S
36;Entr troca mercad fornec com NF remessa;Entrada de troca de mercadoria com emissao de NF remessa anterior no CGO 820;Entrada;R;1949;2949;S;S;S
39;Entrada de brindes para distribuicao;Entrada brindes para distribuicao com controle estoque e saida no CGO 839;Entrada;R;1949;2949;S;N;S
40;Entr vasilhame/sacaria c/retorno c/estoq;Entrada de vasilhame/sacaria com estoque com retorno posterior no CGO 812;Entrada;R;1920;2920;N;N;S
