CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
3930;ACENDEDOR SANDERO 16G CARVAO E LENH;7896366493760;NAO ALIMENTO;BAZAR;BAZAR;FOSFOROS E VELAS
3930;ACENDEDOR SANDERO 16G CARVAO E LENH;97698366493763;NAO ALIMENTO;BAZAR;BAZAR;FOSFOROS E VELAS
3931;ACENDEDOR GEL DA ILHA 480G;7896017200495;NAO ALIMENTO;BAZAR;BAZAR;FOSFOROS E VELAS
3932;ACENDEDOR SANDERO 16G FOGO;17896366493781;NAO ALIMENTO;BAZAR;BAZAR;FOSFOROS E VELAS
3932;ACENDEDOR SANDERO 16G FOGO;7896366493784;NAO ALIMENTO;BAZAR;BAZAR;FOSFOROS E VELAS
4271;APONTADOR LEO&LEO BLOCO C/DEPOS REF 4522;67897256245225;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4271;APONTADOR LEO&LEO BLOCO C/DEPOS REF 4522;7897256231011;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4271;APONTADOR LEO&LEO BLOCO C/DEPOS REF 4522;7897256245223;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4271;APONTADOR LEO&LEO BLOCO C/DEPOS REF 4522;7897256249962;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4271;APONTADOR LEO&LEO BLOCO C/DEPOS REF 4522;7897256260035;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4272;APONTADOR LEO E LEO DUPLO OVAL C DEPOS 4752;67897256248530;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4272;APONTADOR LEO E LEO DUPLO OVAL C DEPOS 4752;7897256248538;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4320;BALDE PLASVALE 10L REF163;7891115000510;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4320;BALDE PLASVALE 10L REF163;7891115001630;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4322;BALDE PLASVALE ECOLIFE REF160LP COR 8990;17891115441600;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4322;BALDE PLASVALE ECOLIFE REF160LP COR 8990;7891115000404;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4322;BALDE PLASVALE ECOLIFE REF160LP COR 8990;7891115441603;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4326;BALDE SANREMO 15L 615;7896359010479;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4329;BALDE SANREMO 8L 610 7;17896359012234;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4329;BALDE SANREMO 8L 610 7;7896359012237;NAO ALIMENTO;BAZAR;BAZAR;LAVANDERIA E LIMPEZA
4330;BAND LAM BRINKFEST PRATA N05;7899077937035;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4331;BAND LAM BRINKFEST PRATA N07;7899077937059;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4332;BAND LAM BRINKFEST PRATA N06;7899077937042;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4333;BAND LAM BRINKFEST PRATA N04;7899077937028;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4334;BAND LAM BRINKFEST PRATA TORTA FRIO;7898381361185;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4335;BANDEJA LAMINADA CONFESTA N5;7896276900983;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4335;BANDEJA LAMINADA CONFESTA N5;7896276906558;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4336;BANDANA NO BELLESA COR LISA NEUTRA;7898647923157;NAO ALIMENTO;BAZAR;BAZAR;CUIDADOS PESSOAIS
4337;BANDEJA TRAMONTINA SMALL 91390 108;7897746205140;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4342;BANQUETA MOR BELA VISTA BRANCA;7896020697121;NAO ALIMENTO;BAZAR;BAZAR;CAMPING - LAZER
4343;BARALHO COPAG ESPANHOL 50UN;7896008921910;NAO ALIMENTO;SAZONAL;SAZONAL;BRINQUEDOS INFANTIS
4343;BARALHO COPAG ESPANHOL 50UN;7896008960360;NAO ALIMENTO;SAZONAL;SAZONAL;BRINQUEDOS INFANTIS
4357;BATERIA PANASONIC ALK 12W CONTROLE;7896067200551;NAO ALIMENTO;ACESSORIOS;FERRAGENS;PILHAS E BATERIAS
4358;BATERIA PANASONIC MOEDA LITIO;7896067203958;NAO ALIMENTO;ACESSORIOS;FERRAGENS;PILHAS E BATERIAS
4432;BICO P/TORNEIRA Q UTIL RF2106;7891246021064;NAO ALIMENTO;ACESSORIOS;FERRAGENS;TORNEIRAS E CHUVEIROS
4448;BISNAGA PLASUTIL 250ML DEC KETCHUP;7896042087054;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
