SEQCATEGORIA;NRODIVISAO;TIPCATEGORIA;NIVELHIERARQUIA;CATEGORIA;ACTFAMILIA;MGMLUCROCATEGORIA;QTDPADRAODIAESTQ;OBJETIVONONEGOCIO;SEQCATEGORIAPAI;STATUSCATEGOR;INDUSAABC;CODAUXAFV;INDUSAPERCACRTABVENDA;PERCDIFPRECOEMB;INDREPLICACAO;INDGEROUREPLICACAO;DTABASEEXPORTACAO;NROBASEEXPORTACAO;PERCMAXDESCCOMERC;PERCACRESDESCPRECOEMP;QTDESTOQUEDIASMEDVDA;MGMSUGESTAOPRWEB;NROSEGESPECIALPDV;INDEXIGEREQUISICAO;PESOAGRUPCARGAEXP;PERCEXATCOLETA;DATAHORAALTERACAO;DATAHORAINTEGRAECOMMERCE;EXIGETABNUTRI;QTDPARCELAETIQUETACATEG;NRODIAMEDIAFORAPROMOCCATEG;NRODIACOMPOEMEDIACATEG;GRUPOCONTABIL;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;NRODIAESTQECOMMERCE;CAMINHOCOMPLETO;PERDESCRESSARCSTSN;INDCONTROLALIMITECOMPRA;LISTAATRIBCLASATIV;IDECOMMERCEFILTRO;IDECOMMERCEVALOR;DATAHORAINTEGRAFILTROECOMMERCE;DTAHORAINTEGRACAOECOMMERCE;PERDIASADVERRECBTO;GRUPOCATEGORIA;INDTIPOSUGESTAOPRECO;PERCMAXACRESCIMOSUGPR;PERCMAXDESCONTOSUGPR;PERCCOMISSAONORMAL;PERCCOMISSAOPROMOC;INDPRECOFIXO;INDALTERMANUAL;DTAHORALTERACAO;USUALTERACAO;PERCPRECIFATCCDIV;PERMITEETQDESCPDV;PERMARKUP;PERMPGTOALIMENTACAO;INDUTILENCARTE;SEQCATEGIMPORTACAOERP;NRODIVISAOIMPORTACAOERP;INDPERMITELERPESOPDV;NROBASEEXPORTACAOERP
193;1;M;5;SALADEIRAS E TIGELAS;S;0;;;147;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ ARTES DA MESA \ SERVIR A MESA \ SALADEIRAS E TIGELAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
198;1;M;5;CARVAO ATE 3K;S;0;;;195;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO \ CARVAO \ CARVAO ATE 3K;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
199;1;M;5;CHUR ACESSORIOS;S;0;;;196;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO \ CHURRASCO ACESSORIOS \ CHUR ACESSORIOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
201;1;M;5;CONJUNTO;S;0;;;196;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO \ CHURRASCO ACESSORIOS \ CONJUNTO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
202;1;M;5;ESPETO;S;0;;;196;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO \ CHURRASCO ACESSORIOS \ ESPETO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
204;1;M;5;GRELHA;S;0;;;196;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO \ CHURRASCO ACESSORIOS \ GRELHA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
205;1;M;4;ACESSORIOS DE COZINHA;N;0;;;24;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
206;1;M;4;ACESSORIOS PARA BEBIDAS;N;0;;;24;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS PARA BEBIDAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
209;1;M;4;FORMAS E ASSADEIRAS;N;0;;;24;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ FORMAS E ASSADEIRAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
211;1;M;4;PANELAS;N;0;;;24;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ PANELAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
214;1;M;5;ACESSORIOS FOGAO;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ ACESSORIOS FOGAO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
216;1;M;5;CAFETERIA;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ CAFETERIA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
218;1;M;5;CORTADORES E DESCASCADORE;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ CORTADORES E DESCASCADORE;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
219;1;M;5;DOSADORES E MEDIDORES;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ DOSADORES E MEDIDORES;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
221;1;M;5;FACAS PARA COZINHA AVULSA;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ FACAS PARA COZINHA AVULSA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
222;1;M;5;FUNIL;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ FUNIL;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
224;1;M;5;PENEIRAS;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ PENEIRAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
226;1;M;5;SUPORTE E DESCANSO;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ SUPORTE E DESCANSO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
228;1;M;5;TALHERES E UTENSILIOS DIV;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ TALHERES E UTENSILIOS DIV;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
229;1;M;5;TOSTADOR;S;0;;;205;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS DE COZINHA \ TOSTADOR;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
232;1;M;5;ESPREM FRUTAS E SOCADORES;S;0;;;206;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS PARA BEBIDAS \ ESPREM FRUTAS E SOCADORES;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
234;1;M;5;SACA ROLHA E ABRIDOR GARR;S;0;;;206;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ ACESSORIOS PARA BEBIDAS \ SACA ROLHA E ABRIDOR GARR;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
235;1;M;5;CACAROLAS;S;0;;;207;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ COZINHAR E ASSAR \ CACAROLAS \ CACAROLAS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
7;1;M;1;NAO ALIMENTO;N;0;;;;A;S;;S;;S;;2024-09-14-10.24.03.000000;1399600;;;;0;;;;0;2024-09-14-10.24.03.000000;;;;;;;;;;;NAO ALIMENTO;;S;;;;;;;;;;;;;;;2024-09-14-10.24.03.000000;PACEZAR;;N;0;;S;;;;
9;1;M;2;DESCARTAVEIS;N;0;;;7;I;S;;S;;S;;2024-10-02-09.53.53.000000;1706971;;;;0;;;;0;2024-10-02-09.53.53.000000;;;;;;;;;;;NAO ALIMENTO \ DESCARTAVEIS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.53.000000;PACEZAR;;N;0;;S;;;;
16;1;M;2;AUTOMOTIVOS;N;0;;;7;I;S;;S;;S;;2024-10-02-09.53.19.000000;1706964;;;;0;;;;0;2024-10-02-09.53.19.000000;;;;;;;;;;;NAO ALIMENTO \ AUTOMOTIVOS;;S;;;;;;;;;;;;;;;2024-10-02-09.53.19.000000;PACEZAR;;N;0;;S;;;;
20;1;M;3;ACESSORIOS CASA;N;0;;;17;I;S;;S;;S;;2024-10-02-09.53.24.000000;1706965;;;;0;;;;0;2024-10-02-09.53.24.000000;;;;;;;;;;;NAO ALIMENTO \ CAMEBA \ ACESSORIOS CASA;;S;;;;;;;;;;;;;;;2024-10-02-09.53.24.000000;PACEZAR;;N;0;;S;;;;
23;1;M;3;CHURRASCO;N;0;;;18;I;S;;S;;S;;2024-10-02-09.53.48.000000;1706970;;;;0;;;;0;2024-10-02-09.53.48.000000;;;;;;;;;;;NAO ALIMENTO \ CASA \ CHURRASCO;;S;;;;;;;;;;;;;;;2024-10-02-09.53.48.000000;PACEZAR;;N;0;;S;;;;
