SEQFAMILIA;SEQCATEGORIA;NRODIVISAO;STATUS;INDREPLICACAO;INDGEROUREPLICACAO;DTABASEEXPORTACAO;NROBASEEXPORTACAO;DATAHORAALTERACAO;DATAHORAINTEGRAECOMMERCE;USUARIOALTERACAO;SEQCORRESPONDENCIA;NROBASEEXPORTACAOERP
163;3;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;4;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;5;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
163;6;1;A;S;;2024-09-16-09.10.12.000000;1432916;2024-09-16-09.10.12.000000;;C5ANDREV;;
164;1;1;I;S;;2024-10-19-10.23.39.000000;1997678;2024-10-19-10.23.39.000000;;LUSENA;;
164;2;1;I;S;;2024-10-19-10.23.39.000000;1997678;2024-10-19-10.23.39.000000;;LUSENA;;
164;3;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;4;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;5;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
164;6;1;A;S;;2024-09-16-10.58.33.000000;1434205;2024-09-16-10.58.33.000000;;CARIOS;;
165;3;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;4;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;5;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
165;6;1;A;S;;2024-09-16-11.27.56.000000;1434554;2024-09-16-11.27.56.000000;;CARIOS;;
173;2120;1;I;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2119;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2118;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2117;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
173;2114;1;A;S;;2024-09-18-15.26.13.000000;1471580;2024-09-18-15.26.13.000000;;PACEZAR;;
167;2120;1;I;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2119;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2118;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2117;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
167;2114;1;A;S;;2024-09-18-15.26.56.000000;1471589;2024-09-18-15.26.56.000000;;PACEZAR;;
172;2120;1;I;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2119;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2118;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2117;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
172;2114;1;A;S;;2024-09-18-15.27.09.000000;1471591;2024-09-18-15.27.09.000000;;PACEZAR;;
166;2120;1;I;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2119;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
166;2118;1;A;S;;2024-09-18-15.26.56.000000;1471588;2024-09-18-15.26.56.000000;;PACEZAR;;
