SEQFAMILIA;NRODIVISAO;PADRAOEMBTRANSF;PADRAOEMBCOMPRA;SEQCOMPRADOR;NROTRIBUTACAO;FINALIDADEFAMILIA;FORMAABASTECIMENTO;LOCCATALOGOIMPR;CODSUBSTTRIBUT;MARGEMLUCRODIVISAO;PERDESPESADIVISAO;FATORATENDIMENTO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;PERCDIFPRECOEMB;INDREPLICACAO;INDGEROUREPLICACAO;INDCALCIPISAIDA;PERBASEIPISAIDA;PERISENTOIPISAIDA;PEROUTROIPISAIDA;PERALIQUOTAIPISAIDA;VLRIPIPAUTASAIDA;CODORIGEMTRIB;EXIGESENHAVENDA;GRUPOCONTABIL;SEQPAUTA;CODTARE;SEQVALERECIBO;INDNEGAVARIACENTRAL;CODGISS;CODDES;CFPS;CODREA;INDRECSTCALCAPUR;INDMERCENQUADST;CODATIVIDADE;SEQPAUTAICMS;NROBASEEXPORTACAO;INDRESSARCSTSN;INDUSADADOSREGCGO;MGMSUGESTAOPRWEBFAM;INDCALCDIFALIQ;INDUTILFORMPCOVDAAJIPI;DIAVENCTOST;INDCTACESTABASICA;SEQTABELA;SEQPAUTAICMSANTEC;NROTRIBUTACAOAPROVACAO;NROTRIBUTACAOAUX;SEQPAUTAAUX;SEQPAUTAICMSAUX;INDCALCCOMPRESSARCVDACONSFINAL;INDCALCOUTORGADO;INDUSABASECALCIPIART195;NROBASEEXPORTACAOERP
165;1;1;1;8;5;R;M;;;0;0;1;2024-09-16-11.27.56.000000;CARIOS;2025-10-08-17.22.15.000000;IGORNAT;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
227;1;1;1;1;998;R;M;;;0;0;1;2024-09-24-16.47.47.000000;CARIOS;2026-02-23-11.43.52.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
253;1;12;12;1;998;R;M;;;0;0;1;2024-09-25-17.03.25.000000;CARIOS;2026-03-18-10.53.32.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
310;1;12;12;4;140;R;M;;;18;0;1;2024-09-30-09.48.35.000000;CARIOS;2026-02-04-11.28.10.000000;VITORTRE;;S;;N;;;;;;0;;;88;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
327;1;12;12;4;140;R;M;;;18;0;1;2024-09-30-15.25.24.000000;CARIOS;2025-07-16-17.15.52.000000;DAVIDS.ETC;;S;;N;;;;;;0;;;112;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
392;1;12;12;4;97;R;M;;;0;0;1;2024-10-04-11.28.03.000000;CARIOS;2025-10-02-09.28.52.000000;GADELE;;S;;N;;;;;;;;;;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
403;1;12;12;4;998;R;M;;;0;0;1;2024-10-04-16.38.14.000000;CARIOS;2025-10-03-08.51.27.000000;IGORNAT;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
443;1;6;6;1;130;R;M;;;24;0;1;2024-10-08-15.58.23.000000;LUSENA;2026-06-12-15.52.47.000000;JORSALDA;;S;;N;;;;;;0;;;210;;;;;;;;;S;;;5485643;;S;0;;;;;;;;;;;S;;N;0
459;1;12;12;4;61;R;M;;;32;0;1;2024-10-09-16.03.19.000000;CARIOS;2025-07-21-17.10.17.000000;DAVIDS.ETC;;S;;N;;;;;;;;;187;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
465;1;4;4;4;138;R;M;;;0;0;1;2024-10-10-08.33.37.000000;LUSENA;2025-10-02-09.32.30.000000;GADELE;;S;;N;;;;;;;;;;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
537;1;6;6;1;1;R;M;;;26;0;1;2024-10-16-09.35.22.000000;LUSENA;2026-05-27-09.38.05.000000;JORSALDA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
606;1;1;1;4;998;R;M;;;0;0;1;2024-10-18-14.27.13.000000;LUSENA;2025-02-17-09.00.51.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
616;1;1;1;1;998;R;M;;;0;0;1;2024-10-18-16.40.59.000000;LUSENA;2026-05-11-09.58.59.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
629;1;1;1;4;998;R;M;;;0;0;1;2024-10-19-11.08.23.000000;LUSENA;2025-02-26-11.14.15.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
631;1;1;1;4;998;R;M;;;0;0;1;2024-10-19-11.20.22.000000;LUSENA;2025-02-26-11.13.44.000000;LUSENA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
723;1;1;1;4;106;R;M;;;18;0;1;2024-10-24-10.10.03.000000;LUSENA;2025-11-19-09.07.49.000000;IGORNAT;;S;;N;;;;;;;;;;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
724;1;6;6;4;106;R;M;;;18;0;1;2024-10-24-10.17.29.000000;LUSENA;2025-09-15-09.26.34.000000;GADELE;;S;;N;;;;;;;;;320;;;;;;;;;S;;;5453151;;S;0;;;;;;;;;;;S;;N;0
777;1;20;20;5;3;R;M;;;15;0;1;2024-10-26-10.46.52.000000;LUSENA;2026-08-07-18.03.21.000000;ALSOARES;;S;;N;;;;;;;;;;;;;;;;;;N;;;5582619;;S;0;;;;;;;;;;;N;;N;0
846;1;45;45;3;1;R;M;;;28;0;1;2024-10-29-16.47.19.000000;CARIOS;2025-07-21-17.10.20.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
860;1;20;20;3;10;R;M;;;28;0;1;2024-10-30-10.32.34.000000;LUSENA;2025-07-21-17.10.20.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
862;1;20;20;3;10;R;M;;;0;0;1;2024-10-30-10.42.31.000000;LUSENA;2025-12-16-09.01.05.000000;IGORNAT;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
947;1;160;1;5;1;R;M;;;20;0;1;2024-11-06-17.24.54.000000;CARIOS;2025-07-21-17.10.21.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
985;1;24;24;3;10;R;M;;;30;0;1;2024-11-08-09.47.54.000000;LUSENA;2025-07-21-17.10.22.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
989;1;12;1;3;1;R;M;;;24;0;1;2024-11-08-10.26.44.000000;CARIOS;2025-07-16-17.15.57.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
995;1;32;32;3;10;R;M;;;28;0;1;2024-11-08-11.51.19.000000;LUSENA;2025-07-16-17.15.57.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1013;1;24;24;3;10;R;M;;;30;0;1;2024-11-08-15.33.00.000000;LUSENA;2025-07-16-17.15.57.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1092;1;66;66;3;10;R;M;;;30;0;1;2024-11-12-14.36.11.000000;LUSENA;2025-07-16-17.15.58.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1093;1;48;1;3;10;R;M;;;24;0;1;2024-11-12-14.54.58.000000;CARIOS;2025-07-21-17.10.23.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1150;1;12;12;3;1;R;M;;;18;0;1;2024-11-14-14.26.18.000000;CARIOS;2025-12-19-17.24.01.000000;JORSALDA;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1190;1;36;36;3;1;R;M;;;28;0;1;2024-11-19-09.19.44.000000;LUSENA;2025-07-16-17.15.59.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1191;1;20;20;3;1;R;M;;;28;0;1;2024-11-19-09.40.35.000000;LUSENA;2025-07-21-17.10.24.000000;DAVIDS.ETC;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
1209;1;12;12;3;1;R;M;;;35;0;1;2024-11-21-11.47.44.000000;LUSENA;2026-02-04-22.51.30.000000;ADRIMO;;S;;N;;;;;;;;;;;;;;;;;;N;;;5453151;;S;0;;;;;;;;;;;N;;N;0
