SEQFAMILIA;QTDEMBALAGEM;EMBALAGEM;PESOBRUTO;PESOLIQUIDO;ALTURA;LARGURA;PROFUNDIDADE;STATUS;QTDUNIDEMB;MULTEQPEMB;FATORMULTVOLUME;EMBPESAVEL;INDREPLICACAO;INDGEROUREPLICACAO;EMBDECIMAL;INDGERACAPACVOL;MULTEQPEMBALAGEM;NROBASEEXPORTACAO;LITROS;INDGERASEPARACAO;PESOMEDIDAADIC;TIPOEMBPRECO;STATUSEMBPRECO;DTAHORALTEMBPRECO;USUALTEMBPRECO;EMBCONVNFE;FATORCONVEMBNFE;DTAHORALTERACARGAPDV;USUARIOALTERACAO;INDGERASEPARACAOUF;UTILEMISSAOETIQLOTEPROD;PESOMEDIO;DATAHORAALTERACAO;PERCTOLERANCIAPESO;DATAHORINTEGRACAOECOMMERCE;NROBASEEXPORTACAOERP
61;1;UN;0;0;0;0;0;A;1;1;;N;S;;N;;;2154946;0;;;N;;;;;;;PACEZAR;;;;;;;
188;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;5286515;0;;;N;;;;;;2026-03-13-08.51.56.000000;LUSENA;;;;2026-03-13-08.51.56.000000;;;0
188;6;FD;2,074;2,074;21,2;18,6;12,1;A;6;;;N;S;;N;;;5286515;0;S;;N;;;;;;2026-03-13-08.51.56.000000;LUSENA;;N;;2026-03-13-08.51.56.000000;;;0
190;6;FD;2,74;2,74;19,3;17,5;11,8;A;6;;;N;S;;N;;;5286515;0;S;;N;;;;;;2026-03-13-08.52.13.000000;LUSENA;;N;;2026-03-13-08.52.13.000000;;;0
194;12;FD;9,84;9,84;27,8;21,3;29,4;A;12;;;N;S;;N;;;4998754;0;S;;N;;;;;;2025-10-30-23.00.13.000000;JORSALDA;;N;0;2025-10-30-23.00.13.000000;;;0
195;6;FD;2,68;2,68;20,9;19;12,9;A;6;;;N;S;;N;;;5286517;0;S;;N;;;;;;2026-03-13-08.53.03.000000;LUSENA;;N;0;2026-03-13-08.53.03.000000;;;0
196;6;FD;2,75;2,75;20,5;17,2;11,9;A;6;;;N;S;;N;;;5404633;0;S;;N;;;;;;2026-05-06-07.30.54.000000;LUSENA;;N;;2026-05-06-07.30.54.000000;;;0
222;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1574006;0;;;N;;;;;;;CARIOS;;;;;;;
225;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1574506;0;;;N;;;;;;;CARIOS;;;;;;;
225;12;CX;0;0;0;0;0;A;12;;;N;S;;N;;;1574517;0;;;N;;;;;;;CARIOS;;N;;;;;
229;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1575410;0;;;N;;;;;;;CARIOS;;;;;;;
229;12;FD;4,52;4,52;13,1;29,2;20,4;A;12;;;N;S;;N;;;3949389;0;;;N;;;;;;;JORSALDA;;N;;;;;
231;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1575645;0;;;N;;;;;;;CARIOS;;;;;;;
245;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1590579;0;;;N;;;;;;;CARIOS;;;;;;;
246;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1590814;0;;;N;;;;;;;CARIOS;;;;;;;
248;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1590883;0;;;N;;;;;;;CARIOS;;;;;;;
248;12;FD;20,611;20,611;30;30,4;22,6;A;12;;;N;S;;N;;;5188937;0;;;N;;;;;;2026-01-26-16.51.03.000000;CVELOSO;;N;;2026-01-26-16.51.03.000000;;;0
261;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1605213;0;;;N;;;;;;;CARIOS;;;;;;;
264;1;UN;,41;,41;17,6;6,3;6;A;1;;;N;S;;N;;;5013642;0;;;N;;;;;;2025-11-05-23.47.46.000000;CARIOS;;;0;2025-11-05-23.47.46.000000;;;0
269;6;FD;12,03;12,03;20,6;19,9;30,8;A;6;;;N;S;;N;;;5012784;0;S;;N;;;;;;2025-11-05-15.29.37.000000;LUSENA;;N;0;2025-11-05-15.29.37.000000;;;0
273;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1608588;0;;;N;;;;;;;LUSENA;;;;;;;
273;12;CX;11,099;11,099;31,4;26,3;20,2;A;12;;;N;S;;N;;;3311294;0;S;;N;;;;;;;LUSENA;;N;;;;;
275;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1608746;0;;;N;;;;;;;LUSENA;;;;;;;
275;6;CX;12,14;12,14;33,7;29,6;20,7;A;6;;;N;S;;N;;;3311456;0;S;;N;;;;;;;LUSENA;;N;;;;;
277;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1608945;0;;;N;;;;;;;LUSENA;;;;;;;
277;6;FD;11,076;11,076;33,6;31,3;20,5;A;6;;;N;S;;N;;;3311719;0;S;;N;;;;;;;LUSENA;;N;;;;;
305;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;5593159;0;;;N;;;;;;2026-08-13-10.08.40.000000;CARIOS;;;;2026-08-13-10.08.40.000000;;;0
327;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1676681;0;;;N;;;;;;;CARIOS;;;;;;;
331;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1677197;0;;;N;;;;;;;CARIOS;;;;;;;
403;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;4933794;0;;;N;;;;;;;CARIOS;;;;;;;
407;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1746139;0;;;N;;;;;;;CARIOS;;;;;;;
443;6;FD;12,48;12,48;34,7;31,1;20,1;A;6;;;N;S;;N;;;5485643;0;S;;N;;;;;;2026-06-12-15.52.47.000000;LUSENA;;N;;2026-06-12-15.52.47.000000;;;0
450;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1827228;0;;;N;;;;;;;LUSENA;;N;;;;;
456;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;5498169;0;;;N;;;;;;2026-06-19-08.02.54.000000;CARIOS;;;;2026-06-19-08.02.54.000000;;;0
465;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1842632;0;;;N;;;;;;;LUSENA;;;;;;;
465;4;DP;0;0;0;0;0;A;4;;;N;S;;N;;;1842660;0;S;;N;;;;;;;LUSENA;;N;;;;;
546;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1949105;0;;;N;;;;;;;CARIOS;;;;;;;
546;12;CX;0;0;0;0;0;A;12;;;N;S;;N;;;1949109;0;;;N;;;;;;;CARIOS;;N;;;;;
555;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;5191001;0;;;N;;;;;;2026-01-27-15.02.41.000000;CARIOS;;;;2026-01-27-15.02.41.000000;;;0
557;1;UN;16,17;16,17;33;25,9;34,4;A;1;;;N;S;;N;;;5191005;0;;;N;;;;;;2026-01-27-15.04.46.000000;CARIOS;;;0;2026-01-27-15.04.46.000000;;;0
570;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1964104;0;;;N;;;;;;;CARIOS;;;;;;;
570;10;FD;0;0;0;0;0;A;10;;;N;S;;N;;;1964107;0;;;N;;;;;;;CARIOS;;N;;;;;
609;1;UN;4,23;4,23;36,4;11,7;19,8;A;1;;;N;S;;N;;;4063097;0;;;N;;;;;;;LUSENA;;;;;;;
610;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1984014;0;;;N;;;;;;;LUSENA;;N;;;;;
612;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1984656;0;;;N;;;;;;;LUSENA;;N;;;;;
613;2;FD;8,58;8,58;36,7;21,4;21,7;A;2;;;N;S;;N;;;5002148;0;S;;N;;;;;;2025-11-01-09.38.14.000000;LUSENA;;N;0;2025-11-01-09.38.14.000000;;;0
614;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;1984975;0;;;N;;;;;;;LUSENA;;;;;;;
620;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;4218414;0;;;N;;;;;;;LUSENA;;;;;;;
625;1;UN;2,17;2,17;36,2;10,6;10,4;A;1;;;N;S;;N;;;4995654;0;;;N;;;;;;2025-10-29-15.13.36.000000;LUSENA;;;0;2025-10-29-15.13.36.000000;;;0
629;1;UN;0;0;0;0;0;A;1;;;N;S;;N;;;4218253;0;;;N;;;;;;;LUSENA;;;;;;;
