SEQFAMILIA;SEQMARCA;FAMILIA;PESAVEL;INDISENTOPIS;INDICEFORMBASEIPI;ALIQUOTAIPI;PMTDECIMAL;PMTMULTIPLICACAO;INDVASILHAME;SEQVASILHAME;ARQUIVOFIGURA;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;INDCALCIPISAIDA;PERBASEIPI;PERISENTOIPI;PEROUTROIPI;PERALIQUOTAIPI;VLRIPIPAUTA;INDTRIBPISCOFINS;INDCONTROLEVDA;INDGENERICO;INDPRECOMONITORADO;INDSTPISCOFINS;INDUSALOTEESTOQUE;INDISENTODEBPISCOFINS;INDCONFAZ;INDALIQZPISCOFINS;INDPERMCONVENIO;OBSEMERGENCIAL;CODTIPI;INDCOMPLVLRIMP;INDMONOPISCOFINS;TIPORECEITA;CODSERVICO;INDDIGCHECKOUT;CODSEFAZCOMBLUB;INDEXIGLICENCA;CODNBMSH;COMPCESTABASICA;PAPELIMUNE;INDUSAFIGURA;INDSIMILAR;INDRECEITA;INDRECEITACOR;SEQFAMILIATMP;SITUACAONFPIS;SITUACAONFCOFINS;INDISENTOSUFRAMA;PERBASEPIS;PERBASECOFINS;INDINCONSISTANVISA;NROBASEEXPORTACAO;NROEMPRESAABASTEC;ATUALIZNCMIPI;INDMEDICAMENTO;INDETICO;ALIQPADRAOICMS;CODNATREC;SITUACAONFPISSAI;SITUACAONFCOFINSSAI;INDISENTOTSA;SEQNATREC;INDACEITAVENDAFRAC;SEQCERTIFICADO;TEXTONFCOMPLEMCERTIF;ATUALIZANCMIMPIMPORT;PERIMPOSTOIMPORT;PERREDIMPOSTOIMPORT;PERREDBASEIPIENT;INDMEDCONTROLADO;LISTAMEDCONTROLADO;CODMEDCONTROLADO;SUBITEMCODSERVICO;INDBEBIDAALCOOLICA;CODISENTAGIARS;CODOUTRASGIARS;SEQINFCONSERVDOMEST;INDETIQUETAANTIFURTO;SITPISCOFINSSIMPLES;INDEXIGEREQUISICAO;SITUACAONFIPI;SITUACAONFIPISAI;NRODIAGARANTIA;INDTIPORECEITA;INDANTIMICROBIANO;DTAHORALTERACARGAPDV;INDUSOPROLONGADO;UNIDADEMEDIDAMED;INDFARMACIAPOPULAR;ALIQPADRAOICMSPROTEGE;INDESCRITOUTROSEI;QTDPARCELAETIQUETA;NRODIASGARANTIAFAB;TIPOMODALGARANTIA;CODPRODDACAL;CODNVE;DTAHORINCLUSAOMSGCONT;USUARIOINCLUSAOMSGCONT;LEITURAMSGCONT;SEQTIPOFAMILIA;SEQMARCAFAMILIA;SEQCOMPLEMENTOFAMILIA;SEQGRAMATURAFAMILIA;INDPERMSUSPPISCOFINS;INDEXIGELOTE;CLASSEENQUADRAMENTOIPI;CODIGOSELOIPI;CODIGOENQUADRAMENTOIPI;GIARSTIPO;GIARSCODIGO;GIARSESPECIFICACAO;LITROSTABIPIPISCOFINS;CODGIACREDITOPRESUMIDO;CODGIATRANSFERENCIA;CODGIARECEBIMENTO;CODGIAOUTROSCREDITOS;CODGIAOUTROSDEBITOS;QTDMAXTRANSFLOCAL;CODCEST;PERCADICPRECOSETOR;EXIGEDTAVENCCONF;INDFAMTIPOEMBALAGEM;NROCODDCB;DESCDCB;APRESENTCONC;CHECAPESO;INDCADASTROATIVO;CODNBMSHAPROVACAO;INDENVIAQTDMAXTRANSPNFE;QTDMAXPERMNFE;CODISENTAGIARSINTEREST;CODOUTRASGIARSINTEREST;TIPOCALCTCIF;PERREDTCIF;VLRLIMTCIF;INDIMEI;INDEMITERELCALCIPIEQUIPIND;NROSERVREINF;DESCENCARTE;TIPOEVENTO;TIPOREPASSE;DESCRICAORECURSO;INDMATERIALAPOIO;SITUACAONFPISAUX;SITUACAONFCOFINSAUX;SITUACAONFIPIAUX;ALIQUOTAIPIAUX;CODCESTAUX;CODNATRECAUX;DTAALTERAIMPOSTOFAM;PERTRIBUTADOINT;SITUACAONFPISSAIAUX;SITUACAONFCOFINSSAIAUX;SITUACAONFIPISAIAUX;SEQNATRECAUX;CODNBMSHAUX;OBSENCARTE;INDALTERAIMPOSTO;INDEXIGEMAPA;SEQFAMILIAIMPORTACAOERP;INDUSAPESODRENADO;INDPERMITELERPESOPDV;TIPOCADASTRO;CODTIPMERCADORIA;INDDEDUZICMSDESONERADO;NROBASEEXPORTACAOERP;INDCONFIGTRIBUFDEVFORN;CODDIRBI
193;9;AGUA MIN DA PEDRA PET 350ML;N;;100;0;N;S;N;;;2024-09-21-10.21.06.000000;CARIOS;2026-06-11-10.43.27.000000;JORSALDA;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22011000;;;;N;N;;;73;73;;;;;5483151;;;;;;914;06;06;;309;;;;;0;;;;;;;;;;;;N;;;;;;;2026-06-11-10.38.51.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300504;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
197;14;INA AGUA MIN SARANDI ALK LT 350ML;N;;100;0;N;S;N;;;2024-09-21-11.14.43.000000;CARIOS;2026-06-11-08.26.40.000000;JORSALDA;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22011000;;;;N;N;;;73;73;;;;;5482939;;;;;;914;06;06;;309;;;;;0;;;;;;;;;;;;N;;;;;;;2026-06-11-08.13.20.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300504;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
225;30;VASILHAME SCHIN 1LITRO;N;;100;9,75;N;S;S;;;2024-09-24-15.52.14.000000;CARIOS;2026-01-23-11.12.06.000000;CVELOSO;S;;;;;;;;I;;;;;;;;;;;;N;;1;;S;;;70109021;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-24-15.52.14.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
227;25;INAT CERV BRAHMA D MALTE 300ML;N;;100;0;N;S;N;;;2024-09-24-16.46.05.000000;CARIOS;2026-02-23-11.43.36.000000;LUSENA;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22030000;;;;N;N;;;;;;;;;5411345;;;;;;;;;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2026-02-23-11.42.57.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
253;19;INAT CERV ANTARTICA PILSEN LT 473ML;N;;100;0;N;S;N;;;2024-09-25-17.00.58.000000;CARIOS;2026-03-18-10.53.22.000000;LUSENA;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22030000;;;;N;N;;;;;;;;;5411345;;;;;;;;;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2026-03-18-10.53.22.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
255;39;CERV BELLAVISTA LAGER LT 473ML;N;;100;2,93;N;S;N;;;2024-09-25-17.16.04.000000;CARIOS;2026-05-05-11.14.36.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22030000;;;;N;N;;;70;70;;;;;5613005;;;;;;918;06;06;;530;;;;;0;;;;;;;S;;408;;;N;;;;;;;2026-05-05-11.13.07.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302103;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
264;26;CERV BUDWEISER ZERO LT SLEEK 350ML;N;;100;2,92;N;S;N;;;2024-09-26-11.10.59.000000;CARIOS;2026-05-05-17.03.36.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22029100;;;;N;N;;;70;70;;;;;5613005;;;;;;918;06;06;;530;;;;;0;;;;;;;S;;408;;;N;;;;;;;2026-05-05-17.02.29.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302203;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
265;42;CERV CORONA EXTRA LT 473ML;N;;100;2,93;N;S;N;;;2024-09-26-11.25.23.000000;CARIOS;2026-05-05-17.42.36.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;N;;1;;S;;;22030000;;;;N;N;;;70;70;;;;;5613005;;;;;;918;06;06;;530;;;;;0;;;;;;;S;;408;;;N;;;;;;;2026-05-05-17.41.06.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;302103;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
269;43;VH BELTRAME BCO PET 1 9L;N;;100;6,5;N;S;N;;;2024-09-26-14.48.34.000000;LUSENA;2025-07-21-09.31.23.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-26-14.48.34.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
273;46;VH AURORA COLH TARDIA BCO 500ML;N;;100;6,5;N;S;N;;;2024-09-26-15.45.16.000000;LUSENA;2025-09-05-14.38.19.000000;GADELE;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-26-15.45.16.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
