NROEMPRESA;NUMERONF;SERIENF;TIPOTABELA;STATUSNF;NROSERIEECF;DTAEMISSAO;TIPNOTAFISCAL;VLRTOTAL;SEQPESSOA;NOMERAZAO;SEQNOTAFISCAL;NFECHAVEACESSO;INDEMISSAONF;DESCSTATUSNFE;STATUSNFE;DANFEEMITIDA;DTAIMPRESSAO;NFEAMBIENTE;NFEDTACANC;NFENROPROTCANC;NFEDTAENV;NFENROPROTENVIO;USUEMITIU;NROCARGA;INDENVIACANCELAMENTO;LINKERP;CODGERALOPER;INDLIBERADAINUTILIZACAO;APPORIGEM;INDRETORNOEVENTO;DTAVENCIMENTO;DTARECEBIMENTO;OBSERVACAOLF;TIPPEDIDOCOMPRA;NFREFERENCIANRO;NFREFERENCIASERIE;SEQNF;NUMERORPS;NUMERONFSE;NUMERONFPAINEL;MODELO;SEQPESSOATOMADORNFSE
3;30;700;N;V;;2026-02-06-00.00.00.000000;E;17,96;3;SUPERMERCADO BAKLIZI LTDA;179486;43260200610350000331557000000000301396626373;S;Autorizada;4;;;P;;;2026-02-06-11.58.52.000000;243260041124468;EPERRONI;;N;1106545;202;N;7;;;;Ref. NFCe 989 708 06/02 Usr: EPERRONI Just: Comprou errado;;1911;CF;1009254;;;30;55;
3;7;700;N;V;;2026-02-01-00.00.00.000000;E;15,89;3;SUPERMERCADO BAKLIZI LTDA;73433;43260200610350000331557000000000071202998190;S;Autorizada;4;;;P;;;2026-02-02-09.58.10.000000;243260034870136;DBATISTA;;N;155001;202;N;7;;;;Ref. NFCe 95 718 01/02 Usr: DBATISTA Just: Produto com defeito;;187;CF;845112;;;7;55;
18;5;700;N;V;;2026-02-02-00.00.00.000000;E;35,97;18;SUPERMERCADO BAKLIZI LTDA;95340;43260200610350002202557000000000051227175633;S;Autorizada;4;;;P;;;2026-02-03-09.08.34.000000;243260036116821;SILVIAV;;N;317005;202;N;7;;;;Ref. NFCe 70 713 02/02 Usr: ALIFER Just: 1;;174;CF;870613;;;5;55;
18;8;700;N;V;;2026-02-05-00.00.00.000000;S;165;15011;EXCELSIOR ALIMENTOS S.A;147669;43260200610350002202557000000000081678873655;S;Autorizada;4;;2026-02-05-07.56.35.000000;P;;;2026-02-05-07.56.55.000000;243260039165689;JEREDIA;;N;835050;802;N;39;;;;;;660565;101;953463;;;8;55;
8;10;700;N;V;;2026-02-06-00.00.00.000000;S;7,2;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;176697;43260200610350000765557000000000101154851586;S;Autorizada;4;;2026-02-06-10.50.13.000000;P;;;2026-02-06-10.50.43.000000;243260041006586;ALEXANTU;;N;1084502;802;N;39;;;;;;176812;1;1004522;;;10;55;
5;3;700;N;C;;2026-02-03-00.00.00.000000;S;51,75;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;96465;43260200610350000684557000000000031489572487;S;Nota Inutilizada;8;;2026-02-03-09.52.18.000000;P;;;2026-02-03-09.52.45.000000;;JEIDER;;N;329040;802;N;39;;;;;;468156;3;872762;;;3;55;
11;48;700;N;V;;2026-02-24-00.00.00.000000;S;24,42;9379;LACTALIS BRASIL COM IMP EXP LTDA;614483;43260200610350001818557000000000481255756932;S;Autorizada;4;;2026-02-24-11.12.15.000000;P;;;2026-02-24-11.12.44.000000;243260059927533;CARLAMB11;;N;4725534;802;N;22;;;;;;3997867;1;2085053;;;48;55;
16;17;700;N;V;;2026-02-03-00.00.00.000000;S;1755,07;3638;FRIBOI LTDA.;106423;43260200610350001907557000000000171953018806;S;Autorizada;4;;2026-02-03-15.25.26.000000;P;;;2026-02-03-15.25.56.000000;243260036764404;RENANVI;;N;446502;802;N;39;;;;;;334592;1;887185;;;17;55;
3;34;700;N;V;;2026-02-07-00.00.00.000000;S;749,92;3527;FABIANO ZAFFALON E CIA LTDA;200671;43260200610350000331557000000000341368716990;S;Autorizada;4;;2026-02-07-09.23.02.000000;P;;;2026-02-07-09.23.27.000000;243260042102999;EZEQUIEL;;N;1233542;802;N;39;;;;;;905862;1;1045021;;;34;55;
3;25;700;N;V;;2026-02-04-00.00.00.000000;E;23,97;3;SUPERMERCADO BAKLIZI LTDA;146420;43260200610350000331557000000000251546383594;S;Autorizada;4;;;P;;;2026-02-04-21.30.58.000000;243260038818207;DANILIMA;;N;817027;202;N;7;;;;Ref. NFCe 268 709 04/02 Usr: LCASTRO Just: Passou duas vezes;;556;CF;951146;;;25;55;
