SEQPONTOEXTRA;SEQPRODUTO;NROEMPRESA;SEQVIGENCIA;ESTQMINIMO;ESTQMAXIMO;DTAVIGENCIAINICIO;DTAVIGENCIAFIM;STATUS;QTDDIASSUGESTAO
121;169;18;127;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;169;12;128;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;169;11;129;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;169;6;130;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;169;3;131;1096;3736;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;169;2;132;604;3244;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;18;133;2640;3432;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;17;134;2640;3432;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;14;135;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;13;136;2640;3432;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;12;137;3960;5280;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;11;138;3960;5280;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;8;139;2640;3432;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;7;140;1320;2640;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;6;141;3960;5280;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;5;142;1320;2640;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;4;143;1320;1716;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;3;144;3960;5280;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;213;2;145;3960;5280;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;163;6;275;720;1320;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;163;3;276;2640;3432;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;A;
121;163;2;277;1320;2640;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;A;
