SEQPRODUTO;QTDEMBALAGEM;NROSEGMENTO;NROEMPRESA;STATUSVENDA;PRECOBASENORMAL;MOTIVOPRECOBASE;PRECOGERNORMAL;PRECOGERPROMOC;MOTIVOPRECOGERADO;PRECOVALIDNORMAL;PRECOVALIDPROMOC;MOTIVOPRECOVALIDO;FAIXAGERACRFIN;FAIXAVALIDACRFIN;INDEMIETIQUETA;PROCESSOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PRECOINDENIZACAO;SEQLISTAPRECOGER;SEQLISTAPRECOVALID;DTAGERACAOPRECO;DTAVALIDACAOPRECO;DTABASEEXPORTACAO;CODPROMPDVGER;FATPROMPDVGER;CODPROMPDVVALID;FATPROMPDVVALID;PONTOBASENORMAL;PONTOGERNORMAL;PONTOGERPROMOC;PONTOVALIDNORMAL;PONTOVALIDPROMOC;DTAALTERACAO;USUALTERACAO;PRECOMAXCONSUMIDOR;NROBASEEXPORTACAO;INDPRECOMONIT;MGMMINNORMAL;MGMMAXNORMAL;MGMMINPROMOC;MGMMAXPROMOC;PRECOMINNORMAL;PRECOMAXNORMAL;PRECOMINPROMOC;PRECOMAXPROMOC;VLRCUSTOLIQDIAPRECIF;INDBASESUGPRECO;SEQCCACORDOASSOCPRECOBASE;SEQCCACORDOASSOCPRECOGER;SEQCCACORDOASSOCPRECOVALIDO;MARGEMLUCROPRODEMPSEG;INDREVISAOPRECO;DTAGERREVISAOPRECO;USUGERREVISAOPRECO;DTAULTREVISAOPRECO;USUREVISAOPRECO;INDETIQUETARF;DTAGERACAOPRECOPROG;PRECOGERNORMALPROG;PRECOGERPROMOCPROG;PRECOEMITIDOPROMOC;USUAPROVASTATUSVDA;DTAAPROVASTATUSVDA;DTAHORALTSTATUSVDA;DTAHORIMPORTECOMMERCE;SEQCAMPANHABASE;VLRDIFCAMPANHAPRECOBASE;SEQCAMPANHAGER;VLRDIFCAMPANHAPRECOGER;SEQCAMPANHAVALID;VLRDIFCAMPANHAPRECOVALID;DTAHORCOLETAPRECO;USUVALIDAPRECO;DATAHORAALTERACAO;QTDETIQUETA;SEQPROMOCAO;INDETIQUETAMGL;NROBASEEXPORTACAOERP
9;1;1;13;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;50;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.11.000000;;;;0
9;1;1;18;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;4;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;6;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;8;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;2;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;5;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;17;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;16;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;901;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.11.000000;;;;0
9;1;1;7;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;20;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;902;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.11.000000;;;;0
9;1;1;14;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
