CODIGO_EMPRESA;EMPRESA;DATA_ENTRADA;NUMERO_NF;SERIE_NF;CGO;REDE;CODIGO_FORNECEDOR;FORNECEDOR;SITUACAO_FINANCEIRA;DATA_VENCIMENTO;DATA_PAGAMENTO;VALOR_PRODUTOS_NF;VALOR_TOTAL_NF;VALOR_FINANCEIRO_TITULOS;VALOR_PAGO;SALDO_ABERTO;DIFERENCA_TOTAL_NF_FIN;STATUS_CONCILIACAO
2;002-BAKLIZI;01/04/2026;2735348;1;290;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;EM ABERTO;01/04/2026;;R$ 1.628,52;R$ 1.628,52;R$ 1.628,52;R$ 0,00;R$ 1.628,52;R$ 0,00;CONCILIADO 100%
6;006-BAKLIZI;01/04/2026;2738061;1;290;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;16/04/2026;01/04/2026;R$ 2.575,91;R$ 2.651,05;R$ 2.651,05;R$ 2.651,05;R$ 0,00;R$ 0,00;CONCILIADO 100%
7;007-BAKLIZI;01/04/2026;2738062;1;290;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;01/04/2026;01/04/2026;R$ 1.405,46;R$ 1.486,94;R$ 1.486,94;R$ 1.486,94;R$ 0,00;R$ 0,00;CONCILIADO 100%
17;017-BAKLIZI;01/04/2026;2744603;1;290;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;10/04/2026;10/04/2026;R$ 11.566,08;R$ 11.876,59;R$ 11.876,59;R$ 11.876,59;R$ 0,00;R$ 0,00;CONCILIADO 100%
11;011-BAKLIZI;01/04/2026;2749535;1;290;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;20/04/2026;20/04/2026;R$ 2.191,26;R$ 2.210,86;R$ 2.210,86;R$ 2.210,86;R$ 0,00;R$ 0,00;CONCILIADO 100%
18;018-BAKLIZI;01/04/2026;2754306;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;24/04/2026;24/04/2026;R$ 3.477,46;R$ 3.487,26;R$ 3.487,26;R$ 3.487,26;R$ 0,00;R$ 0,00;CONCILIADO 100%
12;012-BAKLIZI;01/06/2026;2795915;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;19/06/2026;19/06/2026;R$ 5.169,89;R$ 5.216,45;R$ 5.216,45;R$ 5.216,45;R$ 0,00;R$ 0,00;CONCILIADO 100%
12;012-BAKLIZI;01/06/2026;2795916;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;19/06/2026;19/06/2026;R$ 1.614,30;R$ 1.614,30;R$ 1.614,30;R$ 1.614,30;R$ 0,00;R$ 0,00;CONCILIADO 100%
2;002-BAKLIZI;01/06/2026;2799167;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;24/06/2026;24/06/2026;R$ 7.069,57;R$ 7.276,89;R$ 7.276,89;R$ 7.276,89;R$ 0,00;R$ 0,00;CONCILIADO 100%
5;005-BAKLIZI;01/06/2026;2799174;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;24/06/2026;24/06/2026;R$ 785,80;R$ 809,19;R$ 809,19;R$ 809,19;R$ 0,00;R$ 0,00;CONCILIADO 100%
16;016-BAKLIZI;01/06/2026;2801217;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;26/06/2026;26/06/2026;R$ 4.609,54;R$ 4.803,14;R$ 4.803,14;R$ 4.803,14;R$ 0,00;R$ 0,00;CONCILIADO 100%
16;016-BAKLIZI;01/06/2026;2801245;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;26/06/2026;26/06/2026;R$ 21.436,40;R$ 22.336,72;R$ 22.336,72;R$ 22.336,72;R$ 0,00;R$ 0,00;CONCILIADO 100%
11;011-BAKLIZI;01/06/2026;2801250;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;26/06/2026;26/06/2026;R$ 5.070,74;R$ 5.157,01;R$ 5.157,01;R$ 5.157,01;R$ 0,00;R$ 0,00;CONCILIADO 100%
17;017-BAKLIZI;01/06/2026;2801253;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;26/06/2026;26/06/2026;R$ 6.081,51;R$ 6.226,36;R$ 6.226,36;R$ 6.226,36;R$ 0,00;R$ 0,00;CONCILIADO 100%
16;016-BAKLIZI;01/06/2026;2801261;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;26/06/2026;26/06/2026;R$ 17.714,00;R$ 17.714,00;R$ 17.714,00;R$ 17.714,00;R$ 0,00;R$ 0,00;CONCILIADO 100%
13;013-BAKLIZI;01/07/2026;2821473;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;24/07/2026;24/07/2026;R$ 5.946,96;R$ 5.982,11;R$ 5.982,11;R$ 5.982,11;R$ 0,00;R$ 0,00;CONCILIADO 100%
4;004-BAKLIZI;01/08/2026;2847244;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;28/08/2026;28/08/2026;R$ 827,88;R$ 827,88;R$ 827,88;R$ 827,88;R$ 0,00;R$ 0,00;CONCILIADO 100%
3;003-BAKLIZI;01/08/2026;2847247;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;28/08/2026;28/08/2026;R$ 1.062,00;R$ 1.062,00;R$ 1.062,00;R$ 1.062,00;R$ 0,00;R$ 0,00;CONCILIADO 100%
5;005-BAKLIZI;01/08/2026;2847248;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;28/08/2026;28/08/2026;R$ 317,52;R$ 317,52;R$ 317,52;R$ 317,52;R$ 0,00;R$ 0,00;CONCILIADO 100%
7;007-BAKLIZI;01/08/2026;2847250;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;28/08/2026;28/08/2026;R$ 317,52;R$ 317,52;R$ 317,52;R$ 317,52;R$ 0,00;R$ 0,00;CONCILIADO 100%
13;013-BAKLIZI;01/08/2026;2847330;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;28/08/2026;28/08/2026;R$ 1.834,41;R$ 1.845,41;R$ 1.845,41;R$ 1.845,41;R$ 0,00;R$ 0,00;CONCILIADO 100%
18;018-BAKLIZI;01/09/2026;2868470;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;EM ABERTO;25/09/2026;;R$ 1.874,60;R$ 1.874,60;R$ 1.874,60;R$ 0,00;R$ 1.874,60;R$ 0,00;CONCILIADO 100%
17;017-BAKLIZI;01/09/2026;2869370;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;EM ABERTO;28/09/2026;;R$ 6.947,31;R$ 7.211,15;R$ 7.211,15;R$ 0,00;R$ 7.211,15;R$ 0,00;CONCILIADO 100%
7;007-BAKLIZI;02/02/2026;2717870;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;25/02/2026;25/02/2026;R$ 668,62;R$ 688,22;R$ 688,22;R$ 688,22;R$ 0,00;R$ 0,00;CONCILIADO 100%
14;014-BAKLIZI;02/02/2026;2717876;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;25/02/2026;25/02/2026;R$ 1.500,11;R$ 1.562,46;R$ 1.562,46;R$ 1.562,46;R$ 0,00;R$ 0,00;CONCILIADO 100%
3;003-BAKLIZI;02/03/2026;2722903;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;EM ABERTO;10/03/2026;;R$ 9.986,26;R$ 10.003,86;R$ 10.003,86;R$ 0,00;R$ 10.003,86;R$ 0,00;CONCILIADO 100%
8;008-BAKLIZI;02/04/2026;2742696;1;1;COOPERATIVA SANTA CLARA;14322;COOPERATIVA SANTA CLARA LTDA;QUITADO;13/04/2026;08/04/2026;R$ 2.303,20;R$ 2.343,90;R$ 2.343,90;R$ 2.343,90;R$ 0,00;R$ 0,00;CONCILIADO 100%
