LOJA;DEPARTAMENTO;SECAO;GRUPO;CATEGORIA_NIVEL4;CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_TOTAL_VENDIDA;VLR_TOTAL_VENDIDO;VLR_CUSTO_TOTAL;VLR_LUCRO_TOTAL;MARGEM_FINAL_PERIODO
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2018;CAFE VACUO MELITTA 500G TRAD;2440;70656,65;59132,8;11523,85;16,31
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;38146;CAFE SOL NESCAFE VD 160G GTS 10G TRAD;2306;51717,64;35212,62;16505,02;31,91
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2139;CAFE SOL NESCAFE VD 160G TRADICAO FORTE;1831;47406,04;31797,44;15608,6;32,93
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2107;CAFE SOL NESCAFE SH 40G TRADICAO FORTE;4969;34649,91;21857,33;12792,58;36,92
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2081;CAFE SOL 3C SH 40G TRAD;5667;33081,43;19353,58;13727,85;41,5
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2028;CAFE VACUO MELITTA 250G TRAD;2111;33080,39;25048,18;8032,21;24,28
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2016;CAFE VACUO 3C TORRADO MOIDO 500G TRAD;1211;32468,15;25011,72;7456,43;22,97
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2020;CAFE VACUO MELITTA 500G EXTRA FORTE;945;27745,52;22711,45;5034,07;18,14
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2141;CAFE SOL NESCAFE VD 160G MATINAL;1020;26492,11;17806,77;8685,34;32,78
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2047;CAFE SOL IGUACU LT LV200G PG190G TRAD;924;24987,62;16167,23;8820,39;35,3
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;1997;CAFE VACUO 3C LV500G PG475G TRAD;699;18295,92;17898,77;397,15;2,17
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2108;CAFE SOL NESCAFE SH 40G MATINAL SUAVE;2256;16053,44;9984,1;6069,34;37,81
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2017;CAFE VACUO 3C TORRADO MOIDO 500G EXTRA FORTE;590;15587,52;11727,84;3859,68;24,76
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2083;CAFE SOL MELITTA SH 40G TRAD;2069;14799,51;9024,27;5775,24;39,02
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2142;CAFE SOL NESCAFE VD 160G ORIGINAL;546;13724,13;8808,88;4915,25;35,81
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;38351;CAFE SOLUVEL 3C TRAD 40G GTS 10PCTO;2214;13261,86;8416,82;4845,04;36,53
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;38145;CAFE SOL NESCAFE VD 200G GTS 10G TRAD;512;12966,08;7946,92;5019,16;38,71
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2148;CAFE SOL NESCAFE VD 200G TRADICAO;432;12817,62;8602,9;4214,72;32,88
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;1998;CAFE VACUO 3C 250G TRAD;903;12553,17;9210,86;3342,31;26,63
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;1999;CAFE VACUO 3C 250G EXTRA FORTE;784;10959,96;8043,94;2916,02;26,61
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2027;CAFE VACUO MELITTA 250G EXTRA FORTE;638;10175,02;7752,21;2422,81;23,81
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2121;CAFE SOL MELITTA SH 40G DESCAF;717;9309,63;5454,78;3854,85;41,41
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2015;CAFE VACUO IGUACU 500G TRAD;360;8918,8;6753,65;2165,15;24,28
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15158;CAFE SOL IGUACU SH L55P50G;982;8566,18;5111,71;3454,47;40,33
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15182;CAFE SOL NESCAFE MATINAL VD 200G;289;8502,95;5705,5;2797,45;32,9
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2077;CAFE SOL IGUACU SH 40G CLASSICO;1241;7981,19;4664,09;3317,1;41,56
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15194;CAFE SOL NESCAFE TRAD SH L40P36G;1191;7726,61;5192,03;2534,58;32,8
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15186;CAFE SOL NESCAFE ORIG SH L40P36G;1178;7726,2;4641,32;3084,88;39,93
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2147;CAFE SOL MELITTA VD 200G TRAD;236;7531,56;5766,33;1765,23;23,44
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2109;CAFE SOL NESCAFE SH 40G ORIGINAL;864;6208,76;3889,34;2319,42;37,36
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15187;CAFE SOL NESCAFE ORIG VD 200G;204;5991,52;4016,66;1974,86;32,96
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2119;CAFE SOL NESCAFE SH40G DESCAF;448;5958,52;3682,05;2276,47;38,21
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2299;FILTRO PAPEL BRIGITTA 102 C 30;999;5600,11;2586,3;3013,81;53,82
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;1996;CAFE VACUO 3C LV500G PG475G EXTRA FORTE;201;5591,59;4500,43;1091,16;19,51
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;1871;CAFE SOL NESCAFE SH 250G GOLD EQUILIBRADO;189;5298,41;3805,55;1492,86;28,18
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2007;CAFE VACUO MELITTA REG BRASIL 250G CERRADO;197;5203,63;3616,12;1587,51;30,51
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2097;CAFE SOL NESCAFE SH 40G DOLCA;780;4987,1;2947,97;2039,13;40,89
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2117;CAFE SOL NESCAFE GOLD SH 40G SUAVE;440;4986;2969,79;2016,21;40,44
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2218;CAPSULA DOLCE GUSTO 60G C 10 EXPRESSO;238;4738,21;3137,28;1600,93;33,79
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;38352;CAFE SOL IGUACU SH 40G GTS 10PCTO CLASSICO;678;4462,02;2573,9;1888,12;42,32
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2079;CAFE SOL BOM JESUS SH 40G FORTE;595;4247,05;2529,42;1717,63;40,44
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;2002;CAFE VACUO MOIDO 3C GOURMET 250G SUL DE MINAS;149;4013,11;2613,5;1399,61;34,88
3;MERCEARIA;MERCEARIA SECA;MERCEARIA SECA;CAFE E AFINS;15180;CAFE SOL NESCAFE MATINAL SH L40P36G;602;3955,68;2613,09;1342,59;33,94
