"Código Produto";"Produto";"Quantidade";"Valor Total";"Valor Desconto";"Valor Total Liq";"Lucratividade Total";"Lucrat.% Margem";"Custo Liquido";"Impostos"
"15141";"CAFE 3C DRIP GOURMET SH 10G PORTINARI";"857,000";"2.316,93";"0,00";"2.316,93";"308,18";"13,30";"1.848,10";"160,65"
"2154";"CAFE 3C DRIP GOURMET SH 11G DARK ROAST";"253,000";"635,17";"0,00";"635,17";"185,05";"29,13";"406,15";"43,97"
"2250";"CAFE 3C DRIP RITUAIS SH 10G FLORADA";"269,000";"801,31";"0,00";"801,31";"277,50";"34,63";"467,56";"56,25"
"2198";"CAFE 3C DRIP SH 10G MATAS DE MINAS";"25,000";"74,75";"0,00";"74,75";"27,01";"36,13";"42,50";"5,24"
"15144";"CAFE 3C DRIP TRAD SH 10G";"428,000";"1.008,48";"0,00";"1.008,48";"257,48";"25,53";"680,02";"70,98"
"1988";"CAFE IGUACU SOLUVEL PT 200G CAPPUCCINO";"130,000";"2.040,50";"0,00";"2.040,50";"408,17";"20,00";"1.285,45";"346,88"
"2039";"CAFE SOL 3C CAPPUCCINO PT 200G CLASSIC";"60,000";"1.251,00";"0,00";"1.251,00";"230,59";"18,43";"807,77";"212,64"
"33652";"CAFE SOL 3C CAPPUCCINO PT 200G LOV CARAM SALGA";"56,000";"1.109,64";"0,00";"1.109,64";"215,27";"19,40";"705,97";"188,40"
"33653";"CAFE SOL 3C CAPPUCCINO PT 200G LOVERS COOKIES";"36,000";"716,04";"1,20";"714,84";"126,37";"17,68";"467,09";"121,38"
"2029";"CAFE SOL 3C CAPPUCCINO SH 20G BAUNILHA";"173,000";"438,07";"0,00";"438,07";"95,47";"21,79";"268,43";"74,17"
"2031";"CAFE SOL 3C CAPPUCCINO SH 20G CANELA";"741,000";"1.855,09";"0,00";"1.855,09";"431,59";"23,27";"1.110,18";"313,32"
"29529";"CAFE SOL 3C CAPPUCCINO SH 20G CHOC";"715,000";"1.803,15";"0,00";"1.803,15";"411,60";"22,83";"1.086,69";"304,86"
"2030";"CAFE SOL 3C CAPPUCCINO SH 20G CLASSIC";"1.102,000";"2.744,08";"0,00";"2.744,08";"644,43";"23,48";"1.636,68";"462,97"
"1989";"CAFE SOL 3C FORZA SH 250G INTENSIDADE MAX";"109,000";"2.672,71";"0,00";"2.672,71";"663,77";"24,84";"1.821,78";"187,16"
"2048";"CAFE SOL 3C LT 160G TRAD";"34,000";"1.000,86";"0,00";"1.000,86";"218,79";"21,86";"611,91";"170,16"
"2071";"CAFE SOL 3C LT 300G C LEITE";"97,000";"2.278,73";"3,50";"2.275,23";"349,08";"15,34";"1.539,64";"386,51"
"2069";"CAFE SOL 3C SH 20G C LEITE";"448,000";"1.149,42";"0,00";"1.149,42";"274,04";"23,84";"680,27";"195,11"
"2081";"CAFE SOL 3C SH 40G TRAD";"5.667,000";"33.321,23";"239,80";"33.081,43";"8.111,62";"24,52";"19.353,58";"5.616,23"
