CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
2;1;2475;12126;SEMALO IND E COM DE ALIM LTDA;Midia para Telão;11/02/2026;WERTER;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;30/07/2026;;;;R$ 3.000,00;R$ 3.000,00;R$ 3.000,00;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
16;1;3581;12167;BRF S.A;ACORDO REF. PEDIDO: 16/21111/L;16/02/2026;SANDRO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;19/03/2026;;6501623;21111;R$ 5.042,15;R$ 5.042,15;R$ 4.517,54;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
2;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 2/22516/M;18/02/2026;LAURINDO;EM ANDAMENTO;QUITADO;SELL-IN;;;;;25/02/2026;421308;22516;R$ 902,75;R$ 0,00;R$ 0,00;R$ 902,75;R$ 0,00;R$ 0,00;1;1;0
4;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 4/22517/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22517;R$ 232,03;R$ 232,03;R$ 0,00;R$ 0,00;R$ 232,03;R$ 0,00;0;0;0
5;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 5/22518/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22518;R$ 221,20;R$ 221,20;R$ 0,00;R$ 0,00;R$ 221,20;R$ 0,00;0;0;0
6;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 6/22519/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22519;R$ 519,69;R$ 519,69;R$ 0,00;R$ 0,00;R$ 519,69;R$ 0,00;0;0;0
7;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 7/22520/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22520;R$ 549,77;R$ 549,77;R$ 0,00;R$ 0,00;R$ 549,77;R$ 0,00;0;0;0
8;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 8/22521/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22521;R$ 138,97;R$ 138,97;R$ 0,00;R$ 0,00;R$ 138,97;R$ 0,00;0;0;0
11;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 11/22522/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22522;R$ 566,90;R$ 566,90;R$ 0,00;R$ 0,00;R$ 566,90;R$ 0,00;0;0;0
12;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 12/22523/L;18/02/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-IN;;;;;;420673;22523;R$ 675,80;R$ 675,80;R$ 0,00;R$ 0,00;R$ 675,80;R$ 0,00;0;0;0
13;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 13/22524/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22524;R$ 575,62;R$ 575,62;R$ 0,00;R$ 0,00;R$ 575,62;R$ 0,00;0;0;0
14;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 14/22525/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22525;R$ 136,35;R$ 136,35;R$ 0,00;R$ 0,00;R$ 136,35;R$ 0,00;0;0;0
16;2;3601;16491;JBS S A;ACORDO REF. PEDIDO: 16/21374/L;17/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;21374;R$ 8.898,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0
