ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_NOMINAL;VALOR_PAGO;VALOR_PROJETADO
1-TITULO_REAL;13;47524/128-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;2824,46;2824,46;0
1-TITULO_REAL;6;80643/121-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;1213,74;1213,74;0
1-TITULO_REAL;18;89640/124-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;1808,02;1808,02;0
1-TITULO_REAL;12;2619/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;01/06/2026;;30;1;01/07/2026;FATURADO;2550;2550;0
1-TITULO_REAL;13;2620/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;01/06/2026;;30;1;01/07/2026;FATURADO;1700;1700;0
1-TITULO_REAL;15;342552/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;799,92;799,92;0
1-TITULO_REAL;15;342551/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;15914,4;15914,4;0
1-TITULO_REAL;15;9124/1-1;;15301;CARLOS ENRIQUE WATERMANN EIRELI;NIDAL;03/06/2026;;28;1;01/07/2026;FATURADO;14639;14639;0
1-TITULO_REAL;15;3297285/2-3;;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA;BATISTA;19/05/2026;;43;3;01/07/2026;FATURADO;25908,91;25908,91;0
1-TITULO_REAL;15;67306892/890-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;15016,3;15016,3;0
1-TITULO_REAL;3;67306735/-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;30/06/2026;;1;1;01/07/2026;FATURADO;16216,3;16216,3;0
1-TITULO_REAL;15;67306735/890-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;1200;1200;0
1-TITULO_REAL;15;866844/1-4;;7246;COOP VINICOLA AURORA LTDA;NICOLAS;13/04/2026;;79;4;01/07/2026;FATURADO;26346,45;26346,45;0
1-TITULO_REAL;15;442992/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;20937,95;20937,95;0
1-TITULO_REAL;15;442991/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;4783,52;4783,52;0
1-TITULO_REAL;15;442989/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;31430,19;31430,19;0
1-TITULO_REAL;16;2246664/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;40787,96;40787,96;0
1-TITULO_REAL;16;2246676/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;44373,5;44373,5;0
1-TITULO_REAL;16;2246663/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;138062,63;138062,63;0
1-TITULO_REAL;15;91655/1-1;;14321;COOPERATIVA SANTA CLARA LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;105264;105264;0
1-TITULO_REAL;18;7861/6-1;;3854;COPA ENERGIA;MODELO;10/06/2026;;21;1;01/07/2026;FATURADO;2797,72;2797,72;0
