EMPRESA;GRUPO;PARAMETRO;VALOR
0;CATEGORIA;TIPO_CATEGORIA_DESC_FINANC;M
0;CONSULTA_PROD;CONSIDERA_DESC_FINANC;S
0;CONTRATO_FIDELIDADE;UTIL_COND_PAGTO_CONTR_FIDEL;N
0;EXPORT_NFE;EMITE_COND_PAGTO;N
0;MAX_CLIENTE;UTILIZA_DESC_FINANC_CATEG;N
0;PED_COMPRA;CONS_DESC_FINANC_FORNEC;S
1;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
2;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
3;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
4;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
5;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
6;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
7;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
8;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
9;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
10;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
11;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
12;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
13;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
14;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
15;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
16;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
17;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
18;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
20;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
21;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
22;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
23;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
50;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
900;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
901;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
902;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
903;PED_VENDA;ALTERA_COND_PAGTO_PZO_AD;N
1;PED_VENDA;GER_DESC_FINANC_OFERTA;S
2;PED_VENDA;GER_DESC_FINANC_OFERTA;S
3;PED_VENDA;GER_DESC_FINANC_OFERTA;S
4;PED_VENDA;GER_DESC_FINANC_OFERTA;S
5;PED_VENDA;GER_DESC_FINANC_OFERTA;S
6;PED_VENDA;GER_DESC_FINANC_OFERTA;S
7;PED_VENDA;GER_DESC_FINANC_OFERTA;S
8;PED_VENDA;GER_DESC_FINANC_OFERTA;S
9;PED_VENDA;GER_DESC_FINANC_OFERTA;S
10;PED_VENDA;GER_DESC_FINANC_OFERTA;S
11;PED_VENDA;GER_DESC_FINANC_OFERTA;S
12;PED_VENDA;GER_DESC_FINANC_OFERTA;S
13;PED_VENDA;GER_DESC_FINANC_OFERTA;S
14;PED_VENDA;GER_DESC_FINANC_OFERTA;S
15;PED_VENDA;GER_DESC_FINANC_OFERTA;S
16;PED_VENDA;GER_DESC_FINANC_OFERTA;S
17;PED_VENDA;GER_DESC_FINANC_OFERTA;S
18;PED_VENDA;GER_DESC_FINANC_OFERTA;S
20;PED_VENDA;GER_DESC_FINANC_OFERTA;S
