ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;13;47524/128-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;2824,46
1-TITULO_REAL;6;80643/121-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;1213,74
1-TITULO_REAL;18;89640/124-1;;6309;ALTAMIR MATEOS BRAIDO E CIA LTDA.;WERTER;17/06/2026;;14;1;01/07/2026;FATURADO;1808,02
1-TITULO_REAL;12;2619/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;01/06/2026;;30;1;01/07/2026;FATURADO;2550
1-TITULO_REAL;13;2620/6-1;;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO;01/06/2026;;30;1;01/07/2026;FATURADO;1700
1-TITULO_REAL;15;342552/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;799,92
1-TITULO_REAL;15;342551/1-1;;14468;BERTOLINI INDUSTRIA QUIMICA LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;15914,4
1-TITULO_REAL;15;9124/1-1;;15301;CARLOS ENRIQUE WATERMANN EIRELI;NIDAL;03/06/2026;;28;1;01/07/2026;FATURADO;14639
1-TITULO_REAL;15;3297285/2-3;;6962;CENTRAL DISTR OFERTAO DE ALIM LTDA;BATISTA;19/05/2026;;43;3;01/07/2026;FATURADO;25908,91
1-TITULO_REAL;3;67306735/-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;30/06/2026;;1;1;01/07/2026;FATURADO;16216,3
1-TITULO_REAL;15;67306735/890-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;15;67306892/890-1;;8915;COMERCIAL DE FUMOS VITORIA LTDA.;BATISTA;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;15;866844/1-4;;7246;COOP VINICOLA AURORA LTDA;NICOLAS;13/04/2026;;79;4;01/07/2026;FATURADO;26346,45
1-TITULO_REAL;15;442992/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;20937,95
1-TITULO_REAL;15;442989/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;31430,19
1-TITULO_REAL;15;442991/1-1;;7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;4783,52
1-TITULO_REAL;16;2246664/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;40787,96
1-TITULO_REAL;16;2246676/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;44373,5
1-TITULO_REAL;16;2246663/1-1;;11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO;01/06/2026;;30;1;01/07/2026;FATURADO;0
1-TITULO_REAL;15;91655/1-1;;14321;COOPERATIVA SANTA CLARA LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;105264
1-TITULO_REAL;18;7861/6-1;;3854;COPA ENERGIA;MODELO;10/06/2026;;21;1;01/07/2026;FATURADO;2797,72
1-TITULO_REAL;8;7866/6-1;;3854;COPA ENERGIA;MODELO;10/06/2026;;21;1;01/07/2026;FATURADO;3426,53
1-TITULO_REAL;2;7867/6-1;;3854;COPA ENERGIA;MODELO;10/06/2026;;21;1;01/07/2026;FATURADO;6661,68
1-TITULO_REAL;15;289053/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;77,04
1-TITULO_REAL;15;289052/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;192,6
1-TITULO_REAL;15;289049/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;2918,41
1-TITULO_REAL;15;289048/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;99,6
1-TITULO_REAL;15;289051/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;935,99
1-TITULO_REAL;15;289043/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;234,6
1-TITULO_REAL;15;289042/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;1535,04
1-TITULO_REAL;15;289041/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;2918,41
1-TITULO_REAL;15;289044/34-1;;9639;CRBS S/A;NICOLAS;09/06/2026;;22;1;01/07/2026;FATURADO;2918,41
1-TITULO_REAL;18;150620001/700-1;;12288;DARLAN BRESSAN DALENOGARE;LAURINDO;16/06/2026;;15;1;01/07/2026;FATURADO;0
1-TITULO_REAL;15;1750457/3-1;;3338;DARNEL- EMBALAGENS LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;3085,59
1-TITULO_REAL;15;1750457/3-1;;3338;DARNEL- EMBALAGENS LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;3085,59
1-TITULO_REAL;14;140520005/700-1;;1947;DELCIO LIMA GAVIAO;LAURINDO;11/06/2026;;20;1;01/07/2026;FATURADO;469,82
1-TITULO_REAL;16;248041/1-1;;16727;DIST DE ALIM BRISTOT LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;128448,05
1-TITULO_REAL;16;248041/1-1;;16727;DIST DE ALIM BRISTOT LTDA;LAURINDO;03/06/2026;;28;1;01/07/2026;FATURADO;128448,05
1-TITULO_REAL;12;185891/1-1;;6394;ERVATEIRA SEIVA PURA LTDA;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;3032
1-TITULO_REAL;50;157283/3-1;;17035;ESTRELA INDUSTRIA DE PAPEL LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;16805,59
1-TITULO_REAL;8;480364/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;14;480366/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;12;480328/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;3;480292/-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;01/07/2026;;0;1;01/07/2026;FATURADO;14860,34
1-TITULO_REAL;13;480292/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;13;480291/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;6;480367/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;8;480364/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;14;480365/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;0
1-TITULO_REAL;6;480368/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;0
