LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;37964;ACHOC PO KIT KAT 1 3KG;A;0;0;
15;A CLASSIFICAR;34639;ACUCAR CONFEITEIRO PURATOS 2KG;A;0;0;
15;A CLASSIFICAR;37392;ARQUIBANCADA E AVULSO SABADO;A;0;0;
15;A CLASSIFICAR;37394;ARQUIBANCADA F AVULSO SABADO;A;0;0;
15;A CLASSIFICAR;36062;CAM GOLD AVULSO PISTA QUINTA;A;0;0;1017479
15;A CLASSIFICAR;36063;CAM GOLD AVULSO PISTA SABADO;A;0;0;1017481
15;A CLASSIFICAR;36042;CAM GOLD AVULSO PISTA SEXTA;A;0;0;1017480
15;A CLASSIFICAR;36043;CAM GOLD FRISAS;A;0;0;1025053
15;A CLASSIFICAR;36046;CAM GOLD MESA ELEVADA;A;0;0;1022054
15;A CLASSIFICAR;36059;CAM GOLD PASS ARQUIBANCADA E;A;0;0;1017404
15;A CLASSIFICAR;36048;CAM GOLD PASS ARQUIBANCADA F;A;0;0;1025056
15;A CLASSIFICAR;36114;CAM GOLD PASS MESAS;A;0;0;1017405
15;A CLASSIFICAR;36041;CAM GOLD PASS PISTA;A;0;0;1017403
15;A CLASSIFICAR;37849;CHANT CHANTYPACK PURATOS 1L CHOC AV;A;0;0;
15;A CLASSIFICAR;37978;CHOC PO BIOMICA 50PCT CACAU 1KG;A;0;0;
15;A CLASSIFICAR;37769;COB PURATOS CARAT MOEDAS 2 01KG BCO;A;0;0;
15;A CLASSIFICAR;37848;COCO COPRA FLOCOS UMIDO ADOCADO 1KG;A;0;0;
15;A CLASSIFICAR;36780;CONS ACHOC ALPINO COM LEITE 1 3KG;A;0;0;2100706
15;A CLASSIFICAR;36776;CONS ACHOC NESTLE DOIS FRADES 1 3KG;A;0;0;2100705
15;A CLASSIFICAR;16500;CONS ACU CONF 1K SNOW SUGAR;A;0;0;1009233
15;A CLASSIFICAR;35355;CONS ALCOOL 92 8 1000ML;A;6,43;5,67;0056549
15;A CLASSIFICAR;35373;CONS ALCOOL GEL 5L;A;0;0;7899584
15;A CLASSIFICAR;35363;CONS ALMFADA P CARIMBO;A;0;0;0049350
15;A CLASSIFICAR;35366;CONS AMARELINHOS UN;A;0;0;7899527
15;A CLASSIFICAR;35378;CONS ARMADILHA LUMIN ADES SLIM LS30;A;329;340,8;0092876
15;A CLASSIFICAR;37056;CONS ARMARIO IMECA P20 ESTEIRAS;A;0;0;0151801
15;A CLASSIFICAR;35380;CONS ARQUIVO MORTO CAIXA;A;0;0;0017201
15;A CLASSIFICAR;35381;CONS ARRUELA DE BRONZE 10 E 22;A;0;0;0043642
15;A CLASSIFICAR;35383;CONS ARRUELA DE BRONZE 32;A;0;0;0043643
15;A CLASSIFICAR;35386;CONS ARRUELA DE FIBRA 32;A;0;0;0043890
15;A CLASSIFICAR;35391;CONS ARRUELA DE FIBRA 8X10 22X98;A;0;0;0098078
15;A CLASSIFICAR;35395;CONS ATILHO BORRACHA SC 500G;A;0;0;0037304
15;A CLASSIFICAR;35398;CONS AVENTAL TRANS PVC TAM 020;A;0;0;1016224
15;A CLASSIFICAR;35402;CONS AVENTAL TRANS PVC TAM 030;A;0;0;1016225
15;A CLASSIFICAR;37567;CONS BALANCA TOLEDO;A;0;0;
15;A CLASSIFICAR;35405;CONS BALDE ESPREMEDOR LAT 28L AMA;A;0;0;0008556
15;A CLASSIFICAR;35476;CONS BAND 21E BCA BLX 400UN;A;0;0;1014989
15;A CLASSIFICAR;35408;CONS BAND AMARELA B2 21SLEC 400;A;27,91;26,49;0049351
15;A CLASSIFICAR;35411;CONS BAND AMARELA B3 C 400;A;53,43;50,69;0049357
15;A CLASSIFICAR;35415;CONS BAND AMARELA B4 10 PE C 400;A;0;0;1000219
15;A CLASSIFICAR;35419;CONS BAND BRANCA B1 N11S C 400;A;35,63;33,79;0008210
15;A CLASSIFICAR;35424;CONS BAND BRANCA B2 N21PE C 400;A;,52;,49;0011851
15;A CLASSIFICAR;35431;CONS BAND BRANCA B3 4PE FD 400U;A;33,49;31,77;0099182
15;A CLASSIFICAR;35445;CONS BAND BRANCA B4 10PE C 400;A;14,47;13,72;0008212
15;A CLASSIFICAR;37933;CONS BAND LAMINADA N4 28X34CM C10;A;0;0;7899945
15;A CLASSIFICAR;35449;CONS BAND PRETA B3 4 PEL C 400;A;0;0;7899064
15;A CLASSIFICAR;35453;CONS BAND PRETA B4 10PLE C 400;A;0;0;7899899
15;A CLASSIFICAR;35472;CONS BAND RETANG FRIOS 71X40X20;A;0;0;0159340
15;A CLASSIFICAR;36492;CONS BASE P TORTA CARAVELI 15CM;A;0;0;7899694
15;A CLASSIFICAR;36490;CONS BASE P TORTA CARAVELI 8CM;A;0;0;7899989
15;A CLASSIFICAR;36365;CONS BATERIA;A;4000;0;7803507
15;A CLASSIFICAR;36792;CONS BEIJINHO KG;A;0;0;7899948
15;A CLASSIFICAR;36131;CONS BISTURI P CORTES LAMARE;A;0;0;0014809
15;A CLASSIFICAR;35482;CONS BISTURI SERRA PAO INOX;A;0;0;7899032
15;A CLASSIFICAR;35485;CONS BLOCO ENTREGA DE MALOTE;A;0;0;0051932
15;A CLASSIFICAR;35489;CONS BLOCOS OCORRENCIA BO;A;0;0;7899077
15;A CLASSIFICAR;35494;CONS BOBINA 57X30 CALC 1V BCA;A;0;0;0017687
15;A CLASSIFICAR;35498;CONS BOBINA 57X80MM P PONTO CX;A;0;0;0065788
15;A CLASSIFICAR;35501;CONS BOBINA CALC 57X30 TERM AMA;A;0;0;0078559
15;A CLASSIFICAR;35503;CONS BOBINA PDV 80X80 TERMICA CX;A;7,88;6,52;0046997
15;A CLASSIFICAR;35507;CONS BOBINA PONTO 57X150M V4695;A;0;0;0103169
15;A CLASSIFICAR;35510;CONS BOBINA UNISOLD 30X39 C 920 BCA;A;171,79;144,99;0045963
15;A CLASSIFICAR;35513;CONS BOBINA UNISOLD 34X50 C 815 AMA;A;0;0;0045964
15;A CLASSIFICAR;35515;CONS BOBINA UNISOLD 39X60 C 575 LAR;A;0;0;0046855
15;A CLASSIFICAR;35516;CONS BOBINA UNISOLD 50X71 C 400 AZL;A;263,27;222,19;7800634
15;A CLASSIFICAR;30077;CONS BOMBOM TRUFADO RECH AVELA 2K;A;0;0;1000019
15;A CLASSIFICAR;36604;CONS BOMBONA AZUL 200L;A;140;0;7803544
15;A CLASSIFICAR;35520;CONS BOTA CANO CURTO TAM 34 BCA;A;0;0;1016247
15;A CLASSIFICAR;35521;CONS BOTA CANO CURTO TAM 35 BCA;A;0;0;1016248
15;A CLASSIFICAR;35524;CONS BOTA CANO CURTO TAM 36 BCA;A;0;0;1016249
15;A CLASSIFICAR;35526;CONS BOTA CANO CURTO TAM 37 BCA;A;0;0;1016250
15;A CLASSIFICAR;35528;CONS BOTA CANO CURTO TAM 38 BCA;A;0;0;1016251
15;A CLASSIFICAR;35533;CONS BOTA CANO CURTO TAM 39 BCA;A;0;0;1016252
15;A CLASSIFICAR;35538;CONS BOTA CANO CURTO TAM 40 BCA;A;0;0;1016253
15;A CLASSIFICAR;35541;CONS BOTA CANO CURTO TAM 41 BCA;A;0;0;1016254
15;A CLASSIFICAR;35544;CONS BOTA CANO CURTO TAM 42 BCA;A;0;0;1016255
15;A CLASSIFICAR;35545;CONS BOTA CANO CURTO TAM 43 BCA;A;0;0;1016256
15;A CLASSIFICAR;35547;CONS BOTA CANO CURTO TAM 44 BCA;A;0;0;1016257
15;A CLASSIFICAR;35549;CONS BOTA CANO CURTO TAM 45 BCA;A;0;0;1016258
15;A CLASSIFICAR;35552;CONS BOTA FRIG TAM 38 BCA;A;0;0;1016230
15;A CLASSIFICAR;35553;CONS BOTA FRIG TAM 39 BCA;A;0;0;1016231
15;A CLASSIFICAR;35557;CONS BOTA FRIG TAM 40 BCA;A;0;0;1016232
15;A CLASSIFICAR;35558;CONS BOTA FRIG TAM 41 BCA;A;0;0;1016233
15;A CLASSIFICAR;35561;CONS BOTA FRIG TAM 42 BCA;A;0;0;1016234
15;A CLASSIFICAR;35562;CONS BOTA FRIG TAM 43 BCA;A;0;0;1016235
