CODIGO_CONSINCO;DESCRICAO_PRODUTO;DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;ATIVO_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_DISPONIVEL;PEDIDOS_PENDENTES_COMPRA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;QTD_VENDIDA_30D
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;5;A;12;12;32;0;10;22;3
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;17;A;12;12;6;12;10;22;11
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;4;A;12;12;0;24;10;22;9
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;3;A;12;12;-1;24;10;22;0
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;2;A;12;12;0;24;10;22;21
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;1;A;12;12;48;0;8;12;0
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;7;A;12;12;30;0;10;22;3
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;8;A;12;12;9;12;10;22;4
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;11;A;12;12;12;0;10;22;2
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;12;A;12;12;-9;24;10;22;25
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;13;A;12;12;14;0;10;22;6
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;14;A;12;12;9;12;10;22;0
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;15;A;12;12;122;0;0;0;0
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;18;A;12;12;34;0;10;22;1
3938;AGUA COCO DUCOCO TP 1L;BEBIDAS;NICOLAS;6;A;12;12;16;0;10;22;4
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;NICOLAS;18;A;27;27;85;0;21;48;13
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;NICOLAS;17;A;27;27;27;0;21;48;7
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;NICOLAS;15;A;27;27;357;0;377;594;0
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;NICOLAS;14;A;27;27;7;54;21;48;54
952;AGUA COCO DUCOCO TP 200ML;BEBIDAS;NICOLAS;13;A;27;27;35;0;21;48;6
