CODIGO_PRODUTO;DESCRICAO;VALOR_CUSTO_NF;ALIQUOTA_PIS;ALIQUOTA_COFINS;PIS_COFINS_GRAVADO;PIS_COFINS_CALCULADO;PIS_COFINS_PADRAO;CFOP;CST_PIS;CST_COFINS;GERA_CREDITO_PIS;GERA_CREDITO_COFINS;NUMERO_NF;SERIE_NF;DTA_ENTRADA;NRO_EMPRESA
10480;ABACATE AVOCADO KG;1,15;1,65;7,6;0;,1064;,1064;1102;73;73;;;813;6;04/03/2026;2
10479;ABACATE KG;,216;1,65;7,6;0;,02;,02;1102;73;73;;;2157;6;14/05/2026;18
10482;ABACAXI UN PEROLA;,4;1,65;7,6;0;,037;,037;1102;73;73;;;2157;6;14/05/2026;18
10486;ABOBORA DOCE KG;,1844;1,65;7,6;0;,0171;,0171;1102;73;73;;;2121;6;14/05/2026;18
10488;ABOBORA GOMO COMUM KG;,129;1,65;7,6;0;,0119;,0119;1102;73;73;;;2121;6;14/05/2026;18
10490;ABOBORA ITALIA KG;,2667;1,65;7,6;0;,0247;,0247;1102;73;73;;;2121;6;14/05/2026;18
10493;ABOBORA TRONCO KG;,3644;1,65;7,6;0;,0337;,0337;1102;73;73;;;2108;6;14/05/2026;18
34727;ACEM E PESCOCO C OSSO BOV RESF KG;25,4;1,65;7,6;0;2,3495;2,3495;2403;73;73;;;423845;1;11/06/2026;17
10496;ACEM FRIBOI PORC KG;31;1,65;7,6;0;2,8675;2,8675;2403;73;73;;;342363;1;09/06/2026;16
10503;ACEM RESERVA S OSSO KG PAI;34,45;1,65;7,6;0;3,1866;3,1866;2403;73;73;;;342363;1;09/06/2026;16
8799;ACENDEDOR PARANA GEL 480G;,621;1,65;7,6;0;,0574;,0574;2102;70;70;;;150441;5;03/06/2026;50
2928;ACHOC LIQ ELEGE 1L BOB ESPONJA;,5317;1,65;7,6;0;,0492;,0492;1102;73;73;;;4102485;1;06/05/2026;14
2925;ACHOC LIQ ITALAC 1L;4,9;1,65;7,6;0;,4533;,4533;1102;73;73;;;208302;1;06/05/2026;15
