DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;1;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;2;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;3;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;4;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;5;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;6;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;7;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;8;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;11;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;12;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;13;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;14;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;15;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;16;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;17;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;18;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38157;SUCO COM TEM VD 1L UVA E MACA;50;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;1;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;2;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;3;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;4;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;5;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;6;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;7;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;8;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;11;ATIVO;1;0;0;0;13/04/2026;31
BEBIDAS;38045;VH CANCAO MOSCATO SECO 750ML;12;ATIVO;1;0;0;0;13/04/2026;31
