CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
207;CERV SCHIN PILSEN LT 473ML;3773;14469;CARLOS CANCIAN E CIA LTDA
3;REFRE PO TANG 18G LARANJA;1847;10617;MENON COMERCIO E REPRESENTACOES LTDA
5224;CR DEN COLGATE TT12 90G CLEAR MINT;1605;15318;PODAL IND E COM DE ALIMENTOS LTDA
3424;CREME LEITE TERRA VIVA TP 200G;1557;3022;COOPEROESTE-COOP.REG.DE COM.DO EXT.OESTE
847;REFRIG COCA COLA PET 600ML;1481;15441;SPAL IND BRAS BEBIDAS AS
213;CERV SKOL PILSEN LT 473ML;1441;9638;CRBS AS CDD PELOTAS
22630;QJO RALADO DA SERRA 40G;1405;19525;EPG COMERCIO DE ALIMENTOS LTDA
93;REFRE PO FRISCO 18G MORANGO C IOG;1371;8702;CAFE TRES CORACOES S.A
151;CERV BOHEMIA LT 473ML;1355;9638;CRBS AS CDD PELOTAS
10;REFRIG COCA COLA PET 2L;1306;15441;SPAL IND BRAS BEBIDAS AS
889;REFRIG COCA COLA LT 350ML;1247;15441;SPAL IND BRAS BEBIDAS AS
156;CERV BUDWEISER LT 473ML;1211;9638;CRBS AS CDD PELOTAS
956;AGUA COCO KERO COCO TP 200ML;1164;10124;PEPSICO DO BRASIL LTDA
750;ACUCAR CRISTAL GASPARIN 5KG;1028;6158;GASPARIN CEREAIS LTDA ME
152;CERV BRAHMA CHOPP LT 473ML;1001;9638;CRBS AS CDD PELOTAS
47;REFRE PO TANG 18G UVA INTENSA;996;10617;MENON COMERCIO E REPRESENTACOES LTDA
5;REFRE PO TANG 18G UVA;995;10617;MENON COMERCIO E REPRESENTACOES LTDA
3685;MIST LACTEA COND ITALAC TP 395G;971;3075;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA
852;REFRIG FANTA LARANJA PET 600ML;950;15441;SPAL IND BRAS BEBIDAS AS
144;CERV AMSTEL LAGER LT 473ML;884;14469;CARLOS CANCIAN E CIA LTDA
2745;FARINHA TRIGO MARIA INES 1KG;866;6560;ANTONIAZZI & CIA LTDA
793;REFRIG COCA COLA E FANTA LARANJA 2L;859;15441;SPAL IND BRAS BEBIDAS AS
98;REFRE PO CLIGHT 8G TANGERINA;842;10617;MENON COMERCIO E REPRESENTACOES LTDA
46;REFRE PO TANG 18G TANGERINA;788;10617;MENON COMERCIO E REPRESENTACOES LTDA
893;REFRIG COCA COLA ZERO LT 350ML;779;15441;SPAL IND BRAS BEBIDAS AS
177;CERV ITAIPAVA PILSEN LT 473ML;766;5391;CERVEJARIA PETROPOLIS S/A
859;REFRIG PEPSI PET 600ML;763;9638;CRBS AS CDD PELOTAS
147;CERV ANTARCTICA PILSEN LT 473ML;758;9638;CRBS AS CDD PELOTAS
903;REFRIG PEPSI BLACK LT 350ML;750;9638;CRBS AS CDD PELOTAS
2920;ACHOC LIQ TODDYNHO 200ML;723;10124;PEPSICO DO BRASIL LTDA
389;ENERG MONSTER LT 473ML GREEN;718;15441;SPAL IND BRAS BEBIDAS AS
35721;FEIJAO PRETO SABOROSO 1KG;704;19188;ALP ALIMENTOS LTDA
13708;BOMBOM LACTA SONHO VALSA 20G;681;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
862;REFRIG SPRITE PET 600ML;663;15441;SPAL IND BRAS BEBIDAS AS
39;REFRE PO TANG 18G LARANJA DOCINHA;661;10617;MENON COMERCIO E REPRESENTACOES LTDA
223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;655;15441;SPAL IND BRAS BEBIDAS AS
2722;FARINHA TRIGO PANFACIL TP1 1KG;651;16900;MOINHO ESTRELA LTDA
904;REFRIG PEPSI LT 350ML;626;9638;CRBS AS CDD PELOTAS
161;CERV CRYSTAL PILSEN LT 473ML;612;5391;CERVEJARIA PETROPOLIS S/A
867;REFRIG COCA COLA ZERO LT 310ML C6;607;15441;SPAL IND BRAS BEBIDAS AS
33369;CHOC BARRA LACTA RECH CARAMELO 104G;604;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
145;CERV ANTARCTICA SUBZERO LT 473ML;601;9638;CRBS AS CDD PELOTAS
