"Código Produto";"Produto";"Quantidade Disponível"
"38957";"ACHOC LIQ NESCAU PROTEIN 15G 260ML";"35,000"
"12216";"ACHOC PO NESCAU LT 350G";"152,000"
"12217";"ACHOC PO NESCAU LT P330G L350G";"0,000"
"783";"ACHOC PO NESCAU SH 2 01KG";"17,000"
"2956";"ACHOC PO NESCAU SH 550G ACTIV GO";"0,000"
"39004";"ALIM GATO FRISKIES 80G MEGAMIX";"24,000"
"39006";"ALIM GATO FRISKIES 80G MEGAMIX MAR SABORES";"29,000"
"39005";"ALIM GATO FRISKIES 80G MEGAMIX MIX DE CARNES";"24,000"
"38141";"AVEIA FLOCOS NESTLE 450G";"0,000"
"38833";"BEBIDA NUTREN BAUNILHA ZR LAC 260ML";"0,000"
"38832";"BEBIDA NUTREN CHOCO WAFER ZR LAC 260ML";"13,000"
"38834";"BEBIDA NUTREN CHOCOLATE ZR LAC 260ML";"0,000"
"1536";"BISC LEITE PASSATEMPO 150G";"81,000"
"38592";"BISC NESTLE TOSTINES 200G MAISENA";"0,000"
"1468";"BISC RECH NESTLE NEGRESCO 90G BAUNILHA";"2,000"
"1466";"BISC RECH NESTLE NEGRESCO 90G CHOC";"3,000"
"1486";"BISC RECH PASSATEMPO 130G CHOC";"123,000"
"1483";"BISC RECH PASSATEMPO 130G CHOC MOR";"55,000"
"1484";"BISC RECH PASSATEMPO 130G MOR";"41,000"
"13701";"BOMBOM GAROTO 215 2G CROC E CARIBE";"0,000"
"37222";"BOMBOM GAROTO FINOS 220G SORTIDOS";"308,000"
"13702";"BOMBOM GAROTO FINOS 250G";"206,000"
"13704";"BOMBOM GAROTO SERENATA AMOR 17 6G";"443,000"
"36616";"BOMBOM NESTLE ESPECIALIDADES 220G SORTIDOS";"0,000"
"13712";"BOMBOM NESTLE ESPECIALIDADES 251G";"46,000"
"15180";"CAFE SOL NESCAFE MATINAL SH L40P36G";"2,000"
"15182";"CAFE SOL NESCAFE MATINAL VD 200G";"17,000"
