EMPRESA;NRO_NF_ENTRADA;SERIE_NF;DATA_ENTRADA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;COMPRADOR;COD_FORN_PRINCIPAL;RAZAO_FORN_PRINCIPAL;COD_FORN_ENTRADA;RAZAO_FORN_ENTRADA;STATUS_AUDITORIA;QTD_ENTRADA_NF;VLR_ENTRADA_NF;QTD_VENDIDA_PERIODO
2;2451209;2;07/07/2026;60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;12;21,48;176
6;2454937;2;06/07/2026;60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;24;42,96;176
14;2454956;2;06/07/2026;60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;30;53,7;176
3;2454963;2;06/07/2026;60;AGUA GASEIFICADA CRYSTAL PET 510ML LIMAO;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;78;139,63;176
2;2451209;2;07/07/2026;62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;12;21,48;64
6;2454937;2;06/07/2026;62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;24;42,96;64
14;2454956;2;06/07/2026;62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;6;10,74;64
3;2454963;2;06/07/2026;62;AGUA GASEIFICADA CRYSTAL PET 510ML MELANCIA;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;36;64,44;64
2;2451209;2;07/07/2026;57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;24;42,96;68
6;2454942;2;06/07/2026;57;AGUA GASEIFICADA CRYSTAL PET 510ML SPARK;BEBIDAS;NICOLAS AUGUSTO P. BORGES;15441;SPAL IND BRAS BEBIDAS AS;15441;SPAL IND BRAS BEBIDAS AS;MATCH - FORNECEDOR PRINCIPAL;6;10,74;68
