CODIGO_PRODUTO;DESCRICAO;DEPARTAMENTO;PULMAO_EMB;PULMAO_LASTRO;PULMAO_ALTURA;SELECAO_EMB;SELECAO_LASTRO;SELECAO_ALTURA
10480;ABACATE AVOCADO KG;PERECIVEIS;;0;0;;0;0
10479;ABACATE KG;PERECIVEIS;;0;0;;0;0
12134;ABACAXI MARIZA FOODS 400G RODELAS;MERCEARIA;CX 12;8;10;CX 12;8;10
2251;ABACAXI ODERICH 400G RODELAS;MERCEARIA;CX 12;8;12;CX 12;8;12
12136;ABACAXI TRIANGULO RODELA 400G;MERCEARIA;;0;0;;0;0
10482;ABACAXI UN PEROLA;PERECIVEIS;;0;0;;0;0
10486;ABOBORA DOCE KG;PERECIVEIS;;0;0;;0;0
10488;ABOBORA GOMO COMUM KG;PERECIVEIS;;0;0;;0;0
10492;ABOBORA ITALIA CONSERVA;PERECIVEIS;;0;0;;0;0
10490;ABOBORA ITALIA KG;PERECIVEIS;;0;0;;0;0
10493;ABOBORA TRONCO KG;PERECIVEIS;;0;0;;0;0
3880;ABS ALWAYS 32UN BASICO M/SECA C/ABAS;PERFUMARIA E LIMPEZA;CX 8;20;5;CX 8;20;5
3881;ABS ALWAYS 32UN BASICO M/SUAVE C/ABAS;PERFUMARIA E LIMPEZA;CX 8;20;5;CX 8;20;5
3882;ABS ALWAYS 8UN BASICO P SECA C ABAS;PERFUMARIA E LIMPEZA;CX 18;20;5;CX 18;20;5
3883;ABS ALWAYS 8UN BASICO P SUAVE C ABAS;PERFUMARIA E LIMPEZA;CX 18;20;5;CX 18;20;5
12160;ABS ALWAYS SUP PROT SECA C AB C 16;PERFUMARIA E LIMPEZA;FD 12;20;5;FD 12;20;5
3885;ABS C ABAS ALWAYS 16UN BASICA SUAVE;PERFUMARIA E LIMPEZA;CX 12;20;5;CX 12;20;5
3888;ABS C ABAS ALWAYS LV PG 32UN NOTUR;PERFUMARIA E LIMPEZA;UN 1;13;5;UN 1;13;5
3889;ABS C ABAS ALWAYS LV16PG14 NOT SUAV;PERFUMARIA E LIMPEZA;FD 12;18;3;FD 12;18;3
3891;ABS C ABAS ALWAYS LV32PG26 NOT SUAV;PERFUMARIA E LIMPEZA;CX 6;13;5;CX 6;13;5
3892;ABS C ABAS ALWAYS LV8PG7 PT T SE NO;PERFUMARIA E LIMPEZA;CX 24;10;5;CX 24;10;5
3893;ABS C ABAS DIA NOITE 32 UN SUAVE;PERFUMARIA E LIMPEZA;CX 16;22;7;CX 16;22;7
3895;ABS C ABAS INTIMUS 16UN NOTURNO SUAVE;PERFUMARIA E LIMPEZA;CX 30;10;5;CX 30;10;5
