OWNER;TABLE_NAME;COLUMN_NAME;DATA_TYPE;DATA_LENGTH
CONSINCO;MACV_BASECOMPRAPROD;NROVOLMINPEDIDO;NUMBER;22
CONSINCO;MACV_BASECOMPRAPROD;QTDRESERVADARECEB;NUMBER;22
CONSINCO;MACV_BASECOMPRAPROD;VLRMINPEDIDO;NUMBER;22
CONSINCO;MACV_BASEPSITEMEXPEDIR;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_BASEPSITEMEXPEDIR;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMEXPEDIR;DTARECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMEXPEDIR;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_BASEPSITEMEXPEDIR;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_BASEPSITEMEXPEDIR;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_BASEPSITEMEXPEDIR;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_BASEPSITEMEXPEDIR;SEQNROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_BASEPSITEMEXPEDIR;SEQPSITEMEXPEDIDO;NUMBER;22
CONSINCO;MACV_BASEPSITEMEXPEDIR;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_BASEPSITEMRECEBER;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_BASEPSITEMRECEBER;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_BASEPSITEMRECEBER;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;DTAPRIMRECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;DTARECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;DTARECEBTOITEM;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;DTARECEBTOPED;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;DTAULTRECEBTO;DATE;7
CONSINCO;MACV_BASEPSITEMRECEBER;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_BASEPSITEMRECEBER;ID_PSITEMRECEBER;ROWID;10
CONSINCO;MACV_BASEPSITEMRECEBER;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_BASEPSITEMRECEBER;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;NROPEDIDOBONIF;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;QTDRECEBIDA;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;SEQNROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;SEQPSITEMRECEBIDO;NUMBER;22
CONSINCO;MACV_BASEPSITEMRECEBER;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_CCLIMCOMPRACOMPCATEG;TOTALRECEBIDO;NUMBER;22
CONSINCO;MACV_CCLIMCOMPRACOMPCATEG;TOTALRECEBIDOORIG;NUMBER;22
CONSINCO;MACV_CCLIMCOMPRACOMPEMPCATEG;TOTALRECEBIDO;NUMBER;22
CONSINCO;MACV_CCLIMCOMPRACOMPEMPCATEG;TOTALRECEBIDOORIG;NUMBER;22
CONSINCO;MACV_CUSTOCOMPRAUF;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_CUSTOCOMPRAUFVALIDA;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_CUSTOCOMPRAUFVALIDA_BKP;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_CUSTORELTABCUSTOFORNEC;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_GERCOMPRA;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRA;DTARECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRA;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_GERCOMPRA;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_GERCOMPRA;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_GERCOMPRA;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_GERCOMPRA;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEM;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_GERCOMPRAITEM;DTAGERPEDIDO;DATE;7
CONSINCO;MACV_GERCOMPRAITEM;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEM;DTARECEBIMENTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEM;DTARECEBPEDIDO;DATE;7
CONSINCO;MACV_GERCOMPRAITEM;INDQTDDTARECEBDIFITEM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEM;INDTIPDTARECEBDIF;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEM;NROPEDIDOORIGEMMACX;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEM;NROPEDIDOQUEBRAITEM;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEM;PERRECEBTO;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEM;PROXDTARECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEM;QTDPEDIDARECEBIMENTO;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEM;QTDRESERVADARECEB;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEM;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEM;USUGERPEDIDO;VARCHAR2;12
CONSINCO;MACV_GERCOMPRAITEMAGRUP;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_GERCOMPRAITEMAGRUP;DTAGERPEDIDO;DATE;7
CONSINCO;MACV_GERCOMPRAITEMAGRUP;DTALIMITERECEBTO;DATE;7
