CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
15782;CAFE TRES CORACOES S.A;MODELO;28;10;Faturamento;BOLETO;30 DIAS
22024;64713641 ISLEIDE MARIA GONCALVES CORDEIRO RODRIGUES;LAURINDO BISCUBI RAMOS;15;10;Faturamento;;
4927;8 IMPORTS COM DE PRODUTOS QUIMICOS LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
8512;ABRAHAM INDUSTRIA DE ESPECIARIAS LTDA;NIDAL TUBASI;28;20;Faturamento;BOLETO;30 DIAS
15947;ACUCAREIRA ENERGY LTDA;NIDAL TUBASI;30;10;Faturamento;BOLETO;30 DIAS
5866;ADESUL IND E COM LTDA;JOAO BATISTA;35;10;Faturamento;BOLETO;30 DIAS
13921;ADI-GEL IND. E COM. DE PROD. ALIMENT.;NIDAL TUBASI;60;15;Faturamento;BOLETO;30 DIAS
6900;ADI-GEL IND.E COM.DE PROD.ALIMENT.LTDA;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
3353;ADM DO BRASIL LTDA;NIDAL TUBASI;30;15;Faturamento;;
13416;ADM DO BRASIL LTDA;NIDAL TUBASI;7;15;Faturamento;BOLETO;30 DIAS
11533;ADMOFASSINA ME;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
5178;AGRO COMERCIAL DUBOM LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
14200;AGROCOMERCIAL SANDRI LTDA;JOAO BATISTA;35;5;Faturamento;BOLETO;30 DIAS
16113;AGROFRUTAS COMERCIO DE FRUTAS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
10181;AGUAS MINERAIS SARANDI LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
22172;ALAN ZIMMER;LAURINDO BISCUBI RAMOS;30;15;Faturamento;;
8919;ALBARELLO E MARKOSKI TRANSPORTES LTDA;SANDRO MARTINS VIANNA;30;15;Faturamento;BOLETO;30 DIAS
4740;ALCOOL FERREIRA S/A;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
9864;ALEXANDRE CAVALHEIRO SOARES;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
17065;ALIBA IMPORT LTDA;NJOUD HASSAN ZITAWI;30;15;Faturamento;BOLETO;30 DIAS
