OWNER;TABLE_NAME;COLUMN_NAME
CONSINCO;MLOV_BASEARMAZENAGEMGERAL;QTDDOCUMENTO
CONSINCO;MLOV_BASEETQENDERECO;CODRUA
CONSINCO;MLOV_BASEETQENDERECO;NIVELPREDIO
CONSINCO;MLOV_BASEETQENDERECO;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_AP_GERAL;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_AP_GERAL;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_AP_GERAL;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_AP_GERAL;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_AP_IMPAR;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_AP_IMPAR;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_AP_IMPAR;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_AP_IMPAR;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_AP_PAR;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_AP_PAR;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_AP_PAR;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_AP_PAR;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL_BLOCADO;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL_BLOCADO;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL_BLOCADO;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_PUL_GERAL_BLOCADO;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_PUL_IMPAR;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_PUL_IMPAR;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_PUL_IMPAR;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_PUL_IMPAR;NROSALA
CONSINCO;MLOV_BASEETQENDERECO_PUL_PAR;CODRUA
CONSINCO;MLOV_BASEETQENDERECO_PUL_PAR;NROAPARTAMENTO
CONSINCO;MLOV_BASEETQENDERECO_PUL_PAR;NROPREDIO
CONSINCO;MLOV_BASEETQENDERECO_PUL_PAR;NROSALA
CONSINCO;MLOV_BASEETQPALARMAZSORTERUNI;QTDPALETE
CONSINCO;MLOV_BASEETQPALARMAZSORTERUNI;SEQPALETEQTDE
CONSINCO;MLOV_BASEETQPALETEARMAZCARROS;QTDPALETE
CONSINCO;MLOV_BASEETQPALETEARMAZCARROS;SEQPALETEQTDE
CONSINCO;MLOV_BASEETQPALETEARMAZSORTER;QTDPALETE
CONSINCO;MLOV_BASEETQPALETEARMAZSORTER;SEQPALETEQTDE
CONSINCO;MLOV_BASEETQPALETEARMAZ_BAK_15;QTDRECEB
