"Código Fornecedor Principal";"Fornecedor Principal : C.G.O.";"Código C.G.O.";"Valor Entrada"
"22024";"64713641 ISLEIDE MARIA GONCALVES CORDEIRO RODRIGUES : Compra de mercadoria para revenda";"1";"7.935,33"
"8512";"ABRAHAM INDUSTRIA DE ESPECIARIAS LTDA : Compra de mercadoria para revenda";"1";"13.554,30"
"5866";"ADESUL IND E COM LTDA : Compra de mercadoria para revenda";"1";"9.827,77"
"13921";"ADI-GEL IND. E COM. DE PROD. ALIMENT. : Compra de mercadoria para revenda";"1";"9.439,20"
"13416";"ADM DO BRASIL LTDA : Compra de mercadoria para revenda";"1";"201.310,20"
"11533";"ADMOFASSINA ME : Compra de mercadoria para revenda";"1";"23.912,00"
"10181";"AGUAS MINERAIS SARANDI LTDA : Compra de mercadoria para revenda";"1";"130.444,92"
"10181";"AGUAS MINERAIS SARANDI LTDA : Devolucao compra mercadoria a fornecedor";"860";"-554,83"
"9864";"ALEXANDRE CAVALHEIRO SOARES : Compra de mercadoria para revenda";"1";"14.160,00"
"11620";"ALIMENTOS ESTRELA LTDA : Compra de mercadoria para revenda";"1";"12.833,69"
"3818";"ALIMENTOS N BONN LTDA : Compra de mercadoria para revenda";"1";"5.177,39"
"10960";"ALORI DA ROSA SANTANA : Compra de hortifruti para revenda";"28";"2.159,80"
"6309";"ALTAMIR MATEOS BRAIDO E CIA LTDA. : Compra de mercadoria ENTR. ESPECIAL";"290";"7.433,92"
"6309";"ALTAMIR MATEOS BRAIDO E CIA LTDA. : Compra de mercadoria para revenda";"1";"45.954,88"
"6309";"ALTAMIR MATEOS BRAIDO E CIA LTDA. : Devolucao compra mercadoria a fornecedor";"802";"-5.776,51"
"8425";"AMAZONIA BRASIL COSMETICOS LTDA : Compra de mercadoria para revenda";"1";"9.887,82"
"8425";"AMAZONIA BRASIL COSMETICOS LTDA : Devolucao compra mercadoria a fornecedor";"802";"-209,97"
"2597";"ANGELA PETRY HERTER : Compra de mercadoria para revenda";"1";"1.304.220,00"
"6560";"ANTONIAZZI & CIA LTDA : Compra de mercadoria para revenda";"1";"48.600,00"
"6560";"ANTONIAZZI & CIA LTDA : Devolucao compra mercadoria a fornecedor";"860";"-999,00"
"3894";"ANTUNES DISTRIBUIDORA DE GAS LTDA : Bonificacao de mercadoria com custo";"101";"126,00"
"3894";"ANTUNES DISTRIBUIDORA DE GAS LTDA : Compra de voucher";"32";"89.340,00"
"10189";"APTI ALIMENTOS LTDA : Compra de mercadoria para revenda";"1";"113.072,65"
"10189";"APTI ALIMENTOS LTDA : Devolucao compra mercadoria a fornecedor";"860";"-714,33"
