SEQPRODUTO;SEQFAMILIA;COMPLEMENTO;DESCCOMPLETA;DESCREDUZIDA;REFFABRICANTE;ESPECIFICDETALHADA;DESCCOMPOSICAO;PZOVALIDADEDIA;INDPROCFABRICACAO;QTDFABRICADALOTE;SEQPRODUTOBASE;PERCACRESPRECO;INDPRECOZEROBALANCA;FATORCONVERSAO;SEQPRODUTOINSUMO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PZOVALIDADEMES;NROREGMINSAUDE;CODPRODFISCAL;DESCGENERICA;PROPQTDPRODUTOBASE;NRODIASADVERRECBTO;PERCALTPRECRELAC;NROITEMFIXO;GERALIVROCPROD;INDUSANFDESPESA;SEQBULARIO;SEQPRODUTOTMP;INDEMITECODPRODFISCALNFE;PERCDIASADVERRECBTO;CODIGOANP;CODIGOIF;INDINTEGRAECOMMERCE;QTDLIMITEPROMOCECOMMERCE;YOUTUBECODEECOMMERCE;DATAHORINTEGRACAOECOMMERCE;INDRES3166;DTAHORALTERACARGAPDV;IMPDATAVALIDADEBALANC;IMPDATAEMBBALANC;SEQINFNUTRICPROD;INDREPLICAINFOFORNEC;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;URLECOMMERCE;PERCGASNATURAL;INDPARTCOTATAC;PERCACRESCCUSTORELAC;PERCACRESCCUSTORELACVIG;INDEMITEETQHORT;QTDMULTIPLOVDAECOMMERCE;INDCONTROLATEMPERATURA;PERSIMILIARECOMMERCE;DATAHORINTEGRACAOECOMMERCEESTQ;PZOVALIDLOTE;SEQPRODRELACLOTE;ALIQADJUD;INDCALCFLEXPOSITIVO;SEQPRODUTOSECUNDARIO;CENTROCUSTOPROD;SEQPRODUTOBASEANTIGO;INDCALCCOMISINDICEMGM;SEQPRODUTOEMBALAGEM;CODIMAGEM;INDACTFAIXATOLERANCIACARGAREC;INDCADASTROATIVO;PZOVALIDADENATIMORTO;PROPQTDPERDAAUTO;DESCRICAOANP;PZOVALIDADEDIASAIDA;INDGERARESSARCICMSSTPRODINSUMO;PERCGASNATURALNACIONAL;PERCGASNATURALIMPORTADO;VLRPARTIDAGLP;NRODIASVALPRODRESFRIADO;NRODIASVALPRODABERTO;TEMPIDEALMIN;TEMPIDEALMAX;DESCENCARTE;NOMEPRODUTOECOMM;MOTIVOISENCAOMINSAUDE;OBSENCARTE;INDESCRITURAPRODUTOBASE;SEQPRODUTOIMPORTACAOERP;URLECOMMALTERNATIVA;INDPRODTRIBUTMONOICMS;PERCALIQADREM;PERCINDMISTBIODIESEL;NRODIASADVERMAXRECBTO;NROBASEEXPORTACAOERP
1;21;;INAT LEITE COND TESTE;LEITE COND MOCA NESTLE;;;;;S;;;;N;;;2024-05-17-15.03.13.000000;CONSINCO;2026-08-10-17.51.16.000000;ALSOARES;S;;;;1;INAT LEITE COND TESTE;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
2;24;;INAT TOMATE KG;TOMATE KG;;;;;S;;;;N;;;2024-05-17-15.41.24.000000;CONSINCO;2026-03-20-16.15.47.000000;ALSOARES;S;;;;2;INAT TOMATE KG;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3;26;LARANJA;REFRE PO TANG 18G LARANJA;REFRES TANG 18G;;;;0;S;;;;N;;;2024-05-17-16.17.54.000000;CONSINCO;2026-08-20-14.29.38.000000;ALSOARES;S;;;;3;REFRE PO TANG 18G LARANJA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
4;26;ABACAXI;REFRE PO TANG 18G ABACAXI;REFRESCO TANG 18G;;;;;S;;;;N;;;2024-05-17-16.20.16.000000;CONSINCO;2026-08-20-14.29.59.000000;ALSOARES;S;;;;4;REFRE PO TANG 18G ABACAXI;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
5;26;UVA;REFRE PO TANG 18G UVA;REFRESCO TANG 18G UVA;;;;30;S;;;;N;;;2024-05-24-09.08.33.000000;JORSKI;2026-08-13-10.40.51.000000;ALSOARES;S;;;;5;REFRE PO TANG 18G UVA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;N;;;;;;;0
6;61;;INAT VERMUTE MARTINI BIANCO 750ML;VERNYTE NARTUBU;;;;;S;;;;N;;;2024-05-31-15.47.35.000000;PACEZAR;2026-07-03-11.47.06.000000;ALSOARES;S;;;;6;INAT VERMUTE MARTINI BIANCO 750ML;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
7;86;;INAT TOMATE G;TOMATE G;;;;;I;;;;N;;;2024-06-07-16.34.48.000000;CARIOS;2026-07-03-11.47.27.000000;ALSOARES;S;;;;7;INAT TOMATE G;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;N;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
11;165;;INA BATATA DOCE AMERICA KG;BATATA DOCE AMERICANA KG;;;;;S;;;;N;;;2024-09-16-11.29.54.000000;CARIOS;2026-07-03-11.48.23.000000;ALSOARES;S;;;;11;INA BATATA DOCE AMERICA KG;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
18;172;;AGUA TONICA FRUKI PET 1 5L;AGUA TON FRUKI 1 5L;;;;0;S;;;;N;;;2024-09-18-10.43.37.000000;CARIOS;2026-07-29-12.34.43.000000;ALSOARES;S;;;;18;AGUA TONICA FRUKI PET 1 5L;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
31;169;UVA;REFRE PO TRINK 15G UVA;REFRESCO TRINK 15G;9600400863;;;0;S;;;;N;;;2024-09-18-11.51.26.000000;LUSENA;2026-08-24-10.20.28.000000;ALSOARES;S;;;;31;REFRE PO TRINK 15G UVA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
40;26;LARANJA MAMAO;REFRE PO TANG 18G LARANJA MAMAO;REFRES TANG 18G LAR MAM;;;;;S;;;;N;;;2024-09-18-17.39.33.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;40;REFRE PO TANG 18G LARANJA MAMAO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
41;26;LIMAO;REFRE PO TANG 18G LIMAO;REFRESCO TANG 18G;;;;;S;;;;N;;;2024-09-18-17.48.10.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;41;REFRE PO TANG 18G LIMAO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
42;26;MANGA;REFRE PO TANG 18G MANGA;REFRESCO TANG 18G MANGA;;;;;S;;;;N;;;2024-09-18-17.50.00.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;42;REFRE PO TANG 18G MANGA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
44;26;MARACUJA;REFRE PO TANG 18G MARACUJA;REFRESCO TANG 18G;;;;0;S;;;;N;;;2024-09-19-09.08.34.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;44;REFRE PO TANG 18G MARACUJA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
45;26;MORANGO;REFRE PO TANG 18G MORANGO;REFRESCO TANG 18G;;;;;S;;;;N;;;2024-09-19-09.11.37.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;45;REFRE PO TANG 18G MORANGO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
46;26;TANGERINA;REFRE PO TANG 18G TANGERINA;REFRESCO TANG 18G;;;;;S;;;;N;;;2024-09-19-09.18.22.000000;LUSENA;2026-08-13-10.40.51.000000;ALSOARES;S;;;;46;REFRE PO TANG 18G TANGERINA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
47;26;UVA INTENSA;REFRE PO TANG 18G UVA INTENSA;REFRESCO TANG 18G;;;;0;S;;;;N;;;2024-09-19-09.20.07.000000;LUSENA;2026-08-13-10.40.55.000000;ALSOARES;S;;;;47;REFRE PO TANG 18G UVA INTENSA;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
48;180;C GAS;AGUA MIN FLORESTA PET 500ML C GAS;AGUA FLOR 500 C GAS;;;;0;S;;;;N;;;2024-09-19-09.41.20.000000;CARIOS;2026-08-21-11.52.18.000000;ALSOARES;S;;;;48;AGUA MIN FLORESTA PET 500ML C GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
49;180;S GAS;AGUA MIN FLORESTA PET 500ML S GAS;AGUA FLOR 500 S GAS;;;;0;S;;;;N;;;2024-09-19-14.23.22.000000;CARIOS;2026-08-24-10.21.42.000000;ALSOARES;S;;;;49;AGUA MIN FLORESTA PET 500ML S GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
52;184;S GAS;AGUA MIN FLORESTA PET 5L S GAS;AGUA FLOR 5L S GAS;219;;;0;S;;;;N;;;2024-09-19-16.13.06.000000;CARIOS;2026-08-24-10.21.55.000000;ALSOARES;S;;;;52;AGUA MIN FLORESTA PET 5L S GAS;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
