COD_LOJA;COD_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;SECAO;COMPRADOR;FORNECEDOR_PRINCIPAL;FORMA_ABASTECIMENTO;EMB_COMPRA;EMB_TRANSF;ESTQ_DISP_LOJA;ESTQ_FISICO_LOJA;ESTQ_RESERVADO_LOJA;ESTQ_MIN_PADRAO;ESTQ_MAX_PADRAO;ESTQ_MIN_PONTO_EXTRA;ESTQ_MAX_PONTO_EXTRA;PONTOS_EXTRAS_ATIVOS;ESTQ_MIN_TOTAL;ESTQ_MAX_TOTAL;ESTQ_DISP_TOTAL_CD;ESTQ_DISP_CD15;ESTQ_DISP_CD16;ESTQ_DISP_CD50;VDA_30D_QTD;VDA_30D_VALOR;MEDIA_VDA_DIA;DIAS_ESTOQUE_LOJA;DIAS_ESTOQUE_REDE;PEND_COMPRA_FORNEC;PEND_EXPEDICAO_CD;EM_TRANSITO_CD_LOJA;TOTAL_PEND_RECEBER;DIAS_COB_COM_PENDENTES;STATUS_RUPTURA
1;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;11;11;0;12;20;0;0;0;12;20;928;928;0;0;47;407,53;1,57;7;598,1;0;0;0;0;7;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
2;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;62;62;0;84;132;0;0;0;84;132;928;928;0;0;258;2232,32;8,6;7,2;115,1;0;0;0;0;7,2;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
3;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;613;613;0;26;34;600;780;1;626;814;928;928;0;0;620;5164,83;20,67;29,7;74,6;0;0;0;0;29,7;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
4;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;37;37;0;38;62;0;0;0;38;62;928;928;0;0;135;1173,85;4,5;8,2;214,4;0;0;0;0;8,2;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
5;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;40;40;0;68;108;0;0;0;68;108;928;928;0;0;293;2534,67;9,77;4,1;99,1;0;0;0;0;4,1;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
7;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;26;26;0;56;88;0;0;0;56;88;928;928;0;0;204;1749,16;6,8;3,8;140,3;0;0;0;0;3,8;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
8;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;30;30;0;34;58;0;0;0;34;58;928;928;0;0;127;1103,53;4,23;7,1;226,5;0;0;0;0;7,1;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
11;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;34;34;0;88;136;0;0;0;88;136;928;928;0;0;362;3178,38;12,07;2,8;79,7;0;0;0;0;2,8;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
12;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;44;44;0;88;136;0;0;0;88;136;928;928;0;0;360;3125,2;12;3,7;81;0;0;0;0;3,7;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
13;812;REFRIG FANTA UVA PET 2L;BEBIDAS;BEBIDA;NICOLAS;15441 - SPAL IND BRAS BEBIDAS AS;L;8;8;8;8;0;28;44;0;0;0;28;44;928;928;0;0;127;1100,33;4,23;1,9;221,3;0;0;0;0;1,9;4 - ABAIXO DO MINIMO (TEM SALDO NO CD / SEM PEDIDO)
