CODIGO_PRODUTO;DESCRICAO_PRODUTO;ESTOQUE_ATUAL_CD;QTD_PEDIDOS;VEZES_ATENDIDO_TOTAL;VEZES_ATENDIDO_PARCIAL;VEZES_CORTADO_CANCELADO;VEZES_EM_TRANSITO;VEZES_EM_SEPARACAO;VEZES_NAO_ATENDIDO;QTD_NFS_EMITIDAS;TOTAL_QTD_SOLICITADA;TOTAL_QTD_EXPEDIDA;ULTIMA_EXPEDICAO
17177;DESINF GOTA LIMPA 2L PINHO;36;280;0;0;273;0;7;0;0;2154;0;03/08/2026
9297;DET LIQ GOTA LIMPA 1L MACA;0;277;0;0;273;0;4;0;0;8748;0;30/07/2026
7835;DET PO GOTA LIMPA 800G EQUILIBRIO;960;257;19;0;238;0;0;0;19;7820;960;03/08/2026
9745;LEITE UHT SANTA CLARA DESN 1L;0;230;0;0;230;0;0;0;0;9036;0;29/07/2026
12290;AGUA SANIT IMPERIAL 2L;0;220;0;0;218;0;2;0;0;2286;0;30/07/2026
38617;CD DOVE NUTRI TRIOLEOS 370ML;34;216;0;2;205;0;9;0;2;887;3;03/08/2026
5680;DET LIQ GOTA LIMPA 500ML MACA;3288;220;21;2;194;0;3;0;23;13008;2208;01/08/2026
35698;DET LIQ BARBAREX 5L NEUTRO;0;189;0;0;187;0;2;0;0;444;0;30/07/2026
815;REFRIG FRUKI PET 2L GUARANA GUARANA;0;194;0;1;187;0;6;0;1;10056;42;03/08/2026
17394;DET PO ASSIM 800G TRIPLA ACAO BI;440;200;9;1;179;0;11;0;9;14760;340;03/08/2026
17190;DESINF IMPERIAL 5L LAVANDA;-4;177;0;0;177;0;0;0;0;752;0;30/07/2026
37429;AGUA SANITARIA SUPREMA 5 L;621;244;56;7;170;2;9;0;65;3390;1752;03/08/2026
2519;KETCHUP HELLMANNS BISN 380G TRAD;0;172;0;2;169;0;1;0;2;1764;6;23/07/2026
2081;CAFE SOL 3C SH 40G TRAD;0;160;0;0;159;0;1;0;0;9648;0;23/07/2026
3287;SALG KEVYTOS SHOW 38G PRESUNTO;0;172;10;3;159;0;0;0;13;7040;721;25/07/2026
12289;AGUA SANIT IMPERIAL 1L;0;157;0;0;156;0;1;0;0;2136;0;03/08/2026
17191;DESINF IMPERIAL 5L PINHO;0;156;0;0;154;0;2;0;0;808;0;30/07/2026
35687;DESOD CREME SECRET CLEAR COTT 45G GEL;-9;160;0;0;151;0;9;0;0;291;0;03/08/2026
648;WHISKY MASTER GOLD VD 900ML;19;208;27;4;149;0;28;0;29;632;84;03/08/2026
7834;DET PO GOTA LIMPA 4KG EQUILIBRIO;119;165;15;0;148;2;0;0;17;1105;205;03/08/2026
6689;LAVA ROUPA ARIEL 700ML CLASSIC REF;0;145;0;0;145;0;0;0;0;1790;0;03/08/2026
3440;SOPAO APTI 180G CARNE MACARRAO LEGUM;129;166;11;5;145;0;5;0;15;4824;435;03/08/2026
6781;LEITE LV EDGE ELEGE 1L INTEGRAL;0;161;18;1;142;0;0;0;19;16764;11880;27/07/2026
38616;CD SEDA COLAGENO VIT INT 250ML;7;151;0;0;136;0;15;0;0;151;0;03/08/2026
3539;FERM PO QUIMICO GOOD INSTANT SH 11G;0;150;11;1;136;0;2;0;12;13750;1100;30/07/2026
2568;MOLHO TOM CAJAMAR SH 300G TRAD;0;136;0;0;136;0;0;0;0;22912;0;24/07/2026
4219;AMAC YPE 2L TERNURA;816;144;11;1;131;0;1;0;12;1098;132;01/08/2026
17375;DET LIQ ULTRA 5L CLASS;0;131;0;0;131;0;0;0;0;1020;0;22/07/2026
19372;INSET NITROCID PO 50G;0;130;0;0;130;0;0;0;0;187;0;22/07/2026
2109;CAFE SOL NESCAFE SH 40G ORIGINAL;0;142;8;1;129;0;4;0;9;8904;2208;29/07/2026
9293;DESINF YPE BAK 500ML TURQUESA;0;134;5;0;129;0;0;0;5;2868;60;31/07/2026
6780;LEITE NINHO UHT TP LEVINHO 1L SEMI DESNATADO;36;154;25;0;129;0;0;0;25;3792;996;31/07/2026
15171;CAFE SOL NESCAFE CREM DOLCA LT 150G;0;129;0;0;128;0;1;0;0;1944;0;29/07/2026
1276;CHOC BARRA GAROTO 80G MEIO AMARGO;0;147;5;0;128;2;12;0;7;2384;112;03/08/2026
17388;DET PO APYCE SH 4K AZUL;235;154;13;4;128;0;9;0;17;1520;262;03/08/2026
687;ESP GARIBALDI PRIMICIAS GF 660ML ROSE;0;133;0;0;128;0;5;0;0;392;0;03/08/2026
2469;SELETA LEGUMES ODERICH LT 200G;0;145;15;1;128;0;1;0;16;5736;648;01/08/2026
3431;SOPA GALINHA MAGGI 60G FIDELINI;0;135;3;1;128;0;3;0;4;2400;100;30/07/2026
656;SUCO DEL VALLE FRUT TP 1L UVA;0;126;0;0;126;0;0;0;0;1194;0;24/07/2026
1564;BISC SALG TUCS 100G TRAD;180;140;12;0;123;0;5;0;11;4620;360;03/08/2026
17665;ERVA MATE CAMBONA MOIDA GROSSA 1KG;820;186;51;4;123;1;7;0;56;5210;1780;03/08/2026
17414;DET PO GOTA LIMPA 4KG HARMONIA;255;140;17;0;120;2;1;0;19;880;230;03/08/2026
3183;SALG KEVYTOS 55G BACON;0;134;5;0;120;0;9;0;5;4225;150;03/08/2026
