NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
74779;1;015-CD;02/02/2026;10/02/2026;1071,12;RECEBIDA;I;;40581;3555;3555 - CEREALE PRODUTOS INTEGRAIS LTD;L;;43260203367152000115550010000747791827642443;100;5910;1910;3432 / 3434 / 3503 / 3506;GRANOLA CERELUS PREMIUM 200G BANANA / GRANOLA CERELUS PREMIUM 200G ERVAS FINAS / GRANOLA CERELUS 800G LIGHT CER MALT / GRANOLA CERELUS 800G TRAD;24 / 24 / 24 / 36
234670;1;015-CD;02/02/2026;20/02/2026;659,84;RECEBIDA;I;;82141;15400;15400 - CARAMURU ALIMENTOS LTDA.;L;;41260200080671001262550010002346701347626140;100;6910;2910;2684 / 22105;FARINHA MILHO SINHA 1KG GROSSA / POLENTA SINHA 500G;130 / 120
408048;1;050-BAKLIZI;02/02/2026;13/02/2026;1795,02;RECEBIDA;I;;53583;18272;18272 - INDAIAL PAPEL EMBALAGENS LTDA;L;;42260278534674000163550010004080481837316081;100;6910;2910;21734;PAPEL TOALHA NATUREZA FD 2UN;816
1581278;1;050-BAKLIZI;02/02/2026;18/02/2026;9972,57;RECEBIDA;I;;74461;4554;4554 - TILIBRA;L;;35260244990901000143550010015812781774108131;100;6910;2910;33497 / 33498;CAD ESPI 160FLS PEPPER FEMININO / CAD ESPI CD 160FLS PEPPER MASCULINO;576 / 588
25848;1;015-CD;03/02/2026;09/02/2026;909,60;RECEBIDA;I;;33161;12377;12377 - PASTIFICIO RS LTDA.;L;;43260210536940000153550010000258481482669768;100;5910;1910;20601;MAS CAS PASTAMIA C OVOS 400G FETTUCCINE;240
47304;1;015-CD;03/02/2026;23/02/2026;531,16;RECEBIDA;I;;93081;9472;9472 - FORFEST IND DE DESCARTAVEIS LT;L;;42260208266046000169550010000473041517140710;100;6910;2910;36270 / 36271 / 36272;PTO RASO FORFEST 15CM AZL CLARO 10UN / PTO RASO FORFEST 15CM DOU 10UN / PTO RASO FORFEST 15CM RSA 10UN;200 / 150 / 200
82905;1;015-CD;03/02/2026;26/02/2026;1323,92;RECEBIDA;I;;108704;13545;13545 - AMAZONIA AROMATIZANTES COMERCI;L;;35260232215292000176550010000829051139625689;100;6910;2910;21296 / 36382;ODORIZ AMAZONIA AROM 270ML ALFAZEMA / BLOQ ODORES 60ML LAVANDA FRANCE;104 / 104
136275;1;015-CD;03/02/2026;09/02/2026;1900,00;RECEBIDA;I;;33661;9605;9605 - PONCHE VERDE INDL. DO MATE LTD;L;;43260208484405000154550010001362751123353906;100;5910;1910;2629;ERVA MATE PONCHE VERDE 1KG MOIDA GROSSA;200
157143;1;015-CD;03/02/2026;03/02/2026;536,20;RECEBIDA;I;;14281;10153;10153 - CHA PRENDA DO BRASIL IND E COM;L;;43260206170932000169550010001571431901006147;100;5910;1910;2062 / 2076 / 2105 / 2133 / 2168;CHA PRENDA 12G HORTELA / CHA PRENDA 10G CAMOMILA / CHA PRENDA 10G CAMOMILA C LAR / CHA PRENDA 18G VERDE / CHA PRENDA MATE 40G CRAVO CANELA;40 / 40 / 40 / 60 / 20
266278;3;050-BAKLIZI;03/02/2026;21/02/2026;1000,00;RECEBIDA;I;;89001;17019;17019 - CIRANDA;L;;35260268216860000109550030002662781539967345;100;6910;2910;36686 / 36687 / 36689 / 36690;LIVRO P LER E COLORIR BARBIE / LIVRO P LER E COLORIR PATRULHA CANINA / LOUSA DIGITAL 16PG TURMA DA MONICA / LOUSA DIGITAL 16PG UNICORNIOS;20 / 20 / 20 / 20
