NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
135518;1;003-BAKLIZI;08/04/2026;02/05/2026;910,00;910,00;RECEBIDA;I;;154493;9543;9543 - CARGNELUTTI COM DE GAS LTDA;L;;43260409099735000199550010001355181158370404;100;5910;1910;36071;VALE GAS GLP 13 LIQUIGAS URUGUAIANA;7
149037;5;050-BAKLIZI;24/04/2026;02/05/2026;668,40;668,40;RECEBIDA;I;;154396;13385;13385 - FOSFOREIRA BRASILEIRA S E A;L;;41260478141926000194550050001490371386354818;100;6910;2910;22308;PREND ROUPA PARANA C 12;500
195707;20;015-CD;27/04/2026;04/05/2026;8040,84;122,04;RECEBIDA;I;;155378;8147;8147 - CIMED REMEDIOS S.A;L;;43260416619378000531550200001957071690471262;1;5405 / 5910;1403;6312 / 6313 / 19319 / 19320 / 19321 / 30158 / 33527 / 33528 / 33529 / 33530 / 33841 / 33842 / 34560 / 34561 / 34561 / 34565 / 34566 / 34567 / 36868;HID LABIAL CARMED 10G FINI BEIJOS / HID LABIAL CARMED 10G FINI DENTADURAS / HID LABIAL CARMED 10G BEIJINHO 30 FP / HID LABIAL CARMED 10G CEREJA / HID LABIAL CARMED 10G MACA AMOR / GEL DENTAL CARMED 70G FIN DENTADURA / HID LABIAL CARMED 10G AMORA CLARO / HID LABIAL CARMED 10G AMORA ESCURO / HID LABIAL CARMED 10G BRIGADEIRO / GEL DENTAL CARMED 70G FINI BEIJOS / BODY SPLASH CARMED 200ML LUZ DO SOL / BODY SPLASH CARMED 200ML NAS NUVENS / SAB JOAO E MARIA 75G KARITE / SAB JOAO E MARIA 75G GLICERINADO / SAB JOAO E MARIA 75G GLICERINADO / HID LABIAL CARMED 10G COCA COLA INC / HID LABIAL CARMED 10G COCA COLA MAR / HID LABIAL CARMED 10G COCA COLA VRM / HID LABIAL CARMED MELANCIA 10G;28 / 28 / 28 / 56 / 28 / 180 / 28 / 28 / 56 / 180 / 32 / 16 / 72 / 36 / 72 / 28 / 28 / 28 / 56
1013405;0;003-BAKLIZI;01/05/2026;05/05/2026;3764,25;3764,25;RECEBIDA;I;;155780;10511;10511 - MARQUESPAN ALIMENTOS LTDA;L;;43260507272443000180550000010134051488933650;100;5910;1910;11427;MASSA CONG MARQU PAO FRANCES KG;525
227726;1;015-CD;30/04/2026;05/05/2026;2295,00;2295,00;RECEBIDA;I;;156181;22168;22168 - PRODUTOS DE LIMPEZA SOBEL;L;;35260462674627000185550010002277261652662575;100;6910;2910;37437;AGUA SANITARIA SUPREMA 2 L;900
484927;1;015-CD;29/04/2026;05/05/2026;756,00;756,00;RECEBIDA;I;;155911;4959;4959 - DOCE MINEIRO LTDA;L;;31260422335392000182550010004849271544287089;100;6910;2910;3682;MIST LACTEA COND TRIANGULO TP 395G;270
658455;1;015-CD;28/04/2026;05/05/2026;4231,52;4231,52;RECEBIDA;I;;156212;3528;3528 - FABIANO ZAFFALON E CIA.;L;;43260402284641000574550010006584551006455287;100;5910;1910;2382;LENTILHA YOKI TP2 400G;848
81992;1;050-BAKLIZI;22/04/2026;05/05/2026;459,64;459,64;RECEBIDA;I;;156387;8430;8430 - WAC IMPORTACAO E EXPORTACAO LT;L;;42260409519231000180550010000819921962981110;100;6910;2910;7346 / 7347;PAPEL ALUMINIO ROYAL PACK 30CMX4M / PAPEL ALUMINIO ROYAL PACK 30CMX7 5M;125 / 50
362943;5;003-BAKLIZI;30/04/2026;06/05/2026;1738,08;1738,08;RECEBIDA;I;;157256;6644;6644 - ONIZ DISTRIBUID LTDA SCJ;L;;43260490724261001542550050003629431697774530;100;5910;1910;2738 / 2742;MACARRAO CUP NOODLES 69G CARNE DEF / MACARRAO CUP NOODLES 69G GAL CAIP;96 / 312
6426074;1;016-BAKLIZI;29/04/2026;06/05/2026;52649,10;52649,10;RECEBIDA;I;;157230;12167;12167 - BRF S.A;L;;43260401838723005358550010064260741822750071;101;5910;1910;11367 / 11367 / 11367 / 11367;LING P CHURRASCO SADIA 700G / LING P CHURRASCO SADIA 700G / LING P CHURRASCO SADIA 700G / LING P CHURRASCO SADIA 700G;1206 / 1548 / 1746 / 990
