DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_ATUAL
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;3905;ABS C/ABAS S LIVRE 32UN ADAPT SUAVE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;8784;ABS CAREFREE NEUTRALIZE 15UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12162;ABS CAREFREE PROT DIA S PERF C 15;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12163;ABS CAREFREE PROT FLEXI S/PERF C/15;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12174;ABS INTERNO INTIMUS MINI L16P15;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12175;ABS INTERNO INTIMUS SUPER L16P15;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;8787;ABS INTIMUS INTERNO MD LV16 PG15UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;8793;ABS SEMPRE LIVRE NOT C ABAS L16P14;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12188;ABS SEMPRE LIVRE NOT SECA C/ABAS C/8;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12278;AGUA OXIG BUTTERF 20V 100ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12280;AGUA OXIG BUTTERF 40V 100ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37437;AGUA SANITARIA SUPREMA 2 L;A;6;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37429;AGUA SANITARIA SUPREMA 5 L;A;3;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12312;ALCOOL DA ILHA C/BICARB 1L EUCALIP;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12313;ALCOOL DA ILHA C/BICARB 1L LAVANDA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12330;ALG CRR ROLO 25G;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33411;ALIC BONITTA INOX CABO PLAST;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33443;ALIMENT INFANTIL FRUTA LEGUME;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12388;ALVEJ VANISH PO P OXI ADVANCE 330G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37772;AMAC CONFORT BRIDGERTON 500ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5697;AMAC YPE PRO ROUPAS TECIDOS 7L;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37296;AMACIANTE CONC DOWNY BRISA S PROMO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12402;AMACIANTE CONF 500ML ORIG;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12433;AMACIANTE YPE 1L BLUE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37743;AP 3 ACQUA POUCH LMPM 48X4;A;6;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12505;AP BIC CONF TWIN L5 P4;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12506;AP BIC FLEX3 AZ BL2 C 2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12507;AP BIC FLEX3 HIBRID;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12515;AP BIC SOLEIL ESCAPE LAVEEUC C 3;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12516;AP BIC SOLEIL ESCAPE RSEMAG C/3;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37747;AP BIC SOLEIL SANDALO COCO C 2;A;6;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12528;AP GILLETTE C 8 L8P6;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12530;AP GILLETTE PREST U.GRIP MOVEL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4238;AP MACH 3 ACQUA GRIP REGULAR;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12536;AP MAT INSET REFIL 45 NOITES 28ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4256;AP PRESTOBARBA ULTRAGRIP 3L CART2UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12538;AP RAID ELETR ESSENCIAL 45N 25,2ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12540;AP VENUS 3 INTIMA DISPO C 2;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;12543;AP WELLMIX;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37740;APARELHO BIC FLEX5 SENS;A;6;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;25650;AROMAT REDCAR COURO 15ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;12640;ASPIRADOR NARIZ OUVIDO NUBY AZUL;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33448;BABADOR SILICONE AZUL;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;33447;BABADOR SILICONE ROSA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13055;BANHEIRA ADOLETA INF 20L AZUL BEBE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13058;BANHEIRA ADOLETA INF 20L RF362 VERDE BE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13059;BANHEIRA ADOLETA INF 20L ROSA BEBE;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;8886;BASE COLORAMA SETIM;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13136;BATOM DI HELLEN BL 03;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13139;BATOM DI HELLEN BL 18;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;13149;BATOM DI HELLEN BL 38;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13514;BLO LIXA P/UNHA BONITTA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13521;BLO POLIDOR UNHAS 7 FASES BASIC;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;36382;BLOQ ODORES 60ML LAVANDA FRANCE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;13526;BLOQ SOLAR CENOURA BRONZ FPS50 110ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;8936;BUCHA BELLESA VEG PEDACO;A;12;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;14901;BUCHA VEGETAL BT;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4499;BUCHA VEGETAL VINI LADY 5003;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37234;CABO DE MADEIRA P VASSOURA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4554;CAPA RODO PANOSUL 35X50CM SORTIDO;A;12;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;15585;CARGA GILLETTE MACH3 C 2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;15586;CARGA GILLETTE MACH3 CARBONO C 4 PROMO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4569;CARGA MACH 3 LV6 PG5 SENSITIVE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;15637;CD ABOVE 200ML RECONSTRUCAO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;15650;CD GENIAL PET 500ML DESEMBARACADOR;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;36455;CD PALMOLIVE KIDS CRESPO 350ML;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;15673;CD PRIME 270ML DESAMARELADOR;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16087;CHUP FIONA CLAS AZUL SIL ORT T2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16088;CHUP FIONA CLAS ROSA SIL ORT T2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16092;CHUP FIONA DESENHO AZUL SIL T2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16105;CHUP LILLO DES ORTO SIL T2 607920 AZ;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16161;CHUP LOLLY VIVA SIL ORT T2 ROSA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4860;CHUPETA LOLLY T1 TIP AZUL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4859;CHUPETA LOLLY T1 TIP ROSA;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;37458;CHUPETA LOLLY VIVA NAT AZUL SIL T2;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4888;CJ SH + COND NIELY GOLD 275+175ML OLEO COCO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;4889;CJ SH + COND NIELY GOLD 300+200ML QUERAT REP INT;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;35504;CLORO ORG BEL PISCINAS BD 10KG;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16263;CLORO PO UTIL SC 200G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16319;COL LOLLY PONTA SIL OCEANO F;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16450;COMPRESSA GAZE CREMER 5UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16449;COMPRESSA GAZE CRR C 10;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9133;COND JOHNSONS BABY INF 200ML CACHEADOS;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9134;COND MONANGE 325ML REST Q GOSTO;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;37180;CORDA P VARAL POLIESTER C 3 4MMX5M;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16559;CORDA P/VARAL EM POLIESTER 10M;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;16590;CORT UNHA INF BLUE;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16593;CORT UNHA INOX PREMIUM 5 2CM 1PC;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;16598;CORT UNHA WELLMIX 5,5CM IND WX5949;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;5183;CORTADOR UNHA MERHEJE JUMBO SM 902;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;5179;CORTADOR UNHA YUDEVAN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;19315;COT HASTES FLEX COTTONBABY PT 100UN;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16857;CR DENT ORAL-B DETOX ANTI 130G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5257;CR DENTAL CLOSE UP 70G BIO ANTI CAR;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5260;CR DENTAL ORAL-B 102G DETOX ANTITAR;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;5270;CR DENTAL ORAL-B 70G DUPLO ALIVIO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16879;CR FACIAL NIVEA ANTISSINAIS 100G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9219;CR MASSAGEM DAGUA ALGAS CENT650G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;9220;CR MASSAGEM DAGUA PIMENTA NEGRA650G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16897;CR MASSAGEM HIDRAMAIS 500G NEUTRO;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16903;CR NIVEA LT 56G;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;16915;CR P/PENT NIELY HID MAX 280G;A;1;1;0
