CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;DATA_CONFERENCIA;USUARIO_CONFERENCIA;ESTOQUE_DISPONIVEL_LOJA
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56125;23853;12;0;12;0;0;;;29
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;23886;72;24;72;0;0;04/03/2026;MARIA;46
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56123;23886;12;25;24;0;0;04/03/2026;LUIZA;-16
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;58251;;12;25;24;0;0;;;-16
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;58600;25300;12;25;24;0;0;;;-16
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;60932;;12;25;24;0;0;;;-16
7;1679;CONFEITO BIBS PASSAS 40G;MERCEARIA;31339;02/03/2026;56123;;72;24;72;0;0;;;46
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56125;;12;0;12;0;0;;;29
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56125;23853;12;25;24;0;0;;;-16
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56123;;12;0;12;0;0;;;29
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56125;;12;25;24;0;0;;;-16
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56126;;12;25;24;0;0;;;-16
7;5807;ESC DENTAL COLGATE EXTRA CLEAN;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56123;23886;12;0;12;1;1;04/03/2026;JOCELAINE;29
7;21473;PA LIXO SELETA C CABO 80CM DOBRAVEL;PERFUMARIA_E_LIMPEZA;31339;02/03/2026;56126;23847;12;25;24;0;0;;;-16
2;2296;ERVILHA YOKI PARTIDA 400GR;PERECIVEIS;31682;03/03/2026;57885;24830;16;0;16;0;0;;;15
13;12542;AP VENUS PELE SENS RECAR;PERFUMARIA_E_LIMPEZA;31690;03/03/2026;56347;23858;1;142;2;0;0;;;30
8;8274;SHAMPOO PALMOLIVE 350ML NUTRICAO EXTRA;PERFUMARIA_E_LIMPEZA;32924;06/03/2026;58799;25464;6;0;6;1;1;09/03/2026;NYCOLI;5
8;18748;FRALDA DESC FERINHA JUMBINHO C 18 M;PERFUMARIA_E_LIMPEZA;32924;06/03/2026;58799;25464;12;0;24;0;0;07/03/2026;EVERSON;0
8;9539;FRALDA BABYSEC ULTRA JUMBINHO G 16UN;PERFUMARIA_E_LIMPEZA;32924;06/03/2026;58799;25464;8;0;8;0;0;07/03/2026;EVERSON;9
2;2307;ATUM RALADO NAUTIQUE 170G EM OLEO;MERCEARIA;34315;10/03/2026;61396;28586;24;3024;240;0;0;17/03/2026;SEFRIN;5
2;874;MAIONESE ODERICH SH 1KG;MERCEARIA;34901;11/03/2026;62195;28586;6;203;60;0;0;17/03/2026;SEFRIN;20
2;946;MAIONESE LIZA BD 2 7KG CASEIRA;MERCEARIA;34901;11/03/2026;62195;28586;6;4;12;0;0;17/03/2026;SEFRIN;0
2;2767;MAIONESE HELLMANNS SH 200G;MERCEARIA;34901;11/03/2026;62195;28586;24;16128;1200;0;0;17/03/2026;SEFRIN;1297
2;2307;ATUM RALADO NAUTIQUE 170G EM OLEO;MERCEARIA;34901;11/03/2026;62195;28586;24;3024;120;0;0;17/03/2026;SEFRIN;5
