COMPRADOR;FORNECEDOR;NUMERO_PEDIDO;LOJA_DESTINO;DATA_EMISSAO;DATA_PREV_ENTREGA;DATA_LIMITE_ENTREGA;CODIGO_PRODUTO;DESCRICAO;QTD_EMBALAGEM;QUANTIDADE_PEDIDA;QUANTIDADE_ATENDIDA;PERC_ATENDIMENTO;STATUS_ENTREGA;STATUS_PEDIDO
WERTER;1792 - MILTON R.MARQUES/A.PERES/J ROS;117981;7;05/09/2026;12/09/2026;25/09/2026;2651;MEL CAMPEIRO 500G;1;24;0;0;AGUARDANDO;ATIVO
WERTER;1792 - MILTON R.MARQUES/A.PERES/J ROS;117981;7;05/09/2026;12/09/2026;25/09/2026;2654;MEL CAMPEIRO 310G;1;12;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117980;18;05/09/2026;10/09/2026;25/09/2026;4353;BATATA PRE FRIT EXCELSIOR CONG 400G;1;25;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117980;18;05/09/2026;10/09/2026;25/09/2026;7327;PAO QUEIJO EXCELSIOR 400G;1;25;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117980;18;05/09/2026;10/09/2026;25/09/2026;7404;PATE EXCELSIOR 100G FGO E ERVAS;1;36;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117980;18;05/09/2026;10/09/2026;25/09/2026;7410;PATE EXCELSIOR 100G PRESUNTO;1;36;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117980;18;05/09/2026;10/09/2026;25/09/2026;38097;CEBOLA ANEIS EXCELSIOR 400G;1;20;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117979;17;05/09/2026;10/09/2026;25/09/2026;7186;MORTAD EXCELSIOR 400G C TOUC;1;16;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117979;17;05/09/2026;10/09/2026;25/09/2026;7404;PATE EXCELSIOR 100G FGO E ERVAS;1;36;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117979;17;05/09/2026;10/09/2026;25/09/2026;35325;SALSICHA EXCELSIOR 19CM KG;1;48;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117977;14;05/09/2026;10/09/2026;25/09/2026;4353;BATATA PRE FRIT EXCELSIOR CONG 400G;1;25;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117977;14;05/09/2026;10/09/2026;25/09/2026;7402;PATE EXCELSIOR 100G FIGADO;1;36;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117977;14;05/09/2026;10/09/2026;25/09/2026;7403;PATE EXCELSIOR 100G FGO;1;36;0;0;AGUARDANDO;ATIVO
SANDRO;7344 - EXCELSIOR ALIMENTOS S.A.;117977;14;05/09/2026;10/09/2026;25/09/2026;21768;PATE EXCELSIOR 100G CEBOLA SALSA;1;36;0;0;AGUARDANDO;ATIVO
