COD_PONTO_EXTRA;NOME_PONTO_EXTRA;LOJA;COMPRADOR;COD_PRODUTO;DESCRICAO_PRODUTO;MINIMO_PONTO_EXTRA;MAXIMO_PONTO_EXTRA;INICIO_VIGENCIA;FIM_VIGENCIA;STATUS_ITEM_EMP;SITUACAO_VIGENCIA
121;Pontas fixas;2;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;144;CERV AMSTEL LAGER LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;147;CERV ANTARCTICA PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;145;CERV ANTARCTICA SUBZERO LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;156;CERV BUDWEISER LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;163;CERV EISENBAHN PILSEN LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;169;CERV HEINEKEN LT 473ML;604;3244;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;178;CERV KAISER LT 473ML;1506;3882;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;179;CERV ORIGINAL LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;213;CERV SKOL PILSEN LT 473ML;3960;5280;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;784;REFRIG ANTARCTICA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;834;REFRIG ANTARCTICA GUARANA PET 3L;320;416;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;33255;REFRIG CHARRUA PET 3L GUARANA;360;468;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;10;REFRIG COCA COLA PET 2L;2400;3000;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;2;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
