DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34727;ACEM E PESCOCO C OSSO BOV RESF KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10512;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10513;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA C OSSO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10514;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA CENTR BD;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10496;ACEM FRIBOI PORC KG;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10497;ACEM FRIBOI PORC KG BDJ;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34527;ACEM RESERVA S OSSO KG ACEM ESP;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10716;ACEM RESERVA S OSSO KG BIFE CACAROLA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;34528;ACEM RESERVA S OSSO KG CARNE CACAROLA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10498;ACEM RESERVA S OSSO KG CUBOS;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10499;ACEM RESERVA S OSSO KG LOMBINHO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10500;ACEM RESERVA S OSSO KG MOIDO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10503;ACEM RESERVA S OSSO KG PAI;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10501;ACEM RESERVA S OSSO KG PEDACO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10655;ALCATRA S OSSO KG BABY BEEF;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10657;ALCATRA S OSSO KG BABY BEEF PORC;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10521;ALCATRA S OSSO KG BIFE;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10777;ALCATRA S OSSO KG BOMBOM ALCATRA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10526;ALCATRA S OSSO KG CARN STROGONOFF;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10523;ALCATRA S OSSO KG ESPECIAL;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10524;ALCATRA S OSSO KG GRILL;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10522;ALCATRA S OSSO KG MEDALHAO;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10520;ALCATRA S OSSO KG MOIDA;Ativo;1;1;0;0
PERECIVEIS;LAURINDO BISCUBI RAMOS;16;10527;ALCATRA S OSSO KG PAI;Ativo;1;1;0;0
