DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DATA_CADASTRO_PRODUTO
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;38532;ABACAXI PICADO KG;Ativo;1;1;0;0;0;0;0;26/05/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10486;ABOBORA DOCE KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10488;ABOBORA GOMO COMUM KG;Ativo;20;20;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10490;ABOBORA ITALIA KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10512;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10513;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA C OSSO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10514;ACEM E PESCOCO C OSSO BOV RESF KG AGULHA CENTR BD;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10497;ACEM FRIBOI PORC KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;34527;ACEM RESERVA S OSSO KG ACEM ESP;Ativo;1;1;0;0;0;0;0;31/10/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10716;ACEM RESERVA S OSSO KG BIFE CACAROLA;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;34528;ACEM RESERVA S OSSO KG CARNE CACAROLA;Ativo;1;1;0;0;0;0;0;31/10/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10498;ACEM RESERVA S OSSO KG CUBOS;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10499;ACEM RESERVA S OSSO KG LOMBINHO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10500;ACEM RESERVA S OSSO KG MOIDO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10501;ACEM RESERVA S OSSO KG PEDACO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;38503;AIPIM DESCASCADO PCT 1KG;Ativo;1;1;0;0;0;0;0;22/05/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;3961;AIPIM HENICKA DESC VACUO CONG 1KG;Ativo;20;1;12;0;28;20;40;26/04/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10655;ALCATRA S OSSO KG BABY BEEF;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10657;ALCATRA S OSSO KG BABY BEEF PORC;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10521;ALCATRA S OSSO KG BIFE;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10777;ALCATRA S OSSO KG BOMBOM ALCATRA;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10526;ALCATRA S OSSO KG CARN STROGONOFF;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10523;ALCATRA S OSSO KG ESPECIAL;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10522;ALCATRA S OSSO KG MEDALHAO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10520;ALCATRA S OSSO KG MOIDA;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10525;ALCATRA S OSSO KG PEDACO;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;38288;ALHO KG BA;Ativo;1;1;0;0;0;0;0;30/04/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;25640;APRESUNTADO AURORA FAT 180G;Ativo;1;14;7;0;62;0;0;21/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10561;APRESUNTADO EXCELSIOR FAT 180G;Ativo;1;12;7;12;68;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10569;ARANHA ALCATRA FRIBOI BOV KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10572;ASSADO MATURATTA EM TIRAS KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10580;AVE NATAL PERD CHESTER ASSA FAC KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10582;AVE NATAL PERD CHESTER DES TRAD KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10583;AVE NATAL PERDIGAO CHESTER INT KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10584;AVE NATAL PERDIGAO PERU KG;Ativo;1;1;0;0;0;0;0;11/06/2025
